"date","countrycode","countryname","hosp_occupancy","icu_occupancy"
2020-07-19,"FR","France",6583,448
2020-07-20,"FR","France",6547,442
2020-07-21,"FR","France",6440,430
2020-07-22,"FR","France",6324,420
2020-07-23,"FR","France",5915,411
2020-07-24,"FR","France",5678,385
2020-07-25,"FR","France",5634,368
2020-07-26,"FR","France",5640,367
2020-07-27,"FR","France",5614,374
2020-07-28,"FR","France",5510,361
2020-07-29,"FR","France",5409,356
2020-07-30,"FR","France",5334,357
2020-07-31,"FR","France",5257,347
2020-08-01,"FR","France",5177,344
2020-08-02,"FR","France",5188,345
2020-08-03,"FR","France",5157,360
2020-08-04,"FR","France",5121,364
2020-08-05,"FR","France",5107,360
2020-08-06,"FR","France",5019,366
2020-08-07,"FR","France",4970,359
2020-08-08,"FR","France",4981,366
2020-08-09,"FR","France",4992,368
2020-08-10,"FR","France",5004,372
2020-08-11,"FR","France",4971,367
2020-08-12,"FR","France",4850,355
2020-08-13,"FR","France",4824,351
2020-08-14,"FR","France",4788,344
2020-08-15,"FR","France",4817,353
2020-08-16,"FR","France",4820,353
2020-08-17,"FR","France",4885,361
2020-08-18,"FR","France",4783,357
2020-08-19,"FR","France",4781,362
2020-08-20,"FR","France",4723,368
2020-08-21,"FR","France",4720,367
2020-08-22,"FR","France",4685,368
2020-08-23,"FR","France",4683,371
2020-08-24,"FR","France",4664,387
2020-08-25,"FR","France",4578,401
2020-08-26,"FR","France",4535,373
2020-08-27,"FR","France",4517,375
2020-08-28,"FR","France",4517,381
2020-08-29,"FR","France",4512,394
2020-08-30,"FR","France",4517,396
2020-08-31,"FR","France",4564,403
2020-09-01,"FR","France",4586,418
2020-09-02,"FR","France",4614,440
2020-09-03,"FR","France",4625,458
2020-09-04,"FR","France",4653,467
2020-09-05,"FR","France",4667,476
2020-09-06,"FR","France",4697,480
2020-09-07,"FR","France",4889,531
2020-09-08,"FR","France",4942,568
2020-09-09,"FR","France",4985,593
2020-09-10,"FR","France",5077,608
2020-09-11,"FR","France",5136,628
2020-09-12,"FR","France",5176,655
2020-09-13,"FR","France",5228,662
2020-09-14,"FR","France",5479,705
2020-09-15,"FR","France",5660,752
2020-09-16,"FR","France",5800,796
2020-09-17,"FR","France",5825,793
2020-09-18,"FR","France",5800,820
2020-09-19,"FR","France",5493,827
2020-09-20,"FR","France",5356,834
2020-09-21,"FR","France",5597,912
2020-09-22,"FR","France",5777,944
2020-09-23,"FR","France",5913,995
2020-09-24,"FR","France",6012,1041
2020-09-25,"FR","France",6110,1092
2020-09-26,"FR","France",6154,1105
2020-09-27,"FR","France",6235,1112
2020-09-28,"FR","France",6397,1158
2020-09-29,"FR","France",6482,1198
2020-09-30,"FR","France",6572,1232
2020-10-01,"FR","France",6634,1259
2020-10-02,"FR","France",6740,1270
2020-10-03,"FR","France",6740,1289
2020-10-04,"FR","France",6964,1335
2020-10-05,"FR","France",7276,1409
2020-10-06,"FR","France",7377,1417
2020-10-07,"FR","France",7514,1406
2020-10-08,"FR","France",7603,1418
2020-10-09,"FR","France",7843,1439
2020-10-10,"FR","France",7976,1456
2020-10-11,"FR","France",8231,1483
2020-10-12,"FR","France",8671,1539
2020-10-13,"FR","France",8928,1633
2020-10-14,"FR","France",9173,1664
2020-10-15,"FR","France",9584,1741
2020-10-16,"FR","France",10021,1791
2020-10-17,"FR","France",10399,1868
2020-10-18,"FR","France",10897,1939
2020-10-19,"FR","France",11640,2090
2020-10-20,"FR","France",12435,2168
2020-10-21,"FR","France",13162,2239
2020-10-22,"FR","France",14009,2310
2020-10-23,"FR","France",14985,2432
2020-10-24,"FR","France",15637,2491
2020-10-25,"FR","France",16454,2575
2020-10-26,"FR","France",17761,2761
2020-10-27,"FR","France",18955,2909
2020-10-28,"FR","France",20184,3036
2020-10-29,"FR","France",21160,3147
2020-10-30,"FR","France",22153,3368
2020-10-31,"FR","France",23013,3443
2020-11-01,"FR","France",24008,3569
2020-11-02,"FR","France",25120,3721
2020-11-03,"FR","France",26242,3869
2020-11-04,"FR","France",27511,4080
2020-11-05,"FR","France",28403,4221
2020-11-06,"FR","France",28955,4321
2020-11-07,"FR","France",29396,4410
2020-11-08,"FR","France",30217,4527
2020-11-09,"FR","France",31098,4677
2020-11-10,"FR","France",31477,4736
2020-11-11,"FR","France",31918,4789
2020-11-12,"FR","France",32654,4884
2020-11-13,"FR","France",32676,4887
2020-11-14,"FR","France",32468,4855
2020-11-15,"FR","France",33050,4880
2020-11-16,"FR","France",NA,NA
2020-11-17,"FR","France",NA,NA
2020-11-18,"FR","France",NA,NA
2020-11-19,"FR","France",NA,NA
2020-11-20,"FR","France",NA,NA
2020-11-21,"FR","France",NA,NA
2020-11-22,"FR","France",NA,NA
