"year_week","date","countrycode","countryname","hosp_weekly_admission"
"2020-W32",2020-08-04,"DE","Germany",0.32643046134393
"2020-W32",2020-08-05,"DE","Germany",0.32643046134393
"2020-W32",2020-08-06,"DE","Germany",0.32643046134393
"2020-W32",2020-08-07,"DE","Germany",0.32643046134393
"2020-W32",2020-08-08,"DE","Germany",0.32643046134393
"2020-W32",2020-08-09,"DE","Germany",0.32643046134393
"2020-W33",2020-08-10,"DE","Germany",0.369793917463419
"2020-W33",2020-08-11,"DE","Germany",0.369793917463419
"2020-W33",2020-08-12,"DE","Germany",0.369793917463419
"2020-W33",2020-08-13,"DE","Germany",0.369793917463419
"2020-W33",2020-08-14,"DE","Germany",0.369793917463419
"2020-W33",2020-08-15,"DE","Germany",0.369793917463419
"2020-W33",2020-08-16,"DE","Germany",0.369793917463419
"2020-W34",2020-08-17,"DE","Germany",0.32643046134393
"2020-W34",2020-08-18,"DE","Germany",0.32643046134393
"2020-W34",2020-08-19,"DE","Germany",0.32643046134393
"2020-W34",2020-08-20,"DE","Germany",0.32643046134393
"2020-W34",2020-08-21,"DE","Germany",0.32643046134393
"2020-W34",2020-08-22,"DE","Germany",0.32643046134393
"2020-W34",2020-08-23,"DE","Germany",0.32643046134393
"2020-W35",2020-08-24,"DE","Germany",0.296316950149841
"2020-W35",2020-08-25,"DE","Germany",0.296316950149841
"2020-W35",2020-08-26,"DE","Germany",0.296316950149841
"2020-W35",2020-08-27,"DE","Germany",0.296316950149841
"2020-W35",2020-08-28,"DE","Germany",0.296316950149841
"2020-W35",2020-08-29,"DE","Germany",0.296316950149841
"2020-W35",2020-08-30,"DE","Germany",0.296316950149841
"2020-W36",2020-08-31,"DE","Germany",0.330044082687221
"2020-W36",2020-09-01,"DE","Germany",0.330044082687221
"2020-W36",2020-09-02,"DE","Germany",0.330044082687221
"2020-W36",2020-09-03,"DE","Germany",0.330044082687221
"2020-W36",2020-09-04,"DE","Germany",0.330044082687221
"2020-W36",2020-09-05,"DE","Germany",0.330044082687221
"2020-W36",2020-09-06,"DE","Germany",0.330044082687221
"2020-W37",2020-09-07,"DE","Germany",0.401111969105272
"2020-W37",2020-09-08,"DE","Germany",0.401111969105272
"2020-W37",2020-09-09,"DE","Germany",0.401111969105272
"2020-W37",2020-09-10,"DE","Germany",0.401111969105272
"2020-W37",2020-09-11,"DE","Germany",0.401111969105272
"2020-W37",2020-09-12,"DE","Germany",0.401111969105272
"2020-W37",2020-09-13,"DE","Germany",0.401111969105272
"2020-W38",2020-09-14,"DE","Germany",0.563724929553355
"2020-W38",2020-09-15,"DE","Germany",0.563724929553355
"2020-W38",2020-09-16,"DE","Germany",0.563724929553355
"2020-W38",2020-09-17,"DE","Germany",0.563724929553355
"2020-W38",2020-09-18,"DE","Germany",0.563724929553355
"2020-W38",2020-09-19,"DE","Germany",0.563724929553355
"2020-W38",2020-09-20,"DE","Germany",0.563724929553355
"2020-W39",2020-09-21,"DE","Germany",0.617929249702717
"2020-W39",2020-09-22,"DE","Germany",0.617929249702717
"2020-W39",2020-09-23,"DE","Germany",0.617929249702717
"2020-W39",2020-09-24,"DE","Germany",0.617929249702717
"2020-W39",2020-09-25,"DE","Germany",0.617929249702717
"2020-W39",2020-09-26,"DE","Germany",0.617929249702717
"2020-W39",2020-09-27,"DE","Germany",0.617929249702717
"2020-W40",2020-09-28,"DE","Germany",0.785360371941854
"2020-W40",2020-09-29,"DE","Germany",0.785360371941854
"2020-W40",2020-09-30,"DE","Germany",0.785360371941854
"2020-W40",2020-10-01,"DE","Germany",0.785360371941854
"2020-W40",2020-10-02,"DE","Germany",0.785360371941854
"2020-W40",2020-10-03,"DE","Germany",0.785360371941854
"2020-W40",2020-10-04,"DE","Germany",0.785360371941854
"2020-W41",2020-10-05,"DE","Germany",1.24790390388307
"2020-W41",2020-10-06,"DE","Germany",1.24790390388307
"2020-W41",2020-10-07,"DE","Germany",1.24790390388307
"2020-W41",2020-10-08,"DE","Germany",1.24790390388307
"2020-W41",2020-10-09,"DE","Germany",1.24790390388307
"2020-W41",2020-10-10,"DE","Germany",1.24790390388307
"2020-W41",2020-10-11,"DE","Germany",1.24790390388307
"2020-W42",2020-10-12,"DE","Germany",1.69599295045112
"2020-W42",2020-10-13,"DE","Germany",1.69599295045112
"2020-W42",2020-10-14,"DE","Germany",1.69599295045112
"2020-W42",2020-10-15,"DE","Germany",1.69599295045112
"2020-W42",2020-10-16,"DE","Germany",1.69599295045112
"2020-W42",2020-10-17,"DE","Germany",1.69599295045112
"2020-W42",2020-10-18,"DE","Germany",1.69599295045112
"2020-W43",2020-10-19,"DE","Germany",2.24164977328802
"2020-W43",2020-10-20,"DE","Germany",2.24164977328802
"2020-W43",2020-10-21,"DE","Germany",2.24164977328802
"2020-W43",2020-10-22,"DE","Germany",2.24164977328802
"2020-W43",2020-10-23,"DE","Germany",2.24164977328802
"2020-W43",2020-10-24,"DE","Germany",2.24164977328802
"2020-W43",2020-10-25,"DE","Germany",2.24164977328802
"2020-W44",2020-10-26,"DE","Germany",1.4056987025401
"2020-W44",2020-10-27,"DE","Germany",1.4056987025401
"2020-W44",2020-10-28,"DE","Germany",1.4056987025401
"2020-W44",2020-10-29,"DE","Germany",1.4056987025401
"2020-W44",2020-10-30,"DE","Germany",1.4056987025401
"2020-W44",2020-10-31,"DE","Germany",1.4056987025401
"2020-W44",2020-11-01,"DE","Germany",1.4056987025401
