"date","countrycode","population","cases","deaths","hospital","icu","cases_prev_week","deaths_prev_week","hospital_prev_week","icu_prev_week"
"2020-02-21","ES",46358643,0,0,40,2,0,0,197,14
"2020-02-22","ES",46358643,1,0,27,3,1,0,212,14
"2020-02-23","ES",46358643,2,0,23,6,3,0,222,19
"2020-02-24","ES",46358643,2,0,44,4,5,0,239,20
"2020-02-25","ES",46358643,1,0,44,7,6,0,255,26
"2020-02-26","ES",46358643,7,0,59,4,13,0,277,27
"2020-02-27","ES",46358643,19,0,58,4,32,0,295,30
"2020-02-28","ES",46358643,23,0,62,8,55,0,317,36
"2020-02-29","ES",46939721,19,0,49,4,73,0,339,37
"2020-03-01","ES",46939721,36,0,67,6,107,0,383,37
"2020-03-02","ES",46939721,69,0,133,10,174,0,472,43
"2020-03-03","ES",46939721,78,1,154,15,251,1,582,51
"2020-03-04","ES",46939721,86,2,165,14,330,3,688,61
"2020-03-05","ES",46939721,186,1,234,19,497,4,864,76
"2020-03-06","ES",46939721,271,3,251,25,745,7,1053,93
"2020-03-07","ES",46939721,288,3,286,22,1014,10,1290,111
"2020-03-08","ES",47026208,361,14,315,32,1339,24,1538,137
"2020-03-09","ES",47026208,635,16,530,42,1905,40,1935,169
"2020-03-10","ES",47026208,1023,26,654,60,2850,65,2435,214
"2020-03-11","ES",47026208,1329,35,841,74,4093,98,3111,274
"2020-03-12","ES",47026208,1802,56,966,90,5709,153,3843,345
"2020-03-13","ES",47026208,2159,79,1074,123,7597,229,4666,443
"2020-03-14","ES",47026208,2021,104,1168,118,9330,330,5548,539
"2020-03-15","ES",47026208,2300,129,1300,150,11269,445,6533,657
"2020-03-16","ES",47026208,3240,178,2003,189,13874,607,8006,804
"2020-03-17","ES",47026208,4457,186,2295,215,17308,767,9647,959
"2020-03-18","ES",47026208,4755,238,2923,268,20734,970,11729,1153
"2020-03-19","ES",47026208,5856,314,3210,271,24788,1228,13973,1334
"2020-03-20","ES",47026208,6506,428,3728,295,29135,1577,16627,1506
"2020-03-21","ES",47026208,5774,501,3332,295,32888,1974,18791,1683
"2020-03-22","ES",47026208,5297,541,3181,332,35885,2386,20672,1865
"2020-03-23","ES",47026208,8070,679,4697,388,40715,2887,23366,2064
"2020-03-24","ES",47026208,9647,713,5035,445,45905,3414,26106,2294
"2020-03-25","ES",47026208,10071,810,4880,407,51221,3986,28063,2433
"2020-03-26","ES",47026208,10047,853,4722,388,55412,4525,29575,2550
"2020-03-27","ES",47026208,9051,900,4525,340,57957,4997,30372,2595
"2020-03-28","ES",47026208,7055,832,3206,311,59238,5328,30246,2611
"2020-03-29","ES",47026208,5042,800,2503,247,58983,5587,29568,2526
"2020-03-30","ES",47026208,7940,906,3678,308,58853,5814,28549,2446
"2020-03-31","ES",47026208,7876,889,3134,260,57082,5990,26648,2261
"2020-04-01","ES",47026208,6945,887,2948,245,53956,6067,24716,2099
"2020-04-02","ES",47026208,6843,841,2585,185,50752,6055,22579,1896
"2020-04-03","ES",47026208,6764,775,2548,177,48465,5930,20602,1733
"2020-04-04","ES",47026208,4651,732,1782,143,46061,5830,19178,1565
"2020-04-05","ES",47026208,3127,734,1427,137,44146,5764,18102,1455
"2020-04-06","ES",47026208,5350,752,2042,125,41556,5610,16466,1272
"2020-04-07","ES",47026208,5272,731,2010,106,38952,5452,15342,1118
"2020-04-08","ES",47026208,5381,737,1796,108,37388,5302,14190,981
"2020-04-09","ES",47026208,4563,664,1497,82,35108,5125,13102,878
"2020-04-10","ES",47026208,4362,669,1335,80,32706,5019,11889,781
"2020-04-11","ES",47026208,3049,623,1099,59,31104,4910,11206,697
"2020-04-12","ES",47026208,2344,541,846,77,30321,4717,10625,637
"2020-04-13","ES",47026208,3063,585,1068,74,28034,4550,9651,586
"2020-04-14","ES",47026208,3950,602,1215,61,26712,4421,8856,541
"2020-04-15","ES",47026208,3644,552,951,63,24975,4236,8011,496
"2020-04-16","ES",47026208,3367,484,926,49,23779,4056,7440,463
"2020-04-17","ES",47026208,3433,499,862,53,22850,3886,6967,436
"2020-04-18","ES",47026208,2160,434,558,31,21961,3697,6426,408
"2020-04-19","ES",47026208,1420,398,513,33,21037,3554,6093,364
"2020-04-20","ES",47026208,2475,385,645,33,20449,3354,5670,323
"2020-04-21","ES",47026208,2683,425,685,37,19182,3177,5140,299
"2020-04-22","ES",47026208,2726,340,488,33,18264,2965,4677,269
"2020-04-23","ES",47026208,2206,330,463,29,17103,2811,4214,249
"2020-04-24","ES",47026208,2249,329,497,30,15919,2641,3849,226
"2020-04-25","ES",47026208,1284,294,310,21,15043,2501,3601,216
"2020-04-26","ES",47026208,812,269,232,19,14435,2372,3320,202
"2020-04-27","ES",47026208,1631,258,425,25,13591,2245,3100,194
"2020-04-28","ES",47026208,1722,259,332,28,12630,2079,2747,185
"2020-04-29","ES",47026208,1466,235,286,24,11370,1974,2545,176
"2020-04-30","ES",47026208,1425,221,301,19,10589,1865,2383,166
"2020-05-01","ES",47026208,784,175,198,17,9124,1711,2084,153
"2020-05-02","ES",47026208,553,198,197,11,8393,1615,1971,143
"2020-05-03","ES",47026208,447,196,179,14,8028,1542,1918,138
"2020-05-04","ES",47026208,986,186,269,17,7383,1470,1762,130
"2020-05-05","ES",47026208,963,181,231,11,6624,1392,1661,113
"2020-05-06","ES",47026208,963,152,217,19,6121,1309,1592,108
"2020-05-07","ES",47026208,923,164,201,15,5619,1252,1492,104
"2020-05-08","ES",47026208,903,145,176,17,5738,1222,1470,104
"2020-05-09","ES",47026208,483,125,118,5,5668,1149,1391,98
"2020-05-10","ES",47026208,312,110,111,12,5533,1063,1323,96
"2020-05-11","ES",47026208,551,122,121,5,5098,999,1175,84
"2020-05-12","ES",47026208,659,112,104,4,4794,930,1048,77
"2020-05-13","ES",47026208,735,87,104,10,4566,865,935,68
"2020-05-14","ES",47026208,765,85,100,5,4408,786,834,58
"2020-05-15","ES",47026208,759,77,85,6,4264,718,743,47
"2020-05-16","ES",47026208,333,63,61,4,4114,656,686,46
"2020-05-17","ES",47026208,232,60,56,4,4034,606,631,38
"2020-05-18","ES",47026208,595,72,88,13,4078,556,598,46
"2020-05-19","ES",47026208,800,67,57,6,4219,511,551,48
"2020-05-20","ES",47026208,683,56,74,4,4167,480,521,42
"2020-05-21","ES",47026208,748,68,77,7,4150,463,498,44
"2020-05-22","ES",47026208,766,71,69,6,4157,457,482,44
"2020-05-23","ES",47026208,293,58,45,3,4117,452,466,43
"2020-05-24","ES",47026208,257,55,47,1,4142,447,457,40
"2020-05-25","ES",47026208,532,66,70,6,4079,441,439,33
"2020-05-26","ES",47026208,716,56,56,3,3995,430,438,30
"2020-05-27","ES",47026208,579,45,55,5,3891,419,419,31
"2020-05-28","ES",47026208,638,40,64,3,3781,391,406,27
"2020-05-29","ES",47026208,699,43,54,7,3714,363,391,28
"2020-05-30","ES",47026208,316,43,54,4,3737,348,400,29
"2020-05-31","ES",47026208,174,39,31,5,3654,332,384,33
"2020-06-01","ES",47026208,329,34,38,3,3451,300,352,30
"2020-06-02","ES",47026208,445,47,47,2,3180,291,343,29
"2020-06-03","ES",47026208,561,38,57,7,3162,284,345,31
"2020-06-04","ES",47026208,477,45,47,5,3001,289,328,33
"2020-06-05","ES",47026208,622,23,46,7,2924,269,320,33
"2020-06-06","ES",47026208,251,30,41,2,2859,256,307,31
"2020-06-07","ES",47026208,136,20,34,5,2821,237,310,31
"2020-06-08","ES",47026208,323,28,52,2,2815,231,324,30
"2020-06-09","ES",47026208,414,13,31,1,2784,197,308,29
"2020-06-10","ES",47026208,426,29,36,5,2649,188,287,27
"2020-06-11","ES",47026208,354,24,31,5,2526,167,271,27
"2020-06-12","ES",47026208,462,19,32,5,2366,163,257,25
"2020-06-13","ES",47026208,109,21,22,1,2224,154,238,24
"2020-06-14","ES",47026208,82,18,31,2,2170,152,235,21
"2020-06-15","ES",47026208,271,20,30,4,2118,144,213,23
"2020-06-16","ES",47026208,342,12,20,4,2046,143,202,26
"2020-06-17","ES",47026208,323,23,26,3,1943,137,192,24
"2020-06-18","ES",47026208,355,11,37,2,1944,124,198,21
"2020-06-19","ES",47026208,326,19,36,1,1808,124,202,17
"2020-06-20","ES",47026208,214,13,29,2,1913,116,209,18
"2020-06-21","ES",47026208,162,15,18,2,1993,113,196,18
"2020-06-22","ES",47026208,234,6,35,6,1956,99,201,20
"2020-06-23","ES",47026208,417,9,22,4,2031,96,203,20
"2020-06-24","ES",47026208,324,12,30,6,2032,85,207,23
"2020-06-25","ES",47026208,340,11,31,5,2017,85,201,26
"2020-06-26","ES",47026208,457,8,35,3,2148,74,200,28
"2020-06-27","ES",47026208,235,3,27,3,2169,64,198,29
"2020-06-28","ES",47026208,180,11,21,0,2187,60,201,27
"2020-06-29","ES",47026208,265,9,33,4,2218,63,199,25
"2020-06-30","ES",47026208,434,10,26,3,2235,64,203,24
"2020-07-01","ES",47026208,429,10,14,1,2340,62,187,19
"2020-07-02","ES",47026208,459,1,24,2,2459,52,180,16
"2020-07-03","ES",47026208,569,5,38,2,2571,49,183,15
"2020-07-04","ES",47026208,269,6,30,3,2605,52,186,15
"2020-07-05","ES",47026208,202,0,22,3,2627,41,187,18
"2020-07-06","ES",47026208,311,4,38,1,2673,36,192,15
"2020-07-07","ES",47026208,685,4,43,3,2924,30,209,15
"2020-07-08","ES",47026208,718,4,29,3,3213,24,224,17
"2020-07-09","ES",47026208,826,2,41,3,3580,25,241,18
"2020-07-10","ES",47026208,1112,4,43,5,4123,24,246,21
"2020-07-11","ES",47026208,611,4,36,3,4465,22,252,21
"2020-07-12","ES",47026208,380,3,31,3,4643,25,261,21
"2020-07-13","ES",47026208,839,1,53,5,5171,22,276,25
"2020-07-14","ES",47026208,1238,2,58,3,5724,20,291,25
"2020-07-15","ES",47026208,1524,5,57,2,6530,21,319,24
"2020-07-16","ES",47026208,1582,1,57,2,7286,20,335,23
"2020-07-17","ES",47026208,2031,2,73,5,8205,18,365,23
"2020-07-18","ES",47026208,1491,3,42,2,9085,17,371,22
"2020-07-19","ES",47026208,1151,5,62,3,9856,19,402,22
"2020-07-20","ES",47026208,1565,6,75,6,10582,24,424,23
"2020-07-21","ES",47026208,2309,7,71,4,11653,29,437,24
"2020-07-22","ES",47026208,2317,3,100,7,12446,27,480,29
"2020-07-23","ES",47026208,2344,2,89,2,13208,28,512,29
"2020-07-24","ES",47026208,2809,7,83,6,13986,33,522,30
"2020-07-25","ES",47026208,1714,9,88,3,14209,39,568,31
"2020-07-26","ES",47026208,1386,7,87,6,14444,41,593,34
"2020-07-27","ES",47026208,2037,8,144,13,14916,43,662,41
"2020-07-28","ES",47026208,2888,12,119,8,15495,48,710,45
"2020-07-29","ES",47026208,3117,7,130,7,16295,52,740,45
"2020-07-30","ES",47026208,3371,12,141,8,17322,62,792,51
"2020-07-31","ES",47026208,3805,14,141,9,18318,69,850,54
"2020-08-01","ES",47026208,2989,8,160,13,19593,68,922,64
"2020-08-02","ES",47026208,1821,13,139,16,20028,74,974,74
"2020-08-03","ES",47026208,2685,12,183,12,20676,78,1013,73
"2020-08-04","ES",47026208,4344,15,167,11,22132,81,1061,76
"2020-08-05","ES",47026208,4217,11,192,14,23232,85,1123,83
"2020-08-06","ES",47026208,4768,25,215,15,24629,98,1197,90
"2020-08-07","ES",47026208,5557,21,196,17,26381,105,1252,98
"2020-08-08","ES",47026208,3494,30,198,9,26886,127,1290,94
"2020-08-09","ES",47026208,2592,16,169,8,27657,130,1320,86
"2020-08-10","ES",47026208,3804,24,272,13,28776,142,1409,87
"2020-08-11","ES",47026208,5947,28,243,18,30379,155,1485,94
"2020-08-12","ES",47026208,6315,26,272,19,32477,170,1565,99
"2020-08-13","ES",47026208,6914,23,289,23,34623,168,1639,107
"2020-08-14","ES",47026208,8238,34,287,22,37304,181,1730,112
"2020-08-15","ES",47026208,4758,29,246,18,38568,180,1778,121
"2020-08-16","ES",47026208,3260,21,240,22,39236,185,1849,135
"2020-08-17","ES",47026208,4924,30,342,25,40356,191,1919,147
"2020-08-18","ES",47026208,8364,38,314,30,42773,201,1990,159
"2020-08-19","ES",47026208,8590,44,372,21,45048,219,2090,161
"2020-08-20","ES",47026208,8947,37,348,28,47081,233,2149,166
"2020-08-21","ES",47026208,10415,38,352,32,49258,237,2214,176
"2020-08-22","ES",47026208,5974,41,331,21,50474,249,2299,179
"2020-08-23","ES",47026208,4245,50,325,31,51459,278,2384,188
"2020-08-24","ES",47026208,5957,52,429,44,52492,300,2471,207
"2020-08-25","ES",47026208,10212,36,438,36,54340,298,2595,213
"2020-08-26","ES",47026208,10250,46,384,32,56000,300,2607,224
"2020-08-27","ES",47026208,10210,43,481,36,57263,306,2740,232
"2020-08-28","ES",47026208,11855,61,522,39,58703,329,2910,239
"2020-08-29","ES",47026208,6799,43,399,40,59528,331,2978,258
"2020-08-30","ES",47026208,5125,51,351,31,60408,332,3004,258
"2020-08-31","ES",47026208,6535,60,509,42,60986,340,3084,256
"2020-09-01","ES",47026208,10311,64,514,47,61085,368,3160,267
"2020-09-02","ES",47026208,10491,73,519,55,61326,395,3295,290
"2020-09-03","ES",47026208,10697,65,525,55,61813,417,3339,309
"2020-09-04","ES",47026208,12873,68,557,45,62831,424,3374,315
"2020-09-05","ES",47026208,7761,59,436,33,63793,440,3411,308
"2020-09-06","ES",47026208,5428,58,407,43,64096,447,3467,320
"2020-09-07","ES",47026208,6950,75,544,44,64511,462,3502,322
"2020-09-08","ES",47026208,11736,79,581,49,65936,477,3569,324
"2020-09-09","ES",47026208,12563,85,561,39,68008,489,3611,308
"2020-09-10","ES",47026208,12866,83,539,39,70177,507,3625,292
"2020-09-11","ES",47026208,14113,88,615,50,71417,527,3683,297
"2020-09-12","ES",47026208,8085,97,530,41,71741,565,3777,305
"2020-09-13","ES",47026208,6330,99,461,42,72643,606,3831,304
"2020-09-14","ES",47026208,8004,95,635,47,73697,626,3922,307
"2020-09-15","ES",47026208,13739,121,602,46,75700,668,3943,304
"2020-09-16","ES",47026208,13794,102,564,45,76931,685,3946,310
"2020-09-17","ES",47026208,13629,114,586,44,77694,716,3993,315
"2020-09-18","ES",47026208,16526,105,586,53,80107,733,3964,318
"2020-09-19","ES",47026208,8176,112,460,49,80198,748,3894,326
"2020-09-20","ES",47026208,5787,91,426,50,79655,740,3859,334
"2020-09-21","ES",47026208,8001,120,588,52,79652,765,3812,339
"2020-09-22","ES",47026208,12663,120,593,48,78576,764,3803,341
"2020-09-23","ES",47026208,12576,107,540,33,77358,769,3779,329
"2020-09-24","ES",47026208,12491,118,585,42,76220,773,3778,327
"2020-09-25","ES",47026208,13401,121,582,49,73095,789,3774,323
"2020-09-26","ES",47026208,7607,104,440,31,72526,781,3754,305
"2020-09-27","ES",47026208,5002,110,395,39,71741,800,3723,294
"2020-09-28","ES",47026208,6983,138,524,52,70723,818,3659,294
"2020-09-29","ES",47026208,11210,132,573,47,69270,830,3639,293
"2020-09-30","ES",47026208,11092,143,554,41,67786,866,3653,301
"2020-10-01","ES",47026208,10620,122,556,41,65915,870,3624,300
"2020-10-02","ES",47026208,12252,134,578,41,64766,883,3620,292
"2020-10-03","ES",47026208,6789,95,438,41,63948,874,3618,302
"2020-10-04","ES",47026208,5053,80,408,33,63999,844,3631,296
"2020-10-05","ES",47026208,8776,127,535,40,65792,833,3642,284
"2020-10-06","ES",47026208,12082,124,599,53,66664,825,3668,290
"2020-10-07","ES",47026208,12227,130,592,35,67799,812,3706,284
"2020-10-08","ES",47026208,13723,123,658,53,70902,813,3808,296
"2020-10-09","ES",47026208,14619,136,681,33,73269,815,3911,288
"2020-10-10","ES",47026208,8572,111,571,33,75052,831,4044,280
"2020-10-11","ES",47026208,6641,103,569,47,76640,854,4205,294
"2020-10-12","ES",47026208,6176,112,565,42,74040,839,4235,296
"2020-10-13","ES",47026208,12158,130,746,55,74116,845,4382,298
"2020-10-14","ES",47026208,16209,126,787,57,78098,841,4577,320
"2020-10-15","ES",47026208,17317,128,784,57,81692,846,4703,324
"2020-10-16","ES",47026208,18037,125,844,55,85110,835,4866,346
"2020-10-17","ES",47026208,11807,110,688,71,88345,834,4983,384
"2020-10-18","ES",47026208,8114,123,675,56,89818,854,5089,393
"2020-10-19","ES",47026208,15401,149,914,79,99043,891,5438,430
"2020-10-20","ES",47026208,20544,158,988,65,107429,919,5680,440
"2020-10-21","ES",47026208,22711,142,983,70,113931,935,5876,453
"2020-10-22","ES",47026208,23329,177,1049,69,119943,984,6141,465
"2020-10-23","ES",47026208,24635,176,1026,74,126541,1035,6323,484
"2020-10-24","ES",47026208,15198,148,928,64,129932,1073,6563,477
"2020-10-25","ES",47026208,11037,158,827,61,132855,1108,6715,482
"2020-10-26","ES",47026208,19438,173,1083,73,136892,1132,6884,476
"2020-10-27","ES",47026208,23733,207,1140,84,140081,1181,7036,495
"2020-10-28","ES",47026208,23742,193,1132,82,141112,1232,7185,507
"2020-10-29","ES",47026208,23548,207,1130,104,141331,1262,7266,542
"2020-10-30","ES",47026208,24204,190,1199,81,140900,1276,7439,549
"2020-10-31","ES",47026208,15654,197,975,79,141356,1325,7486,564
"2020-11-01","ES",47026208,10530,209,903,71,140849,1376,7562,574
"2020-11-02","ES",47026208,14838,220,1121,75,136249,1423,7600,576
"2020-11-03","ES",47026208,21137,257,1207,77,133653,1473,7667,569
"2020-11-04","ES",47026208,23227,258,1217,76,133138,1538,7752,563
"2020-11-05","ES",47026208,22513,259,1100,86,132103,1590,7722,545
"2020-11-06","ES",47026208,22411,285,1190,85,130310,1685,7713,549
"2020-11-07","ES",47026208,13958,217,926,77,128614,1705,7664,547
"2020-11-08","ES",47026208,9299,224,811,81,127383,1720,7572,557
"2020-11-09","ES",47026208,15667,225,1115,72,128212,1725,7566,554
"2020-11-10","ES",47026208,19479,232,1135,96,126554,1700,7494,573
"2020-11-11","ES",47026208,18369,263,1005,71,121696,1705,7282,568
"2020-11-12","ES",47026208,17970,257,943,69,117153,1703,7125,551
"2020-11-13","ES",47026208,17235,245,915,72,111977,1663,6850,538
"2020-11-14","ES",47026208,9953,216,657,56,107972,1662,6581,517
"2020-11-15","ES",47026208,6195,195,604,56,104868,1633,6374,492
"2020-11-16","ES",47026208,11748,215,849,60,100949,1623,6108,480
"2020-11-17","ES",47026208,14874,241,773,53,96344,1632,5746,437
"2020-11-18","ES",47026208,13693,173,643,37,91668,1542,5384,403
"2020-11-19","ES",47026208,11622,177,527,46,85320,1462,4968,380
"2020-11-20","ES",47026208,9583,118,430,25,77668,1335,4483,333
"2020-11-21","ES",47026208,4500,97,260,20,72215,1216,4086,297
"2020-11-22","ES",47026208,2252,37,125,10,68272,1058,3607,251
"2020-11-23","ES",47026208,0,0,0,0,56524,843,2758,191
"2020-11-24","ES",47026208,0,0,0,0,41650,602,1985,138
"2020-11-25","ES",47026208,0,0,0,0,27957,429,1342,101
