"","date","countrycode","population","cases","deaths","cases_prev_week","deaths_prev_week","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases","p_cases_contagious","p_cases_active"
"1829","2020/08/18","AG",97115,0,0,1,0,93,3,1,2,0.000957627554960614,0,1.02970704834475e-05,2.05941409668949e-05
"1828","2020/08/19","AG",97115,0,0,1,0,93,3,1,2,0.000957627554960614,0,1.02970704834475e-05,2.05941409668949e-05
"1827","2020/08/20","AG",97115,1,0,2,0,94,3,2,3,0.000967924625444061,1.02970704834475e-05,2.05941409668949e-05,3.08912114503424e-05
"1826","2020/08/21","AG",97115,0,0,1,0,94,3,2,3,0.000967924625444061,0,2.05941409668949e-05,3.08912114503424e-05
"1825","2020/08/22","AG",97115,0,0,1,0,94,3,2,2,0.000967924625444061,0,2.05941409668949e-05,2.05941409668949e-05
"1824","2020/08/23","AG",97115,0,0,1,0,94,3,2,2,0.000967924625444061,0,2.05941409668949e-05,2.05941409668949e-05
"1823","2020/08/24","AG",97115,0,0,1,0,94,3,2,2,0.000967924625444061,0,2.05941409668949e-05,2.05941409668949e-05
"1822","2020/08/25","AG",97115,0,0,1,0,94,3,2,2,0.000967924625444061,0,2.05941409668949e-05,2.05941409668949e-05
"1821","2020/08/26","AG",97115,0,0,1,0,94,3,1,2,0.000967924625444061,0,1.02970704834475e-05,2.05941409668949e-05
"1820","2020/08/27","AG",97115,0,0,0,0,94,3,1,2,0.000967924625444061,0,1.02970704834475e-05,2.05941409668949e-05
"1819","2020/08/28","AG",97115,0,0,0,0,94,3,1,2,0.000967924625444061,0,1.02970704834475e-05,2.05941409668949e-05
"1818","2020/08/29","AG",97115,0,0,0,0,94,3,1,2,0.000967924625444061,0,1.02970704834475e-05,2.05941409668949e-05
"1817","2020/08/30","AG",97115,0,0,0,0,94,3,1,2,0.000967924625444061,0,1.02970704834475e-05,2.05941409668949e-05
"1816","2020/08/31","AG",97115,0,0,0,0,94,3,1,2,0.000967924625444061,0,1.02970704834475e-05,2.05941409668949e-05
"1815","2020/09/01","AG",97115,0,0,0,0,94,3,0,1,0.000967924625444061,0,0,1.02970704834475e-05
"1814","2020/09/02","AG",97115,0,0,0,0,94,3,0,1,0.000967924625444061,0,0,1.02970704834475e-05
"1813","2020/09/03","AG",97115,0,0,0,0,94,3,0,1,0.000967924625444061,0,0,1.02970704834475e-05
"1812","2020/09/04","AG",97115,1,0,1,0,95,3,1,2,0.000978221695927509,1.02970704834475e-05,1.02970704834475e-05,2.05941409668949e-05
"1811","2020/09/05","AG",97115,0,0,1,0,95,3,1,2,0.000978221695927509,0,1.02970704834475e-05,2.05941409668949e-05
"1810","2020/09/06","AG",97115,0,0,1,0,95,3,1,2,0.000978221695927509,0,1.02970704834475e-05,2.05941409668949e-05
"1809","2020/09/07","AG",97115,0,0,1,0,95,3,1,1,0.000978221695927509,0,1.02970704834475e-05,1.02970704834475e-05
"1808","2020/09/08","AG",97115,0,0,1,0,95,3,1,1,0.000978221695927509,0,1.02970704834475e-05,1.02970704834475e-05
"1807","2020/09/09","AG",97115,0,0,1,0,95,3,1,1,0.000978221695927509,0,1.02970704834475e-05,1.02970704834475e-05
"1806","2020/09/10","AG",97115,0,0,1,0,95,3,1,1,0.000978221695927509,0,1.02970704834475e-05,1.02970704834475e-05
"1805","2020/09/11","AG",97115,0,0,0,0,95,3,1,1,0.000978221695927509,0,1.02970704834475e-05,1.02970704834475e-05
"1804","2020/09/12","AG",97115,0,0,0,0,95,3,1,1,0.000978221695927509,0,1.02970704834475e-05,1.02970704834475e-05
"1803","2020/09/13","AG",97115,0,0,0,0,95,3,1,1,0.000978221695927509,0,1.02970704834475e-05,1.02970704834475e-05
"1802","2020/09/14","AG",97115,0,0,0,0,95,3,1,1,0.000978221695927509,0,1.02970704834475e-05,1.02970704834475e-05
"1801","2020/09/15","AG",97115,0,0,0,0,95,3,1,1,0.000978221695927509,0,1.02970704834475e-05,1.02970704834475e-05
"1800","2020/09/16","AG",97115,0,0,0,0,95,3,0,1,0.000978221695927509,0,0,1.02970704834475e-05
"1799","2020/09/17","AG",97115,0,0,0,0,95,3,0,1,0.000978221695927509,0,0,1.02970704834475e-05
"1798","2020/09/18","AG",97115,0,0,0,0,95,3,0,1,0.000978221695927509,0,0,1.02970704834475e-05
"1797","2020/09/19","AG",97115,0,0,0,0,95,3,0,1,0.000978221695927509,0,0,1.02970704834475e-05
"1796","2020/09/20","AG",97115,1,0,1,0,96,3,1,2,0.000988518766410956,1.02970704834475e-05,1.02970704834475e-05,2.05941409668949e-05
"1795","2020/09/21","AG",97115,0,0,1,0,96,3,1,2,0.000988518766410956,0,1.02970704834475e-05,2.05941409668949e-05
"1794","2020/09/22","AG",97115,0,0,1,0,96,3,1,1,0.000988518766410956,0,1.02970704834475e-05,1.02970704834475e-05
"1793","2020/09/23","AG",97115,0,0,1,0,96,3,1,1,0.000988518766410956,0,1.02970704834475e-05,1.02970704834475e-05
"1792","2020/09/24","AG",97115,1,0,2,0,97,3,2,2,0.000998815836894404,1.02970704834475e-05,2.05941409668949e-05,2.05941409668949e-05
"1791","2020/09/25","AG",97115,1,0,3,0,98,3,3,3,0.00100911290737785,1.02970704834475e-05,3.08912114503424e-05,3.08912114503424e-05
"1790","2020/09/26","AG",97115,0,0,3,0,98,3,3,3,0.00100911290737785,0,3.08912114503424e-05,3.08912114503424e-05
"1789","2020/09/27","AG",97115,3,0,5,0,101,3,6,6,0.00104000411882819,3.08912114503424e-05,6.17824229006848e-05,6.17824229006848e-05
