"X","date","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_past_smooth","p_cases_fatalities_past_smooth","p_cases_recent_past_smooth","p_cases_stillsick_past_smooth"
45,"2020-05-15",0.0265432098765432,0,0,0,0.0270161632057567,0,0,0
46,"2020-05-16",0.0265432098765432,0,0,0,0.0270101549670085,0,0,0
47,"2020-05-17",0.0265432098765432,0,0,0,0.0270041874986209,0,0,0
48,"2020-05-18",0.0265432098765432,0,0,0,0.0269988080115103,0,0,0
49,"2020-05-19",0.0265432098765432,0,0,0,0.0269931209277118,0,0,0
50,"2020-05-20",0.0265432098765432,0,0,0,0.0269881647174023,0,0,0
51,"2020-05-21",0.0263803680981595,0,0,0,0.0269726005470024,0,0,0
52,"2020-05-22",0.0263803680981595,0,0,0,0.0269588069209004,0,0,0
53,"2020-05-23",0.0380530973451327,0,0,0,0.0362452359872642,0,0,0
54,"2020-05-24",0.0297297297297297,0,0,0,0.0312273243922918,0,0,0
55,"2020-05-25",0.0310810810810811,0,0,0,0.0316658023763224,0,0,0
56,"2020-05-26",0.0310810810810811,0,0,0,0.0318142050732421,0,0,0
57,"2020-05-27",0.0327433628318584,0,0,0,0.0325931223587587,0,0,0
58,"2020-05-28",0.0327433628318584,0,0,0,0.0330587737568119,0,0,0
59,"2020-05-29",0.0327433628318584,0,0,0,0.0333505162243136,0,0,0
60,"2020-05-30",0.0320388349514563,0,0,0,0.0332975256066363,0,0,0
61,"2020-05-31",0.0320388349514563,0,0,0,0.0332361327071768,0,0,0
62,"2020-06-01",0.0320388349514563,0,0,0,0.0331510463636839,0,0,0
63,"2020-06-02",0.0311827956989247,0,0,0,0.0328830989733821,0,0,0
64,"2020-06-03",0.0301204819277108,0,0,0,0.03252314711142,0,0,0
65,"2020-06-04",0.0287671232876712,0,0,0,0.0320840211792849,0,0,0
66,"2020-06-05",0.0254901960784314,0,0,0,0.031342522708961,0,0,0
67,"2020-06-06",0.0254901960784314,0,0,0,0.0307591484556662,0,0,0
68,"2020-06-07",0.0254901960784314,0,0,0,0.0303291084595647,0,0,0
69,"2020-06-08",0.0254901960784314,0,0,0,0.0300431836395576,0,0,0
70,"2020-06-09",0.0254901960784314,0,0,0,0.0296597831839941,0,0,0
71,"2020-06-10",0.00833333333333333,0,0,0,0.0283198069527134,0,0,0
72,"2020-06-11",0.00833333333333333,0,0,0,0.027658844855481,0,0,0
73,"2020-06-12",0.00833333333333333,0,0,0,0.0271249802910246,0,0,0
74,"2020-06-13",0.00833333333333333,0,0,0,0.0266854536198628,0,0,0
75,"2020-06-14",0.00833333333333333,0,0,0,0.0262309902906359,0,0,0
76,"2020-06-15",0.00833333333333333,0,0,0,0.0259052831548505,0,0,0
77,"2020-06-16",0.00833333333333333,0,0,0,0.0257595002026717,0,0,0
78,"2020-06-17",0.00833333333333333,0,0,0,0.024037104464326,0,0,0
79,"2020-06-18",0.00833333333333333,0,0,0,0.0234045529233477,0,0,0
80,"2020-06-19",0.00833333333333333,0,0,0,0.0232034997239473,0,0,0
81,"2020-06-20",0.00833333333333333,0,0,0,0.023007825363416,0,0,0
82,"2020-06-21",0.00833333333333333,0,0,0,0.0228172431706564,0,0,0
83,"2020-06-22",0.00833333333333333,0,0,0,0.0226315479369257,0,0,0
84,"2020-06-23",0.00833333333333333,0,0,0,0.0224505547438032,0,0,0
85,"2020-06-24",0.00833333333333333,0,0,0,0.0222740932091086,0,0,0
86,"2020-06-25",0.00833333333333333,0,0,0,0.0221019819451637,0,0,0
87,"2020-06-26",0.00833333333333333,0,0,0,0.0219340698958443,0,0,0
88,"2020-06-27",0.00833333333333333,0,0,0,0.0217702089986144,0,0,0
89,"2020-06-28",0.00833333333333333,0,0,0,0.0216102449740698,0,0,0
90,"2020-06-29",0.00833333333333333,0,0,0,0.021454045331305,0,0,0
91,"2020-06-30",0.00833333333333333,0,0,0,0.0213014785528156,0,0,0
92,"2020-07-01",0.00833333333333333,0,0,0,0.0211524194706633,0,0,0
93,"2020-07-02",0.00833333333333333,0,0,0,0.0210067457236299,0,0,0
94,"2020-07-03",0.00833333333333333,0,0,0,0.0208643484564584,0,0,0
95,"2020-07-04",0.00833333333333333,0,0,0,0.0207251158146717,0,0,0
96,"2020-07-05",0.00833333333333333,0,0,0,0.020588942867173,0,0,0
97,"2020-07-06",0.00833333333333333,0,0,0,0.0204557295189235,0,0,0
98,"2020-07-07",0.00833333333333333,0,0,0,0.0203253811532018,0,0,0
99,"2020-07-08",0.00833333333333333,0,0,0,0.020197804424684,0,0,0
100,"2020-07-09",0.00833333333333333,0,0,0,0.020072916143027,0,0,0
101,"2020-07-10",0.00833333333333333,0,0,0,0.0199506279913998,0,0,0
102,"2020-07-11",0.00833333333333333,0,0,0,0.0198308628879995,0,0,0
103,"2020-07-12",0.00833333333333333,0,0,0,0.0197135407273677,0,0,0
104,"2020-07-13",0.00833333333333333,0,0,0,0.0195985889614475,0,0,0
105,"2020-07-14",0.2,0,0,0,0.0214026061354515,0,0,0
106,"2020-07-15",0,0,0,0,0.0211906979666947,0,0,0
107,"2020-07-16",0,0,0,0,0.020982868768542,0,0,0
108,"2020-07-17",0,0,0,0,0.0208063766774759,0,0,0
109,"2020-07-18",0,0,0,0,0.020579393790034,0,0,0
110,"2020-07-19",0,0,0,0,0.0203841441394047,0,0,0
111,"2020-07-20",0,0,0,0,0.0201917825761904,0,0,0
112,"2020-07-21",0,0,0,0,0.0200141773354434,0,0,0
113,"2020-07-22",0,0,0,0,0.0198224042800575,0,0,0
114,"2020-07-23",0,0,0,0,0.0196355211134898,0,0,0
115,"2020-07-24",0,0,0,0,0.0194639003059968,0,0,0
116,"2020-07-25",0,0,0,0,0.0191194138688807,0,0,0
117,"2020-07-26",0,0,0,0,0.019109465364038,0,0,0
118,"2020-07-27",0,0,0,0,0.0189402110395872,0,0,0
119,"2020-07-28",0,0,0,0,0.0187782933203117,0,0,0
120,"2020-07-29",0,0,0,0,0.0186109575719427,0,0,0
121,"2020-07-30",0,0,0,0,0.0184520377102975,0,0,0
122,"2020-07-31",0,0,0,0,0.0182869258117135,0,0,0
