"","cutoff","date","lag","predType","fit_resp","right_lwr","right_upr","strawman","scaled_abs_err"
"31",2020-09-26,2020-09-28,2,"nearFuture",1.47676865193396,0.829234395582854,2.62995078707749,2,1.52322982483621
"32",2020-09-26,2020-09-29,3,"nearFuture",3.58348086973501,2.47151601157694,5.19573212700467,2,0.583480286254724
"33",2020-09-26,2020-09-30,4,"nearFuture",2.14838819719797,1.33139153325656,3.46672765341231,2,0.85161095119108
"34",2020-09-26,2020-10-01,5,"nearFuture",1.33681026579272,0.802326784456342,2.22734890739029,2,1.66318807101921
"35",2020-09-26,2020-10-02,6,"nearFuture",2.92741509344896,1.46017473599506,5.8689956195638,2,0.0725848339662087
"36",2020-09-26,2020-10-03,7,"nearFuture",3.99176887016952,2.55580453175906,6.23452166034293,2,0.991767878401647
"37",2020-09-26,2020-10-04,8,"nearFuture",2.59053279346412,1.31113909648843,5.11834340992991,2,0.409466797069086
"38",2020-09-26,2020-10-05,9,"nearFuture",1.85027177714885,1.00989773175757,3.38995280577124,2,1.14972707312407
"39",2020-09-26,2020-10-06,10,"nearFuture",3.01747369680708,1.91405252901094,4.75699980691103,2,0.0174736793334032
"40",2020-09-26,2020-10-07,11,"nearFuture",2.84864147009208,1.57815826220752,5.14191663754777,2,0.151358378549544
"41",2020-09-26,2020-10-08,12,"nearFuture",1.50572517949743,0.908142542013135,2.4965335410306,2,1.49427332622924
"42",2020-09-26,2020-09-27,1,"nearFar",2.79392238397987,1.72449616912341,4.52654081085706,NA,NA
"43",2020-09-26,2020-09-28,2,"nearFar",1.47676865193396,0.829234395582854,2.62995078707749,NA,NA
"44",2020-09-26,2020-09-29,3,"nearFar",3.58348086973501,2.47151601157694,5.19573212700467,NA,NA
"45",2020-09-26,2020-09-30,4,"nearFar",2.14838819719797,1.33139153325656,3.46672765341231,NA,NA
"46",2020-09-26,2020-10-01,5,"nearFar",1.33681026579272,0.802326784456342,2.22734890739029,NA,NA
"47",2020-09-26,2020-10-02,6,"nearFar",2.92741509344896,1.46017473599506,5.8689956195638,NA,NA
"48",2020-09-26,2020-10-03,7,"nearFar",3.99176887016952,2.55580453175906,6.23452166034293,NA,NA
"49",2020-09-26,2020-10-04,8,"nearFar",2.59053279346412,1.31113909648843,5.11834340992991,NA,NA
"50",2020-09-26,2020-10-05,9,"nearFar",1.85027177714885,1.00989773175757,3.38995280577124,NA,NA
"51",2020-09-26,2020-10-06,10,"nearFar",3.01747369680708,1.91405252901094,4.75699980691103,NA,NA
"52",2020-09-26,2020-10-07,11,"nearFar",2.84864147009208,1.57815826220752,5.14191663754777,NA,NA
"53",2020-09-26,2020-10-08,12,"nearFar",1.50572517949743,0.908142542013135,2.4965335410306,NA,NA
"54",2020-09-26,2020-09-27,1,"nearFar",2.79392238397987,1.72449616912341,4.52654081085706,NA,NA
"55",2020-09-26,2020-09-28,2,"nearFar",1.47676865193396,0.829234395582854,2.62995078707749,NA,NA
"56",2020-09-26,2020-09-29,3,"nearFar",3.58348086973501,2.47151601157694,5.19573212700467,NA,NA
"57",2020-09-26,2020-09-30,4,"nearFar",2.14838819719797,1.33139153325656,3.46672765341231,NA,NA
"58",2020-09-26,2020-10-01,5,"nearFar",1.33681026579272,0.802326784456342,2.22734890739029,NA,NA
"59",2020-09-26,2020-10-02,6,"nearFar",2.92741509344896,1.46017473599506,5.8689956195638,NA,NA
"60",2020-09-26,2020-10-03,7,"nearFar",3.99176887016952,2.55580453175906,6.23452166034293,NA,NA
"61",2020-09-26,2020-10-04,8,"nearFar",2.59053279346412,1.31113909648843,5.11834340992991,NA,NA
"62",2020-09-26,2020-10-05,9,"nearFar",1.85027177714885,1.00989773175757,3.38995280577124,NA,NA
"63",2020-09-26,2020-10-06,10,"nearFar",3.01747369680708,1.91405252901094,4.75699980691103,NA,NA
"64",2020-09-26,2020-10-07,11,"nearFar",2.84864147009208,1.57815826220752,5.14191663754777,NA,NA
"65",2020-09-26,2020-10-08,12,"nearFar",1.50572517949743,0.908142542013135,2.4965335410306,NA,NA
"66",2020-10-11,2020-10-12,1,"nearFuture",2.32439034708145,1.46087259149054,3.69833106396562,2,0.837804407557071
"67",2020-10-11,2020-10-13,2,"nearFuture",5.5963521501175,3.66338597458701,8.54923767394058,2,0.798175675970913
"68",2020-10-11,2020-10-14,3,"nearFuture",3.69011615742625,2.3769656469364,5.72871436861056,2,0.154941843815955
"69",2020-10-11,2020-10-15,4,"nearFuture",1.55702278803553,0.766908240705468,3.16116040196914,2,1.22148799523824
"70",2020-10-11,2020-10-16,5,"nearFuture",1.31597889241043,0.787713056272363,2.19851687296522,2,1.34200988278984
"71",2020-10-11,2020-10-17,6,"nearFuture",2.70494244972903,1.49097016801046,4.90735080642792,2,0.647528451371259
"72",2020-10-11,2020-10-18,7,"nearFuture",2.88854411267113,1.81249736915872,4.60342024922208,2,0.555727665800604
"73",2020-10-11,2020-10-19,8,"nearFuture",2.96880183654516,1.82318036466435,4.83429095414625,2,0.515598823928006
"74",2020-10-11,2020-10-20,9,"nearFuture",1.87599293324202,1.25819280533991,2.79714640763919,2,1.06200300237749
