"","date","regioncode","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","population"
"51",2020-04-27,"BRMG",38,1,1586,62,0,4970.00031941967,0.000354235795126592,0.000343261853649949,0.000365560569036995,0,0.000234779601698541,21168791
"52",2020-04-28,"BRMG",63,9,1649,71,835.285455573735,5561.71421788608,0.00040121115690937,0.000390303903770292,0.000412423219121302,0.000203229741649671,0.000262731783685052,21168791
"53",2020-04-29,"BRMG",109,9,1758,80,1308.34792943925,6870.06214732533,0.000459258158713186,0.000448121813687444,0.000470671254784613,0.000341791502292649,0.000324537293949632,21168791
"54",2020-04-30,"BRMG",69,2,1827,82,155.658965166727,6720.20797029876,0.000466611387585195,0.000455530502696213,0.000477961817563246,3.97549237693061e-05,0.000317458279516235,21168791
"55",2020-05-01,"BRMG",108,6,1935,88,831.521985743113,7273.48263531866,0.000505891948564946,0.000494643614244537,0.000517396073158069,0.000217395492321538,0.000343594616967906,21168791
"56",2020-05-02,"BRMG",88,0,2023,88,0,6678.50846875538,0.000504485684609584,0.000493230168426768,0.000515998051757023,0,0.00031548842202445,21168791
"57",2020-05-03,"BRMG",95,1,2118,89,43.8466928563412,6516.08806071109,0.000509369501941435,0.000498093104625606,0.000520901187144697,1.05449330037836e-05,0.000307815786962566,21168791
"58",2020-05-04,"BRMG",229,1,2347,90,767.869541251979,6922.35323390953,0.000544236898643027,0.000532280902482092,0.000556461448200361,0.000178058345842957,0.000327007491070677,21168791
"59",2020-05-05,"BRMG",105,4,2452,94,449.527388751982,7115.23952279958,0.000565472281842378,0.000553523884243231,0.000577678598222,0.000103668547417712,0.000336119314645772,21168791
"60",2020-05-06,"BRMG",153,3,2605,97,494.307319875934,7119.60238433556,0.000588823040035226,0.000576712901762336,0.000601187473727102,0.000111731108944726,0.000336325413403891,21168791
"61",2020-05-07,"BRMG",165,9,2770,106,1272.09307912382,8363.5019221874,0.00064891589461175,0.000636618054862374,0.000661451297310129,0.000298007732299297,0.000395086423319471,21168791
"62",2020-05-08,"BRMG",173,5,2943,111,741.06098240246,9011.97113412248,0.000683923136281927,0.000671477038408754,0.000696599927601648,0.000172215002127372,0.000425719689618669,21168791
"63",2020-05-09,"BRMG",180,7,3123,118,977.985037673065,9750.82112331897,0.000730122517138068,0.000717541490224992,0.000742924133717865,0.0002286419780433,0.00046062248539933,21168791
"64",2020-05-10,"BRMG",114,1,3237,119,0,9465.18592275381,0.000721633254614577,0.000709254305518268,0.000734228259333724,0,0.000447129263204205,21168791
"65",2020-05-11,"BRMG",83,2,3320,121,0,9193.20295613811,0.000711579575717092,0.000699523160000578,0.000723843786068926,0,0.000434280963713899,21168791
"66",2020-05-12,"BRMG",115,6,3435,127,0,8638.10929226694,0.000731752220731972,0.000719866514819088,0.000743834171368205,0,0.000408058697932581,21168791
"67",2020-05-13,"BRMG",298,8,3733,135,993.639043789577,9191.77996015249,0.000802463883472502,0.000790114212106216,0.000815006583113079,0.000213597494200184,0.000434213742303587,21168791
"68",2020-05-14,"BRMG",217,4,3950,139,1141.27727139024,10012.4206930382,0.000830974583521067,0.000818491511992913,0.000843648038299985,0.000240094279816599,0.000472980279933711,21168791
"69",2020-05-15,"BRMG",246,7,4196,146,1052.68020368175,11065.10089672,0.000880702515724741,0.000868021956255847,0.000893568320033681,0.00022094807045666,0.000522708212137385,21168791
"70",2020-05-16,"BRMG",278,4,4474,150,737.599136672015,10967.4145778183,0.000915546222040893,0.000902649679232074,0.000928627023283795,0.000150940121359117,0.000518093573592287,21168791
"71",2020-05-17,"BRMG",137,6,4611,156,310.423239841341,9969.48988822035,0.000930210415184533,0.00091753151397246,0.000943064519682267,6.26239277414316e-05,0.000470952256471347,21168791
"72",2020-05-18,"BRMG",84,5,4695,161,0,9813.83092305362,0.000926238499287754,0.000913935236387796,0.000938707386919047,0,0.000463599027599338,21168791
"73",2020-05-19,"BRMG",282,6,4977,167,684.630612069472,9666.93954937998,0.000966523838542436,0.000954069117932366,0.000979141147022252,0.00013295394960037,0.00045665997408071,21168791
"74",2020-05-20,"BRMG",309,10,5286,177,1524.93869367165,11191.8782430516,0.0010345890405742,0.00102190174873731,0.00104743384987727,0.000298464786231597,0.000528697092009252,21168791
"75",2020-05-21,"BRMG",310,14,5596,191,1905.50158270036,13053.5331328956,0.00112460370332468,0.00111168090171297,0.00113767672682221,0.000382940338919918,0.000616640465338604,21168791
"76",2020-05-22,"BRMG",399,10,5995,201,1723.59578031574,14009.2593719594,0.00120602525358306,0.00119274095197503,0.0012194575107626,0.000346738955467887,0.000661788354940034,21168791
"77",2020-05-23,"BRMG",343,16,6338,217,2160.77368324737,15720.5056664548,0.0013080988053153,0.00129458441693213,0.00132175427271269,0.000445961734555479,0.000742626523472918,21168791
"78",2020-05-24,"BRMG",330,9,6668,226,1104.06139182173,16330.2597384006,0.00136025395162581,0.00134664822256961,0.00137399714483936,0.000225225535552339,0.000771430911590586,21168791
"79",2020-05-25,"BRMG",294,4,6962,230,218.682716645511,15276.8493759223,0.0013705843817692,0.00135704422264006,0.00138425964033445,4.30512950297612e-05,0.000721668487157452,21168791
"80",2020-05-26,"BRMG",554,4,7516,234,1202.65538857365,15738.4437820935,0.00142739704473959,0.00141346610620193,0.00144146528479986,0.000228401642827325,0.000743473908457666,21168791
"81",2020-05-27,"BRMG",495,6,8011,240,1097.66548682333,15858.1242312437,0.0014792500526333,0.00146508489050163,0.00149355217052742,0.000202686522176654,0.000749127535495236,21168791
"82",2020-05-28,"BRMG",675,15,8686,255,2844.0078736076,18702.1321048513,0.00161359914576799,0.00159887856093808,0.0016284552603517,0.000528331645799062,0.000883476628629917,21168791
