"","data.country","data.gid_0","data.iso_code","data.sample_size","data.smoothed_ili","data.smoothed_ili_se","data.survey_date","status"
"30","Spain","ESP","ESP",31936,0.005615,0.000592,"20200522","success"
"31","Spain","ESP","ESP",31801,0.005058,0.000566,"20200523","success"
"32","Spain","ESP","ESP",31868,0.004862,0.000557,"20200524","success"
"33","Spain","ESP","ESP",32168,0.004939,0.000559,"20200525","success"
"34","Spain","ESP","ESP",31579,0.004782,0.000554,"20200526","success"
"35","Spain","ESP","ESP",30969,0.004612,0.00055,"20200527","success"
"36","Spain","ESP","ESP",31753,0.004762,0.000551,"20200528","success"
"37","Spain","ESP","ESP",31513,0.004863,0.000559,"20200529","success"
"38","Spain","ESP","ESP",30737,0.004905,0.000566,"20200530","success"
"39","Spain","ESP","ESP",30270,0.004819,0.000566,"20200531","success"
"40","Spain","ESP","ESP",29107,0.004565,0.000564,"20200601","success"
"41","Spain","ESP","ESP",28541,0.004357,0.000555,"20200602","success"
"42","Spain","ESP","ESP",28005,0.004013,0.000537,"20200603","success"
"43","Spain","ESP","ESP",28027,0.004237,0.000547,"20200604","success"
"44","Spain","ESP","ESP",27862,0.003818,0.00052,"20200605","success"
"45","Spain","ESP","ESP",27552,0.003799,0.000521,"20200606","success"
"46","Spain","ESP","ESP",27113,0.003807,0.000522,"20200607","success"
"47","Spain","ESP","ESP",27256,0.003535,0.000501,"20200608","success"
"48","Spain","ESP","ESP",26980,0.003848,0.000522,"20200609","success"
"49","Spain","ESP","ESP",26791,0.004096,0.00054,"20200610","success"
"50","Spain","ESP","ESP",25963,0.004303,0.000564,"20200611","success"
"51","Spain","ESP","ESP",25901,0.005068,0.000608,"20200612","success"
"52","Spain","ESP","ESP",25581,0.004922,0.000599,"20200613","success"
"53","Spain","ESP","ESP",24966,0.004712,0.000597,"20200614","success"
"54","Spain","ESP","ESP",24713,0.005224,0.000629,"20200615","success"
"55","Spain","ESP","ESP",24519,0.005221,0.000631,"20200616","success"
"56","Spain","ESP","ESP",24445,0.005165,0.000628,"20200617","success"
"57","Spain","ESP","ESP",24285,0.004649,0.000597,"20200618","success"
"58","Spain","ESP","ESP",23746,0.004268,0.00058,"20200619","success"
"59","Spain","ESP","ESP",23596,0.004505,0.000601,"20200620","success"
"60","Spain","ESP","ESP",23777,0.00456,0.000598,"20200621","success"
"61","Spain","ESP","ESP",23680,0.004106,0.000568,"20200622","success"
"62","Spain","ESP","ESP",23829,0.003762,0.000543,"20200623","success"
"63","Spain","ESP","ESP",24118,0.004337,0.000577,"20200624","success"
"64","Spain","ESP","ESP",24541,0.004698,0.000598,"20200625","success"
"65","Spain","ESP","ESP",24727,0.004581,0.000592,"20200626","success"
"66","Spain","ESP","ESP",24840,0.004325,0.000572,"20200627","success"
"67","Spain","ESP","ESP",24825,0.004106,0.000559,"20200628","success"
"68","Spain","ESP","ESP",24872,0.004023,0.000554,"20200629","success"
"69","Spain","ESP","ESP",24815,0.003985,0.000554,"20200630","success"
"70","Spain","ESP","ESP",24449,0.003232,0.000504,"20200701","success"
"71","Spain","ESP","ESP",23643,0.0026,0.000457,"20200702","success"
"72","Spain","ESP","ESP",23005,0.002677,0.000468,"20200703","success"
"73","Spain","ESP","ESP",22390,0.002806,0.000485,"20200704","success"
"74","Spain","ESP","ESP",21821,0.00309,0.000517,"20200705","success"
"75","Spain","ESP","ESP",21605,0.003587,0.000557,"20200706","success"
"76","Spain","ESP","ESP",21472,0.003649,0.000559,"20200707","success"
"77","Spain","ESP","ESP",21386,0.003807,0.000567,"20200708","success"
"78","Spain","ESP","ESP",21747,0.004068,0.000583,"20200709","success"
"79","Spain","ESP","ESP",22585,0.003727,0.00055,"20200710","success"
"80","Spain","ESP","ESP",23122,0.003579,0.000534,"20200711","success"
"81","Spain","ESP","ESP",23740,0.003229,0.000493,"20200712","success"
"82","Spain","ESP","ESP",24042,0.002731,0.000451,"20200713","success"
"83","Spain","ESP","ESP",24362,0.002879,0.000461,"20200714","success"
"84","Spain","ESP","ESP",24614,0.003302,0.000497,"20200715","success"
"85","Spain","ESP","ESP",24890,0.002878,0.00046,"20200716","success"
"86","Spain","ESP","ESP",24829,0.003308,0.000493,"20200717","success"
"87","Spain","ESP","ESP",25090,0.003135,0.000474,"20200718","success"
"88","Spain","ESP","ESP",25279,0.003003,0.000467,"20200719","success"
"89","Spain","ESP","ESP",25655,0.003298,0.000486,"20200720","success"
"90","Spain","ESP","ESP",26080,0.003106,0.000466,"20200721","success"
"91","Spain","ESP","ESP",26420,0.002341,0.000401,"20200722","success"
"92","Spain","ESP","ESP",26703,0.002502,0.000414,"20200723","success"
"93","Spain","ESP","ESP",26982,0.00254,0.000417,"20200724","success"
"94","Spain","ESP","ESP",27158,0.002729,0.000433,"20200725","success"
"95","Spain","ESP","ESP",27289,0.002948,0.00045,"20200726","success"
"96","Spain","ESP","ESP",27379,0.002912,0.000448,"20200727","success"
"97","Spain","ESP","ESP",27116,0.003141,0.000471,"20200728","success"
"98","Spain","ESP","ESP",27063,0.003462,0.000495,"20200729","success"
"99","Spain","ESP","ESP",27018,0.003434,0.00049,"20200730","success"
"100","Spain","ESP","ESP",26704,0.003938,0.000526,"20200731","success"
"101","Spain","ESP","ESP",26197,0.00375,0.000517,"20200801","success"
"102","Spain","ESP","ESP",26023,0.003814,0.000521,"20200802","success"
"103","Spain","ESP","ESP",25511,0.003327,0.000493,"20200803","success"
"104","Spain","ESP","ESP",25063,0.003285,0.00049,"20200804","success"
"105","Spain","ESP","ESP",24773,0.003079,0.000474,"20200805","success"
"106","Spain","ESP","ESP",24413,0.002808,0.000458,"20200806","success"
"107","Spain","ESP","ESP",24356,0.00258,0.000437,"20200807","success"
"108","Spain","ESP","ESP",24626,0.002971,0.000471,"20200808","success"
"109","Spain","ESP","ESP",24639,0.003029,0.000473,"20200809","success"
"110","Spain","ESP","ESP",25000,0.003927,0.000534,"20200810","success"
"111","Spain","ESP","ESP",25458,0.004059,0.000537,"20200811","success"
"112","Spain","ESP","ESP",25680,0.004201,0.000545,"20200812","success"
"113","Spain","ESP","ESP",25916,0.004689,0.000574,"20200813","success"
"114","Spain","ESP","ESP",26160,0.005004,0.000595,"20200814","success"
"115","Spain","ESP","ESP",26305,0.005121,0.000596,"20200815","success"
"116","Spain","ESP","ESP",26412,0.005457,0.000617,"20200816","success"
"117","Spain","ESP","ESP",26465,0.004955,0.000586,"20200817","success"
"118","Spain","ESP","ESP",26524,0.00505,0.000593,"20200818","success"
"119","Spain","ESP","ESP",26705,0.005023,0.000594,"20200819","success"
"120","Spain","ESP","ESP",26895,0.00504,0.000594,"20200820","success"
"121","Spain","ESP","ESP",27179,0.004812,0.000575,"20200821","success"
"122","Spain","ESP","ESP",27393,0.004425,0.000551,"20200822","success"
"123","Spain","ESP","ESP",27699,0.004377,0.000546,"20200823","success"
"124","Spain","ESP","ESP",28049,0.004879,0.000576,"20200824","success"
"125","Spain","ESP","ESP",28348,0.004657,0.00056,"20200825","success"
"126","Spain","ESP","ESP",28667,0.005175,0.000588,"20200826","success"
"127","Spain","ESP","ESP",28928,0.005176,0.000584,"20200827","success"
"128","Spain","ESP","ESP",28837,0.005309,0.000589,"20200828","success"
"129","Spain","ESP","ESP",28731,0.00579,0.000613,"20200829","success"
"130","Spain","ESP","ESP",28405,0.005559,6e-04,"20200830","success"
"131","Spain","ESP","ESP",27753,0.005395,0.000592,"20200831","success"
"132","Spain","ESP","ESP",27192,0.005361,0.000593,"20200901","success"
"133","Spain","ESP","ESP",26584,0.005036,0.000575,"20200902","success"
"134","Spain","ESP","ESP",25868,0.005197,0.000589,"20200903","success"
"135","Spain","ESP","ESP",25220,0.005175,0.000597,"20200904","success"
"136","Spain","ESP","ESP",24811,0.005164,0.000601,"20200905","success"
"137","Spain","ESP","ESP",24376,0.005496,0.000621,"20200906","success"
"138","Spain","ESP","ESP",24175,0.005083,6e-04,"20200907","success"
"139","Spain","ESP","ESP",24007,0.005212,0.00061,"20200908","success"
"140","Spain","ESP","ESP",23658,0.005319,0.000619,"20200909","success"
"141","Spain","ESP","ESP",23620,0.005496,0.000626,"20200910","success"
"142","Spain","ESP","ESP",23686,0.005645,0.000634,"20200911","success"
"143","Spain","ESP","ESP",23396,0.005361,0.000621,"20200912","success"
"144","Spain","ESP","ESP",23507,0.005109,0.000608,"20200913","success"
"145","Spain","ESP","ESP",23539,0.005162,0.000608,"20200914","success"
"146","Spain","ESP","ESP",23473,0.005606,0.000635,"20200915","success"
"147","Spain","ESP","ESP",23659,0.006056,0.000655,"20200916","success"
"148","Spain","ESP","ESP",23765,0.005433,0.000622,"20200917","success"
"149","Spain","ESP","ESP",23892,0.005691,0.000631,"20200918","success"
"150","Spain","ESP","ESP",24322,0.005984,0.000648,"20200919","success"
"151","Spain","ESP","ESP",24392,0.006071,0.000652,"20200920","success"
"152","Spain","ESP","ESP",24393,0.006255,0.000664,"20200921","success"
"153","Spain","ESP","ESP",24463,0.00596,0.000646,"20200922","success"
"154","Spain","ESP","ESP",24460,0.005378,0.000613,"20200923","success"
"155","Spain","ESP","ESP",24243,0.005976,0.000648,"20200924","success"
