"","data.country","data.gid_0","data.gid_1","data.ili_se","data.ili_se_unw","data.iso_code","data.percent_ili","data.percent_ili_unw","data.region","data.sample_size","data.survey_date","status"
"143","Spain","ESP","ESP.1_1",0.00458,0.003517,"ESP",0.00721,0.00611,"Andalucía",491,"20200920","success"
"144","Spain","ESP","ESP.1_1",0.004451,0.004608,"ESP",0.005056,0.009259,"Andalucía",432,"20200921","success"
"145","Spain","ESP","ESP.1_1",0.001991,0.002195,"ESP",0.001236,0.002198,"Andalucía",455,"20200922","success"
"146","Spain","ESP","ESP.1_1",0.001855,0.002116,"ESP",0.001114,0.002119,"Andalucía",472,"20200923","success"
"147","Spain","ESP","ESP.1_1",0.003068,0.003391,"ESP",0.002666,0.004808,"Andalucía",416,"20200924","success"
"148","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",167,"20200503","success"
"149","Spain","ESP","ESP.2_1",0.006444,0.00489,"ESP",0.004029,0.004902,"Aragón",204,"20200504","success"
"150","Spain","ESP","ESP.2_1",0.006229,0.00489,"ESP",0.004306,0.004902,"Aragón",204,"20200505","success"
"151","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",189,"20200506","success"
"152","Spain","ESP","ESP.2_1",0.005378,0.005333,"ESP",0.002553,0.005348,"Aragón",187,"20200507","success"
"153","Spain","ESP","ESP.2_1",0.005447,0.005089,"ESP",0.003159,0.005102,"Aragón",196,"20200508","success"
"154","Spain","ESP","ESP.2_1",0.004971,0.005249,"ESP",0.002778,0.005263,"Aragón",190,"20200509","success"
"155","Spain","ESP","ESP.2_1",0.007143,0.005305,"ESP",0.005686,0.005319,"Aragón",188,"20200510","success"
"156","Spain","ESP","ESP.2_1",0.012546,0.009007,"ESP",0.015378,0.012821,"Aragón",156,"20200511","success"
"157","Spain","ESP","ESP.2_1",0.006358,0.005362,"ESP",0.004957,0.005376,"Aragón",186,"20200512","success"
"158","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",191,"20200513","success"
"159","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",218,"20200514","success"
"160","Spain","ESP","ESP.2_1",0.003992,0.004535,"ESP",0.002585,0.004545,"Aragón",220,"20200515","success"
"161","Spain","ESP","ESP.2_1",0.005432,0.004283,"ESP",0.005059,0.004292,"Aragón",233,"20200516","success"
"162","Spain","ESP","ESP.2_1",0.007206,0.007106,"ESP",0.006707,0.010101,"Aragón",198,"20200517","success"
"163","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",185,"20200518","success"
"164","Spain","ESP","ESP.2_1",0.008076,0.004728,"ESP",0.007151,0.004739,"Aragón",211,"20200519","success"
"165","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",219,"20200520","success"
"166","Spain","ESP","ESP.2_1",0.008288,0.006349,"ESP",0.00643,0.006369,"Aragón",157,"20200521","success"
"167","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",178,"20200522","success"
"168","Spain","ESP","ESP.2_1",0.009531,0.006766,"ESP",0.009702,0.009615,"Aragón",208,"20200523","success"
"169","Spain","ESP","ESP.2_1",0.004929,0.004938,"ESP",0.002583,0.00495,"Aragón",202,"20200524","success"
"170","Spain","ESP","ESP.2_1",0.004177,0.004598,"ESP",0.002193,0.004608,"Aragón",217,"20200525","success"
"171","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",184,"20200526","success"
"172","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",169,"20200527","success"
"173","Spain","ESP","ESP.2_1",0.016918,0.008081,"ESP",0.030236,0.011494,"Aragón",174,"20200528","success"
"174","Spain","ESP","ESP.2_1",0.011292,0.008519,"ESP",0.012536,0.012121,"Aragón",165,"20200529","success"
"175","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",177,"20200530","success"
"176","Spain","ESP","ESP.2_1",0.006477,0.00464,"ESP",0.004804,0.004651,"Aragón",215,"20200531","success"
"177","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",157,"20200601","success"
"178","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",172,"20200602","success"
"179","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",159,"20200603","success"
"180","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",175,"20200604","success"
"181","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",148,"20200605","success"
"182","Spain","ESP","ESP.2_1",0.00618,0.006826,"ESP",0.003672,0.006849,"Aragón",146,"20200606","success"
"183","Spain","ESP","ESP.2_1",0.010448,0.008318,"ESP",0.011964,0.011834,"Aragón",169,"20200607","success"
"184","Spain","ESP","ESP.2_1",0.008711,0.007663,"ESP",0.003713,0.007692,"Aragón",130,"20200608","success"
"185","Spain","ESP","ESP.2_1",0.013406,0.011784,"ESP",0.013062,0.016807,"Aragón",119,"20200609","success"
"186","Spain","ESP","ESP.2_1",0.009027,0.006873,"ESP",0.006677,0.006897,"Aragón",145,"20200610","success"
"187","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",122,"20200611","success"
"188","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",132,"20200612","success"
"189","Spain","ESP","ESP.2_1",0.013293,0.010398,"ESP",0.015415,0.014815,"Aragón",135,"20200613","success"
"190","Spain","ESP","ESP.2_1",0.008455,0.007117,"ESP",0.007052,0.007143,"Aragón",140,"20200614","success"
"191","Spain","ESP","ESP.2_1",0.012922,0.010553,"ESP",0.014375,0.015038,"Aragón",133,"20200615","success"
"192","Spain","ESP","ESP.2_1",0.016401,0.010713,"ESP",0.021035,0.015267,"Aragón",131,"20200616","success"
"193","Spain","ESP","ESP.2_1",0.018953,0.011223,"ESP",0.026607,0.016,"Aragón",125,"20200617","success"
"194","Spain","ESP","ESP.2_1",0.014284,0.008439,"ESP",0.015044,0.008475,"Aragón",118,"20200618","success"
"195","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",123,"20200619","success"
"196","Spain","ESP","ESP.2_1",0.009186,0.007435,"ESP",0.006245,0.007463,"Aragón",134,"20200620","success"
"197","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",144,"20200621","success"
"198","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",135,"20200622","success"
"199","Spain","ESP","ESP.2_1",0.015216,0.012687,"ESP",0.023336,0.022222,"Aragón",135,"20200623","success"
"200","Spain","ESP","ESP.2_1",0.015212,0.008783,"ESP",0.023898,0.0125,"Aragón",160,"20200624","success"
"201","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",145,"20200625","success"
"202","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",134,"20200626","success"
"203","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",130,"20200627","success"
"204","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",119,"20200628","success"
"205","Spain","ESP","ESP.2_1",0.015831,0.009216,"ESP",0.01614,0.009259,"Aragón",108,"20200629","success"
"206","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",151,"20200630","success"
"207","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",117,"20200701","success"
"208","Spain","ESP","ESP.2_1",0.01016,0.009756,"ESP",0.007505,0.009804,"Aragón",102,"20200703","success"
"209","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",104,"20200704","success"
"210","Spain","ESP","ESP.2_1",0.013176,0.009569,"ESP",0.011031,0.009615,"Aragón",104,"20200705","success"
"211","Spain","ESP","ESP.2_1",0.009603,0.007843,"ESP",0.006614,0.007874,"Aragón",127,"20200707","success"
"212","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",124,"20200708","success"
"213","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",110,"20200709","success"
"214","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",130,"20200710","success"
"215","Spain","ESP","ESP.2_1",0.008726,0.009049,"ESP",0.005695,0.009091,"Aragón",110,"20200711","success"
"216","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",139,"20200712","success"
"217","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",152,"20200713","success"
"218","Spain","ESP","ESP.2_1",0.009456,0.007017,"ESP",0.008902,0.007042,"Aragón",142,"20200714","success"
"219","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",125,"20200715","success"
"220","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",158,"20200716","success"
"221","Spain","ESP","ESP.2_1",0.006125,0.006079,"ESP",0.003329,0.006098,"Aragón",164,"20200717","success"
"222","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",159,"20200718","success"
"223","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",168,"20200719","success"
"224","Spain","ESP","ESP.2_1",0.012294,0.009091,"ESP",0.020105,0.015873,"Aragón",189,"20200720","success"
"225","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",181,"20200721","success"
"226","Spain","ESP","ESP.2_1",0.005871,0.005764,"ESP",0.003101,0.00578,"Aragón",173,"20200722","success"
"227","Spain","ESP","ESP.2_1",0.013429,0.011282,"ESP",0.014476,0.019737,"Aragón",152,"20200723","success"
"228","Spain","ESP","ESP.2_1",0.004874,0.0059,"ESP",0.002098,0.005917,"Aragón",169,"20200724","success"
"229","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",141,"20200725","success"
"230","Spain","ESP","ESP.2_1",0.006619,0.005831,"ESP",0.005288,0.005848,"Aragón",171,"20200726","success"
"231","Spain","ESP","ESP.2_1",0.008469,0.007168,"ESP",0.006076,0.007194,"Aragón",139,"20200727","success"
"232","Spain","ESP","ESP.2_1",0.018603,0.012045,"ESP",0.022477,0.02439,"Aragón",164,"20200728","success"
"233","Spain","ESP","ESP.2_1",0.009443,0.010553,"ESP",0.00723,0.015038,"Aragón",133,"20200729","success"
"234","Spain","ESP","ESP.2_1",0.008393,0.005764,"ESP",0.007659,0.00578,"Aragón",173,"20200730","success"
"235","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",124,"20200731","success"
"236","Spain","ESP","ESP.2_1",0.009972,0.00749,"ESP",0.009891,0.007519,"Aragón",133,"20200801","success"
"237","Spain","ESP","ESP.2_1",0,0,"ESP",0,0,"Aragón",152,"20200802","success"
