"","data.country","data.gid_0","data.iso_code","data.sample_size","data.smoothed_cli","data.smoothed_cli_se","data.survey_date","status"
"107","Spain","ESP","ESP",24356,0.003502,0.000509,"20200807","success"
"108","Spain","ESP","ESP",24626,0.003628,0.00052,"20200808","success"
"109","Spain","ESP","ESP",24639,0.003685,0.000522,"20200809","success"
"110","Spain","ESP","ESP",25000,0.004408,0.000566,"20200810","success"
"111","Spain","ESP","ESP",25458,0.004385,0.000559,"20200811","success"
"112","Spain","ESP","ESP",25680,0.004423,0.00056,"20200812","success"
"113","Spain","ESP","ESP",25916,0.004935,0.000589,"20200813","success"
"114","Spain","ESP","ESP",26160,0.005323,0.000613,"20200814","success"
"115","Spain","ESP","ESP",26305,0.005526,0.000619,"20200815","success"
"116","Spain","ESP","ESP",26412,0.005953,0.000644,"20200816","success"
"117","Spain","ESP","ESP",26465,0.005727,0.00063,"20200817","success"
"118","Spain","ESP","ESP",26524,0.006107,0.000652,"20200818","success"
"119","Spain","ESP","ESP",26705,0.006055,0.000651,"20200819","success"
"120","Spain","ESP","ESP",26895,0.006105,0.000653,"20200820","success"
"121","Spain","ESP","ESP",27179,0.005828,0.000632,"20200821","success"
"122","Spain","ESP","ESP",27393,0.005563,0.000617,"20200822","success"
"123","Spain","ESP","ESP",27699,0.005422,0.000608,"20200823","success"
"124","Spain","ESP","ESP",28049,0.005749,0.000625,"20200824","success"
"125","Spain","ESP","ESP",28348,0.005305,0.000597,"20200825","success"
"126","Spain","ESP","ESP",28667,0.005674,0.000616,"20200826","success"
"127","Spain","ESP","ESP",28928,0.00564,0.000609,"20200827","success"
"128","Spain","ESP","ESP",28837,0.005726,0.000611,"20200828","success"
"129","Spain","ESP","ESP",28731,0.006128,0.000631,"20200829","success"
"130","Spain","ESP","ESP",28405,0.006004,0.000623,"20200830","success"
"131","Spain","ESP","ESP",27753,0.006243,0.000637,"20200831","success"
"132","Spain","ESP","ESP",27192,0.006646,0.00066,"20200901","success"
"133","Spain","ESP","ESP",26584,0.006454,0.00065,"20200902","success"
"134","Spain","ESP","ESP",25868,0.006642,0.000666,"20200903","success"
"135","Spain","ESP","ESP",25220,0.006577,0.000673,"20200904","success"
"136","Spain","ESP","ESP",24811,0.006546,0.000676,"20200905","success"
"137","Spain","ESP","ESP",24376,0.006755,0.000688,"20200906","success"
"138","Spain","ESP","ESP",24175,0.006054,0.000655,"20200907","success"
"139","Spain","ESP","ESP",24007,0.005911,0.000649,"20200908","success"
"140","Spain","ESP","ESP",23658,0.006147,0.000665,"20200909","success"
"141","Spain","ESP","ESP",23620,0.006303,0.00067,"20200910","success"
"142","Spain","ESP","ESP",23686,0.006399,0.000675,"20200911","success"
"143","Spain","ESP","ESP",23396,0.006131,0.000663,"20200912","success"
"144","Spain","ESP","ESP",23507,0.00621,0.00067,"20200913","success"
"145","Spain","ESP","ESP",23539,0.006241,0.000668,"20200914","success"
"146","Spain","ESP","ESP",23473,0.006494,0.000683,"20200915","success"
"147","Spain","ESP","ESP",23659,0.006993,0.000704,"20200916","success"
"148","Spain","ESP","ESP",23765,0.006416,0.000676,"20200917","success"
"149","Spain","ESP","ESP",23892,0.006793,0.00069,"20200918","success"
"150","Spain","ESP","ESP",24322,0.007147,0.000707,"20200919","success"
"151","Spain","ESP","ESP",24392,0.006899,0.000694,"20200920","success"
"152","Spain","ESP","ESP",24393,0.007,0.000702,"20200921","success"
"153","Spain","ESP","ESP",24463,0.006922,0.000695,"20200922","success"
"154","Spain","ESP","ESP",24460,0.0062,0.000658,"20200923","success"
"155","Spain","ESP","ESP",24243,0.006826,0.000692,"20200924","success"
