"","date","cs_recent","ccfr","fb_umd","population"
"74",2020-08-05,1.72335653884964,1.20491106970501,2.15205624279868,204453710
"75",2020-08-06,1.62117950253874,1.23796044921006,2.14408004243868,204453710
"76",2020-08-07,1.51285454661846,1.27010840693557,2.13576018150964,204453710
"77",2020-08-10,1.40633326253171,1.12812560890438,2.10860711095265,204453710
"78",2020-08-11,1.30956724172141,1.10710668688605,2.09878108339182,204453710
"79",2020-08-12,1.23050807563048,1.10969580147097,2.08854563308414,204453710
"80",2020-08-13,1.17708779637694,1.16564718523043,2.07788760759404,204453710
"81",2020-08-17,1.1531699980329,1.0490258894922,2.03081217739964,204453710
"82",2020-08-18,1.15357912847726,1.03704094914929,2.0179322039424,204453710
"83",2020-08-19,1.1719224593363,1.04091376789641,2.00462387337278,204453710
"84",2020-08-20,1.20180726223626,1.06561571526693,1.99089611571293,204453710
