"year_week","date","countrycode","countryname","hosp_occupancy","hosp_weekly_admission"
"2020-W33",2020-08-15,"HR","Croatia",118,1.71726632789091
"2020-W33",2020-08-16,"HR","Croatia",126,1.71726632789091
"2020-W34",2020-08-17,"HR","Croatia",126,2.40417285904727
"2020-W34",2020-08-18,"HR","Croatia",120,2.40417285904727
"2020-W34",2020-08-19,"HR","Croatia",122,2.40417285904727
"2020-W34",2020-08-20,"HR","Croatia",127,2.40417285904727
"2020-W34",2020-08-21,"HR","Croatia",135,2.40417285904727
"2020-W34",2020-08-22,"HR","Croatia",143,2.40417285904727
"2020-W34",2020-08-23,"HR","Croatia",155,2.40417285904727
"2020-W35",2020-08-24,"HR","Croatia",163,4.63661908530545
"2020-W35",2020-08-25,"HR","Croatia",167,4.63661908530545
"2020-W35",2020-08-26,"HR","Croatia",174,4.63661908530545
"2020-W35",2020-08-27,"HR","Croatia",194,4.63661908530545
"2020-W35",2020-08-28,"HR","Croatia",212,4.63661908530545
"2020-W35",2020-08-29,"HR","Croatia",211,4.63661908530545
"2020-W35",2020-08-30,"HR","Croatia",229,4.63661908530545
"2020-W36",2020-08-31,"HR","Croatia",251,5.74057601037818
"2020-W36",2020-09-01,"HR","Croatia",258,5.74057601037818
"2020-W36",2020-09-02,"HR","Croatia",258,5.74057601037818
"2020-W36",2020-09-03,"HR","Croatia",269,5.74057601037818
"2020-W36",2020-09-04,"HR","Croatia",283,5.74057601037818
"2020-W36",2020-09-05,"HR","Croatia",285,5.74057601037818
"2020-W36",2020-09-06,"HR","Croatia",296,5.74057601037818
"2020-W37",2020-09-07,"HR","Croatia",307,5.37259036868727
"2020-W37",2020-09-08,"HR","Croatia",303,5.37259036868727
"2020-W37",2020-09-09,"HR","Croatia",299,5.37259036868727
"2020-W37",2020-09-10,"HR","Croatia",320,5.37259036868727
"2020-W37",2020-09-11,"HR","Croatia",327,5.37259036868727
"2020-W37",2020-09-12,"HR","Croatia",313,5.37259036868727
"2020-W37",2020-09-13,"HR","Croatia",309,5.37259036868727
"2020-W38",2020-09-14,"HR","Croatia",310,4.19503631527636
"2020-W38",2020-09-15,"HR","Croatia",299,4.19503631527636
"2020-W38",2020-09-16,"HR","Croatia",293,4.19503631527636
"2020-W38",2020-09-17,"HR","Croatia",300,4.19503631527636
"2020-W38",2020-09-18,"HR","Croatia",280,4.19503631527636
"2020-W38",2020-09-19,"HR","Croatia",288,4.19503631527636
"2020-W38",2020-09-20,"HR","Croatia",281,4.19503631527636
"2020-W39",2020-09-21,"HR","Croatia",297,5.02913710310909
"2020-W39",2020-09-22,"HR","Croatia",278,5.02913710310909
"2020-W39",2020-09-23,"HR","Croatia",278,5.02913710310909
"2020-W39",2020-09-24,"HR","Croatia",266,5.02913710310909
"2020-W39",2020-09-25,"HR","Croatia",273,5.02913710310909
"2020-W39",2020-09-26,"HR","Croatia",271,5.02913710310909
"2020-W39",2020-09-27,"HR","Croatia",280,5.02913710310909
"2020-W40",2020-09-28,"HR","Croatia",291,5.69151125815272
"2020-W40",2020-09-29,"HR","Croatia",274,5.69151125815272
"2020-W40",2020-09-30,"HR","Croatia",288,5.69151125815272
"2020-W40",2020-10-01,"HR","Croatia",297,5.69151125815272
"2020-W40",2020-10-02,"HR","Croatia",286,5.69151125815272
"2020-W40",2020-10-03,"HR","Croatia",289,5.69151125815272
"2020-W40",2020-10-04,"HR","Croatia",296,5.69151125815272
"2020-W41",2020-10-05,"HR","Croatia",326,8.31647550221454
"2020-W41",2020-10-06,"HR","Croatia",334,8.31647550221454
"2020-W41",2020-10-07,"HR","Croatia",344,8.31647550221454
"2020-W41",2020-10-08,"HR","Croatia",361,8.31647550221454
"2020-W41",2020-10-09,"HR","Croatia",385,8.31647550221454
"2020-W41",2020-10-10,"HR","Croatia",382,8.31647550221454
"2020-W41",2020-10-11,"HR","Croatia",384,8.31647550221454
"2020-W42",2020-10-12,"HR","Croatia",404,12.8304327069564
"2020-W42",2020-10-13,"HR","Croatia",424,12.8304327069564
"2020-W42",2020-10-14,"HR","Croatia",441,12.8304327069564
"2020-W42",2020-10-15,"HR","Croatia",439,12.8304327069564
"2020-W42",2020-10-16,"HR","Croatia",505,12.8304327069564
"2020-W42",2020-10-17,"HR","Croatia",530,12.8304327069564
"2020-W42",2020-10-18,"HR","Croatia",548,12.8304327069564
"2020-W43",2020-10-19,"HR","Croatia",571,20.1410807885491
"2020-W43",2020-10-20,"HR","Croatia",574,20.1410807885491
"2020-W43",2020-10-21,"HR","Croatia",622,20.1410807885491
"2020-W43",2020-10-22,"HR","Croatia",661,20.1410807885491
"2020-W43",2020-10-23,"HR","Croatia",716,20.1410807885491
"2020-W43",2020-10-24,"HR","Croatia",731,20.1410807885491
"2020-W43",2020-10-25,"HR","Croatia",825,20.1410807885491
"2020-W44",2020-10-26,"HR","Croatia",864,26.5930957061963
"2020-W44",2020-10-27,"HR","Croatia",897,26.5930957061963
"2020-W44",2020-10-28,"HR","Croatia",932,26.5930957061963
"2020-W44",2020-10-29,"HR","Croatia",985,26.5930957061963
"2020-W44",2020-10-30,"HR","Croatia",1027,26.5930957061963
"2020-W44",2020-10-31,"HR","Croatia",1049,26.5930957061963
"2020-W44",2020-11-01,"HR","Croatia",1097,26.5930957061963
