"date","year_week","countrycode","countryname","hosp_occupancy"
2020-07-12,"2020-W28","HU","Hungary",128
2020-07-13,"2020-W29","HU","Hungary",127
2020-07-14,"2020-W29","HU","Hungary",131
2020-07-15,"2020-W29","HU","Hungary",125
2020-07-16,"2020-W29","HU","Hungary",109
2020-07-17,"2020-W29","HU","Hungary",83
2020-07-18,"2020-W29","HU","Hungary",83
2020-07-19,"2020-W29","HU","Hungary",82
2020-07-20,"2020-W30","HU","Hungary",83
2020-07-21,"2020-W30","HU","Hungary",78
2020-07-22,"2020-W30","HU","Hungary",76
2020-07-23,"2020-W30","HU","Hungary",76
2020-07-24,"2020-W30","HU","Hungary",70
2020-07-25,"2020-W30","HU","Hungary",68
2020-07-26,"2020-W30","HU","Hungary",69
2020-07-27,"2020-W31","HU","Hungary",71
2020-07-28,"2020-W31","HU","Hungary",76
2020-07-29,"2020-W31","HU","Hungary",76
2020-07-30,"2020-W31","HU","Hungary",76
2020-07-31,"2020-W31","HU","Hungary",73
2020-08-01,"2020-W31","HU","Hungary",73
2020-08-02,"2020-W31","HU","Hungary",71
2020-08-03,"2020-W32","HU","Hungary",74
2020-08-04,"2020-W32","HU","Hungary",75
2020-08-05,"2020-W32","HU","Hungary",72
2020-08-06,"2020-W32","HU","Hungary",74
2020-08-07,"2020-W32","HU","Hungary",72
2020-08-08,"2020-W32","HU","Hungary",69
2020-08-09,"2020-W32","HU","Hungary",73
2020-08-10,"2020-W33","HU","Hungary",61
2020-08-11,"2020-W33","HU","Hungary",62
2020-08-12,"2020-W33","HU","Hungary",64
2020-08-13,"2020-W33","HU","Hungary",66
2020-08-14,"2020-W33","HU","Hungary",64
2020-08-15,"2020-W33","HU","Hungary",63
2020-08-16,"2020-W33","HU","Hungary",62
2020-08-17,"2020-W34","HU","Hungary",62
2020-08-18,"2020-W34","HU","Hungary",60
2020-08-19,"2020-W34","HU","Hungary",57
2020-08-20,"2020-W34","HU","Hungary",57
2020-08-21,"2020-W34","HU","Hungary",58
2020-08-22,"2020-W34","HU","Hungary",60
2020-08-23,"2020-W34","HU","Hungary",59
2020-08-24,"2020-W35","HU","Hungary",59
2020-08-25,"2020-W35","HU","Hungary",57
2020-08-26,"2020-W35","HU","Hungary",64
2020-08-27,"2020-W35","HU","Hungary",69
2020-08-28,"2020-W35","HU","Hungary",78
2020-08-29,"2020-W35","HU","Hungary",90
2020-08-30,"2020-W35","HU","Hungary",90
2020-08-31,"2020-W36","HU","Hungary",93
2020-09-01,"2020-W36","HU","Hungary",96
2020-09-02,"2020-W36","HU","Hungary",98
2020-09-03,"2020-W36","HU","Hungary",100
2020-09-04,"2020-W36","HU","Hungary",120
2020-09-05,"2020-W36","HU","Hungary",139
2020-09-06,"2020-W36","HU","Hungary",151
2020-09-07,"2020-W37","HU","Hungary",151
2020-09-08,"2020-W37","HU","Hungary",192
2020-09-09,"2020-W37","HU","Hungary",221
2020-09-10,"2020-W37","HU","Hungary",234
2020-09-11,"2020-W37","HU","Hungary",259
2020-09-12,"2020-W37","HU","Hungary",282
2020-09-13,"2020-W37","HU","Hungary",282
2020-09-14,"2020-W38","HU","Hungary",287
2020-09-15,"2020-W38","HU","Hungary",306
2020-09-16,"2020-W38","HU","Hungary",324
2020-09-17,"2020-W38","HU","Hungary",328
2020-09-18,"2020-W38","HU","Hungary",374
2020-09-19,"2020-W38","HU","Hungary",386
2020-09-20,"2020-W38","HU","Hungary",404
2020-09-21,"2020-W39","HU","Hungary",463
2020-09-22,"2020-W39","HU","Hungary",534
2020-09-23,"2020-W39","HU","Hungary",558
2020-09-24,"2020-W39","HU","Hungary",549
2020-09-25,"2020-W39","HU","Hungary",577
2020-09-26,"2020-W39","HU","Hungary",589
2020-09-27,"2020-W39","HU","Hungary",620
2020-09-28,"2020-W40","HU","Hungary",693
2020-09-29,"2020-W40","HU","Hungary",755
2020-09-30,"2020-W40","HU","Hungary",773
2020-10-01,"2020-W40","HU","Hungary",757
2020-10-02,"2020-W40","HU","Hungary",740
2020-10-03,"2020-W40","HU","Hungary",704
2020-10-04,"2020-W40","HU","Hungary",685
2020-10-05,"2020-W41","HU","Hungary",649
2020-10-06,"2020-W41","HU","Hungary",627
2020-10-07,"2020-W41","HU","Hungary",656
2020-10-08,"2020-W41","HU","Hungary",804
2020-10-09,"2020-W41","HU","Hungary",993
2020-10-10,"2020-W41","HU","Hungary",1174
2020-10-11,"2020-W41","HU","Hungary",1252
2020-10-12,"2020-W42","HU","Hungary",1418
2020-10-13,"2020-W42","HU","Hungary",1519
2020-10-14,"2020-W42","HU","Hungary",1538
2020-10-15,"2020-W42","HU","Hungary",1555
2020-10-16,"2020-W42","HU","Hungary",1642
2020-10-17,"2020-W42","HU","Hungary",1693
2020-10-18,"2020-W42","HU","Hungary",1712
2020-10-19,"2020-W43","HU","Hungary",1896
2020-10-20,"2020-W43","HU","Hungary",1960
2020-10-21,"2020-W43","HU","Hungary",2023
2020-10-22,"2020-W43","HU","Hungary",2132
2020-10-23,"2020-W43","HU","Hungary",2209
2020-10-24,"2020-W43","HU","Hungary",2245
2020-10-25,"2020-W43","HU","Hungary",2449
2020-10-26,"2020-W44","HU","Hungary",2602
2020-10-27,"2020-W44","HU","Hungary",2891
2020-10-28,"2020-W44","HU","Hungary",3166
2020-10-29,"2020-W44","HU","Hungary",3197
2020-10-30,"2020-W44","HU","Hungary",3753
2020-10-31,"2020-W44","HU","Hungary",4048
2020-11-01,"2020-W44","HU","Hungary",4205
2020-11-02,"2020-W45","HU","Hungary",4417
2020-11-03,"2020-W45","HU","Hungary",4767
2020-11-04,"2020-W45","HU","Hungary",4871
2020-11-05,"2020-W45","HU","Hungary",5183
2020-11-06,"2020-W45","HU","Hungary",5489
2020-11-07,"2020-W45","HU","Hungary",5612
2020-11-08,"2020-W45","HU","Hungary",5803
2020-11-09,"2020-W46","HU","Hungary",6061
2020-11-10,"2020-W46","HU","Hungary",6153
2020-11-11,"2020-W46","HU","Hungary",6352
2020-11-12,"2020-W46","HU","Hungary",6426
2020-11-13,"2020-W46","HU","Hungary",6690
2020-11-14,"2020-W46","HU","Hungary",7029
2020-11-15,"2020-W46","HU","Hungary",7013
2020-11-16,"2020-W47","HU","Hungary",7236
2020-11-17,"2020-W47","HU","Hungary",7477
2020-11-18,"2020-W47","HU","Hungary",7499
2020-11-19,"2020-W47","HU","Hungary",7532
2020-11-20,"2020-W47","HU","Hungary",7512
2020-11-21,"2020-W47","HU","Hungary",7358
2020-11-22,"2020-W47","HU","Hungary",7278
2020-11-23,"2020-W48","HU","Hungary",7461
2020-11-24,"2020-W48","HU","Hungary",7598
2020-11-25,"2020-W48","HU","Hungary",7718
2020-11-26,"2020-W48","HU","Hungary",7537
2020-11-27,"2020-W48","HU","Hungary",7591
2020-11-28,"2020-W48","HU","Hungary",7536
2020-11-29,"2020-W48","HU","Hungary",7590
2020-11-30,"2020-W48","HU","Hungary",NA
2020-12-01,"2020-W48","HU","Hungary",NA
2020-12-02,"2020-W48","HU","Hungary",NA
2020-12-03,"2020-W48","HU","Hungary",NA
2020-12-04,"2020-W48","HU","Hungary",NA
2020-12-05,"2020-W48","HU","Hungary",NA
2020-12-06,"2020-W48","HU","Hungary",NA
NA,"2020-W32","HU","Hungary",NA
NA,"2020-W33","HU","Hungary",NA
NA,"2020-W34","HU","Hungary",NA
NA,"2020-W35","HU","Hungary",NA
NA,"2020-W36","HU","Hungary",NA
NA,"2020-W37","HU","Hungary",NA
NA,"2020-W38","HU","Hungary",NA
NA,"2020-W39","HU","Hungary",NA
NA,"2020-W40","HU","Hungary",NA
NA,"2020-W41","HU","Hungary",NA
NA,"2020-W42","HU","Hungary",NA
NA,"2020-W43","HU","Hungary",NA
NA,"2020-W44","HU","Hungary",NA
NA,"2020-W45","HU","Hungary",NA
NA,"2020-W46","HU","Hungary",NA
NA,"2020-W47","HU","Hungary",NA
NA,"2020-W48","HU","Hungary",NA
NA,"2020-W09","HU","Hungary",NA
NA,"2020-W10","HU","Hungary",NA
NA,"2020-W11","HU","Hungary",NA
NA,"2020-W12","HU","Hungary",NA
NA,"2020-W13","HU","Hungary",NA
NA,"2020-W14","HU","Hungary",NA
NA,"2020-W17","HU","Hungary",NA
NA,"2020-W18","HU","Hungary",NA
NA,"2020-W19","HU","Hungary",NA
NA,"2020-W20","HU","Hungary",NA
NA,"2020-W21","HU","Hungary",NA
NA,"2020-W22","HU","Hungary",NA
NA,"2020-W23","HU","Hungary",NA
NA,"2020-W24","HU","Hungary",NA
NA,"2020-W25","HU","Hungary",NA
NA,"2020-W26","HU","Hungary",NA
NA,"2020-W29","HU","Hungary",NA
NA,"2020-W30","HU","Hungary",NA
NA,"2020-W31","HU","Hungary",NA
NA,"2020-W15","HU","Hungary",NA
NA,"2020-W16","HU","Hungary",NA
NA,"2020-W27","HU","Hungary",NA
NA,"2020-W28","HU","Hungary",NA
