"date","country","region","population","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick"
2020-10-25,"BR","BRSC",6819190,0.0464285714285714,0.0107142857142857,0.00357142857142857,0.00714285714285714
2020-10-26,"BR","BRSC",6819190,0.0464285714285714,0.0107142857142857,0.00357142857142857,0.00714285714285714
2020-10-27,"BR","BRSC",6819190,0.0464285714285714,0.0107142857142857,0.00357142857142857,0.00714285714285714
2020-10-28,"BR","BRSC",6819190,0.0464285714285714,0.0107142857142857,0.00357142857142857,0.00714285714285714
2020-10-29,"BR","BRSC",6819190,0.0464285714285714,0.0107142857142857,0.00357142857142857,0.00714285714285714
2020-10-30,"BR","BRSC",6819190,0.0464285714285714,0.0107142857142857,0.00357142857142857,0.00714285714285714
2020-10-31,"BR","BRSC",6819190,0.0464285714285714,0.0107142857142857,0.00357142857142857,0.00714285714285714
2020-11-01,"BR","BRSC",6819190,0.0464285714285714,0.0107142857142857,0.00357142857142857,0.00714285714285714
2020-11-02,"BR","BRSC",6819190,0.0464285714285714,0.0107142857142857,0.00357142857142857,0.00714285714285714
2020-11-03,"BR","BRSC",6819190,0.0464285714285714,0.0107142857142857,0.00357142857142857,0.00714285714285714
2020-11-04,"BR","BRSC",6819190,0.0464285714285714,0.0107142857142857,0.00357142857142857,0.00714285714285714
2020-11-05,"BR","BRSC",6819190,0.0605263157894737,0.00789473684210526,0.00263157894736842,0.0105263157894737
2020-11-06,"BR","BRSC",6819190,0.0605263157894737,0.00789473684210526,0.00263157894736842,0.0105263157894737
2020-11-07,"BR","BRSC",6819190,0.0625,0.0075,0.0025,0.01
2020-11-08,"BR","BRSC",6819190,0.0625,0.0075,0.0025,0.01
2020-11-09,"BR","BRSC",6819190,0.0666666666666667,0.00666666666666667,0.00222222222222222,0.00888888888888889
2020-11-10,"BR","BRSC",6819190,0.0666666666666667,0.00666666666666667,0.00222222222222222,0.00888888888888889
2020-11-11,"BR","BRSC",6819190,0.0666666666666667,0.00666666666666667,0.00222222222222222,0.00888888888888889
2020-11-12,"BR","BRSC",6819190,0.0666666666666667,0.00666666666666667,0.00222222222222222,0.00888888888888889
2020-11-13,"BR","BRSC",6819190,0.0666666666666667,0.00666666666666667,0.00222222222222222,0.00888888888888889
2020-11-14,"BR","BRSC",6819190,0.0660377358490566,0.00188679245283019,0,0.00754716981132075
2020-11-15,"BR","BRSC",6819190,0.0660377358490566,0.00188679245283019,0,0.00754716981132075
