"X","date","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_smooth","p_cases_smooth_low","p_cases_smooth_high","p_cases_recent_smooth","p_cases_recent_smooth_low","p_cases_recent_smooth_high","p_cases_stillsick_smooth","p_cases_stillsick_smooth_low","p_cases_stillsick_smooth_high"
14,"2020-04-02",0.0051150895140665,0,0,0,1.06194202007203e-07,-3.83481582246046e-07,5.95869986260453e-07,8.82669975087711e+26,-2.98563732467381e+28,3.16217131969135e+28,1.76533995017677e+27,-5.97127464935227e+28,6.32434263938762e+28
15,"2020-04-03",0.0119617224880383,0,0,0,1.11997687967613e-07,-4.01818142134753e-07,6.25813518069978e-07,6.44079321177097e+26,-2.16803832509204e+28,2.29685418932746e+28,1.28815864235512e+27,-4.33607665018727e+28,4.59370837865829e+28
16,"2020-04-04",0.0150187734668335,0,0,0,1.18118333047812e-07,-4.21016548314482e-07,6.57253214410105e-07,4.69981061638272e+26,-1.57429656081799e+28,1.66829277314565e+28,9.39962123277248e+26,-3.14859312163839e+28,3.33658554629384e+28
17,"2020-04-05",0.0173913043478261,0,0,0,1.24573469929979e-07,-4.41116390572052e-07,6.90263330432009e-07,3.42942539895489e+26,-1.1431302699562e+28,1.2117187779353e+28,6.85885079791481e+26,-2.28626053991412e+28,2.42343755587242e+28
18,"2020-04-06",0.0125348189415042,0,0,0,1.31381378524922e-07,-4.62159017281463e-07,7.24921774331307e-07,2.50243244397983e+26,-8.30031142316445e+27,8.80079791196042e+27,5.00486488796334e+26,-1.66006228463414e+28,1.7601595823934e+28
19,"2020-04-07",0.0125348189415042,0,0,0,1.38561337738072e-07,-4.84187609856561e-07,7.61310285332705e-07,1.82601089342584e+26,-6.02673962673894e+27,6.39194180542411e+27,3.65202178685433e+26,-1.20534792534868e+28,1.27838836108577e+28
20,"2020-04-08",0.0126404494382022,0,0,0,1.46133680064486e-07,-5.07247260303541e-07,7.99514620432512e-07,1.33242988873937e+26,-4.37582298080252e+27,4.64230895855039e+27,2.66485977748065e+26,-8.75164596161148e+27,9.28461791710761e+27
21,"2020-04-09",0.00930851063829787,0,0,0,1.54119849167459e-07,-5.31385052042631e-07,8.39624750377549e-07,9.72266603007587e+25,-3.17706592697269e+27,3.37151924757421e+27,1.94453320601659e+26,-6.35413185395011e+27,6.74303849515343e+27
22,"2020-04-10",0.00930851063829787,0,0,0,1.62542460603833e-07,-5.56650144190434e-07,8.817350653981e-07,7.09457477134704e+25,-2.30665034374555e+27,2.44854183917249e+27,1.41891495427044e+26,-4.61330068749452e+27,4.89708367834861e+27
23,"2020-04-11",0.010498687664042,0,0,0,1.71425365876248e-07,-5.83093868492125e-07,9.2594460024462e-07,5.17687134686479e+25,-1.67465847928477e+27,1.77819590622207e+27,1.03537426937369e+26,-3.34931695857196e+27,3.55639181244669e+27
24,"2020-04-12",0.00865265760197775,0,0,0,1.80793719997957e-07,-6.10769843345976e-07,9.7235728334189e-07,3.77753393342563e+25,-1.21579281745219e+27,1.2913434961207e+27,7.55506786685665e+25,-2.43158563490614e+27,2.58268699224328e+27
25,"2020-04-13",0.00865265760197775,0,0,0,1.90674052712527e-07,-6.39734050709154e-07,1.02108215613421e-06,2.75644528559213e+25,-8.82635953717608e+26,9.37764859429451e+26,5.51289057118812e+25,-1.76527190743648e+27,1.87552971886024e+27
26,"2020-04-14",0.0090293453724605,0,0,0,2.01094343618777e-07,-6.70044928784847e-07,1.0722336160224e-06,2.01136263667468e+25,-6.40755377234272e+26,6.80982629967766e+26,4.02272527335216e+25,-1.28151075446946e+27,1.3619652599365e+27
27,"2020-04-15",0.00934579439252336,0,0,0,2.12084101406159e-07,-7.01763473103857e-07,1.12593167591618e-06,1.46768001431301e+25,-4.65148250101118e+26,4.94501850387378e+26,2.93536002862804e+25,-9.30296500202894e+26,9.89003700775455e+26
28,"2020-04-16",0.00934579439252336,0,0,0,2.23674447420431e-07,-7.34953341239673e-07,1.18230223608053e-06,1.0709578596802e+25,-3.37659435995638e+26,3.59078593189242e+26,2.14191571936187e+25,-6.75318871991754e+26,7.18157186378992e+26
29,"2020-04-17",0.0102272727272727,0,0,0,2.35898203796281e-07,-7.6968096126089e-07,1.24147736885345e-06,7.81471932591293e+24,-2.45106391287154e+26,2.60735829938979e+26,1.56294386518365e+25,-4.9021278257465e+26,5.21471659878323e+26
30,"2020-04-18",0.0102272727272727,0,0,0,2.48789986406502e-07,-8.06015644029731e-07,1.30359561684273e-06,5.70235678190293e+24,-1.77917432897216e+26,1.89322146461022e+26,1.14047135638137e+25,-3.55834865794683e+26,3.78644292922311e+26
31,"2020-04-19",0.0102272727272727,0,0,0,2.62386302890936e-07,-8.4402969946129e-07,1.36880230524316e-06,4.16097770271694e+24,-1.29142850738408e+26,1.37464806143841e+26,8.32195540543945e+24,-2.58285701476992e+26,2.74929612287871e+26
32,"2020-04-20",0.01,0,0,0,2.76725656042814e-07,-8.83798556865364e-07,1.43724986895099e-06,3.03624204950734e+24,-9.37367958948767e+25,9.98092799938914e+25,6.07248409901884e+24,-1.87473591789885e+26,1.99618559987922e+26
33,"2020-04-21",0.01,0,0,0,2.91848652845279e-07,-9.2540088950149e-07,1.50909819519205e-06,2.21552876315042e+24,-6.80358133315527e+25,7.24668708578535e+25,4.43105752630374e+24,-1.36071626663197e+26,1.44933741715804e+26
34,"2020-04-22",0.0121278941565601,0,0,0,3.07798119466891e-07,-9.68918743488604e-07,1.58451498242239e-06,1.61665888961095e+24,-4.93801798215774e+25,5.26134976007993e+25,3.23331777922407e+24,-9.87603596432225e+25,1.05226995201671e+26
35,"2020-04-23",0.0121278941565601,0,0,0,3.24619222541779e-07,-1.0144376712236e-06,1.66367611630716e-06,1.17966690788601e+24,-3.58389460603511e+25,3.81982798761231e+25,2.3593338157736e+24,-7.16778921207513e+25,7.63965597522985e+25
36,"2020-04-24",0.00965665236051502,0,0,0,3.42359597077901e-07,-1.0620468694788e-06,1.7467660636346e-06,8.60796314240556e+23,-2.60102863100527e+25,2.77318789385338e+25,1.72159262848225e+24,-5.20205726201406e+25,5.54637578771051e+25
37,"2020-04-25",0.0111788617886179,0,0,0,3.6106948135567e-07,-1.11183932236728e-06,1.83397828507862e-06,6.281182337631e+23,-1.88765333104179e+25,2.01327697779441e+25,1.25623646752702e+24,-3.77530666208613e+25,4.02655395559153e+25
38,"2020-04-26",0.0111788617886179,0,0,0,3.80801859198958e-07,-1.16391194938738e-06,1.9255156677853e-06,4.58334345836205e+23,-1.36989224649541e+25,1.46155911566265e+25,9.16668691673024e+23,-2.7397844929927e+25,2.92311823132731e+25
39,"2020-04-27",0.0111788617886179,0,0,0,4.01612610021414e-07,-1.21836575878515e-06,2.02159097882798e-06,3.34443996816588e+23,-9.94116991478644e+24,1.06100579084196e+25,6.68887993633614e+23,-1.98823398295862e+25,2.12201158168535e+25
40,"2020-04-28",0.0111788617886179,0,0,0,4.23560667073018e-07,-1.27530600650522e-06,2.12242734065126e-06,2.44041905265872e+23,-7.2139871059008e+24,7.70207091643255e+24,4.88083810532053e+23,-1.4427974211811e+25,1.54041418328751e+25
41,"2020-04-29",0.0111788617886179,0,0,0,4.4670818433505e-07,-1.3348423610393e-06,2.2282587297094e-06,1.78076007022653e+23,-5.23479712395969e+24,5.590949138005e+24,3.56152014045538e+23,-1.04695942479263e+25,1.11818982760174e+25
42,"2020-04-30",0.0111788617886179,0,0,0,4.71120712536098e-07,-1.39708907452628e-06,2.33933049959848e-06,1.29941061731121e+23,-3.79848860052322e+24,4.05837072398546e+24,2.59882123462413e+23,-7.59697720105155e+24,8.11674144797637e+24
43,"2020-05-01",0.0111788617886179,0,0,0,4.96867384787909e-07,-1.46216516061928e-06,2.4558999301951e-06,9.48172626178843e+22,-2.75618348666806e+24,2.94581801190383e+24,1.89634525235888e+23,-5.51236697333966e+24,5.89163602381144e+24
44,"2020-05-02",0.0111788617886179,0,0,0,5.24021112470079e-07,-1.53019461779913e-06,2.57823684273929e-06,6.91876237624701e+22,-1.99982317680443e+24,2.13819842432937e+24,1.38375247525024e+23,-3.99964635361134e+24,4.27639684866139e+24
45,"2020-05-03",0.0111788617886179,0,0,0,5.5265879189837e-07,-1.60130668990107e-06,2.70662427369781e-06,5.04858203003439e+22,-1.45097885251494e+24,1.55195049311563e+24,1.00971640600753e+23,-2.90195770503179e+24,3.10390098623329e+24
46,"2020-05-04",0.0115495668912416,0,0,0,5.82861521925305e-07,-1.6756359977493e-06,2.84135904159991e-06,3.68392193978085e+22,-1.05272860242959e+24,1.12640704122521e+24,7.36784387956628e+22,-2.10545720486052e+24,2.25281408245184e+24
47,"2020-05-05",0.0115495668912416,0,0,0,6.14714833584598e-07,-1.75332272624525e-06,2.98275239341445e-06,2.68813713982702e+22,-7.63760958201986e+23,8.17523700998527e+23,5.37627427965745e+22,-1.52752191640497e+24,1.63504740199812e+24
48,"2020-05-06",0.0115495668912416,0,0,0,6.48308932323094e-07,-1.83451282961373e-06,3.13113069425992e-06,1.96151856652729e+22,-5.54094720294905e+23,5.93325091625451e+23,3.92303713305699e+22,-1.10818944059051e+24,1.18665018325165e+24
49,"2020-05-07",0.0115495668912416,0,0,0,6.8373895347185e-07,-1.91935824217621e-06,3.28683614911991e-06,1.43130907639589e+22,-4.01972115036013e+23,4.30598296563931e+23,2.86261815279357e+22,-8.03944230072543e+23,8.61196593128414e+23
50,"2020-05-08",0.0115495668912416,0,0,0,7.21105231679989e-07,-2.00801709467045e-06,3.45022755803043e-06,1.04441819064716e+22,-2.91603698348335e+23,3.12492062161278e+23,2.0888363812956e+22,-5.83207396697036e+23,6.24984124322948e+23
51,"2020-05-09",0.0115495668912416,0,0,0,7.60513585074437e-07,-2.10065393613632e-06,3.6216811062852e-06,7.62106085221919e+21,-2.11531544207127e+23,2.26773665911565e+23,1.52421217044477e+22,-4.2306308841452e+23,4.53547331823416e+23
52,"2020-05-10",0.0115495668912416,0,0,0,8.02075614950477e-07,-2.19743996139126e-06,3.80159119129222e-06,5.56104528179843e+21,-1.53441235048377e+23,1.64563325611974e+23,1.11220905636036e+22,-3.06882470096945e+23,3.29126651224152e+23
53,"2020-05-11",0.0115495668912416,0,0,0,8.4590902184195e-07,-2.29855324412636e-06,3.99037128781026e-06,4.05786349510742e+21,-1.11299620594374e+23,1.19415347584589e+23,8.11572699021977e+21,-2.22599241188887e+23,2.38830695169326e+23
54,"2020-05-12",0.0115495668912416,0,0,0,8.92137938866418e-07,-2.4041789756665e-06,4.18845485339933e-06,2.9610001916044e+21,-8.07290331014729e+22,8.66510334846817e+22,5.92200038321223e+21,-1.61458066203042e+23,1.73302066969466e+23
55,"2020-05-13",0.0115495668912416,0,0,0,9.40893283289447e-07,-2.51450970945595e-06,4.39629627603485e-06,2.16062520221589e+21,-5.85531277922528e+22,6.28743781966845e+22,4.32125040443436e+21,-1.17106255584578e+23,1.25748756393446e+23
56,"2020-05-14",0.0115495668912416,0,0,0,9.92313127303882e-07,-2.62974561135669e-06,4.61437186596446e-06,1.57659606969531e+21,-4.24672890114498e+22,4.56204811508404e+22,3.15319213939249e+21,-8.49345780229512e+22,9.12409623017362e+22
57,"2020-05-15",0.0115495668912416,0,0,0,1.04654308907432e-06,-2.75009471588046e-06,4.8431808940291e-06,1.15043329330301e+21,-3.07994437022084e+22,3.31003102888144e+22,2.30086658660736e+21,-6.15988874044538e+22,6.62006205776685e+22
58,"2020-05-16",0.0115495668912416,0,0,0,1.10373674515447e-06,-2.87577318852072e-06,5.08324667882966e-06,8.39464709940424e+20,-2.23364888055932e+22,2.40154182254741e+22,1.67892941988184e+21,-4.46729776112136e+22,4.80308364509773e+22
59,"2020-05-17",0.0115495668912416,0,0,0,1.1640560654456e-06,-3.00700559440742e-06,5.33511772529862e-06,6.12552681965683e+20,-1.61983371529106e+22,1.7423442516842e+22,1.22510536393207e+21,-3.23966743058403e+22,3.48468850337044e+22
60,"2020-05-18",0.0115495668912416,0,0,0,1.22767187192812e-06,-3.14402517357994e-06,5.59936891743617e-06,4.46976250151091e+20,-1.17465208626883e+22,1.26404733629905e+22,8.93952500302692e+20,-2.34930417253903e+22,2.52809467259957e+22
61,"2020-05-19",0.0115495668912416,0,0,0,1.29476432246571e-06,-3.28707412326257e-06,5.876602768194e-06,3.26156058215293e+20,-8.51787291988062e+21,9.1701850363112e+21,6.52312116430949e+20,-1.7035745839771e+22,1.83403700726329e+22
62,"2020-05-20",0.0115495668912416,0,0,0,1.36552342105245e-06,-3.43640388763781e-06,6.16745072974272e-06,2.37994243037695e+20,-6.17640729460915e+21,6.65239578068454e+21,4.75988486075664e+20,-1.23528145892256e+22,1.3304791561377e+22
63,"2020-05-21",0.0115495668912416,0,0,0,1.44014955594822e-06,-3.59227545574663e-06,6.47257456764307e-06,1.73663061876035e+20,-4.4784048293275e+21,4.82573095307957e+21,3.47326123752268e+20,-8.95680965866025e+21,9.65146190616479e+21
64,"2020-05-22",0.0115495668912416,0,0,0,1.51885406723616e-06,-3.75495966959446e-06,6.79266780406678e-06,1.26720960453582e+20,-3.24708159285097e+21,3.50052351375813e+21,2.53441920907304e+20,-6.49416318570561e+21,7.00104702752022e+21
65,"2020-05-23",0.0115495668912416,0,0,0,1.60185984657221e-06,-3.9247377042148e-06,7.12845739735921e-06,92467572809124888576,-2.35421031608438e+21,2.53914546170263e+21,1.84935145618353e+20,-4.70842063217145e+21,5.07829092340816e+21
66,"2020-05-24",0.0115495668912416,0,0,0,1.68940196997518e-06,-4.10190159784674e-06,7.4807055377971e-06,67473068311718264832,-1.70678685528583e+21,1.84173299190927e+21,1.34946136623513e+20,-3.41357371057364e+21,3.68346598382066e+21
67,"2020-05-25",0.0115495668912416,0,0,0,1.7817283620441e-06,-4.2867543445339e-06,7.85021106862209e-06,49234718821865832448,-1.23735711642528e+21,1.33582655406901e+21,98469437643787812864,-2.47471423285201e+21,2.67165310813958e+21
68,"2020-05-26",0.0115495668912416,0,0,0,1.87910049801866e-06,-4.47961018062315e-06,8.23781117666046e-06,35926297678791491584,-8.9699977079727e+20,9.68852366154853e+20,71852595357621919744,-1.79399954159554e+21,1.93770473231079e+21
69,"2020-05-27",0.0115495668912416,0,0,0,1.98179414447057e-06,-4.68079490509611e-06,8.64438319403725e-06,26215217549529735168,-6.5023577579364e+20,7.02666210892699e+20,52430435099088248832,-1.30047155158801e+21,1.40533242178619e+21
70,"2020-05-28",0.0115495668912416,0,0,0,2.0901001404861e-06,-4.89064620026925e-06,9.07084648124144e-06,19129096944906362880,-4.71335767092537e+20,5.0959396098235e+20,38258193889833721856,-9.42671534185607e+20,1.01918792196527e+21
71,"2020-05-29",0.0115495668912416,0,0,0,2.20432522155389e-06,-5.10951395203685e-06,9.51816439514464e-06,13958394555996932096,-3.41641553780264e+20,3.69558342892258e+20,27916789112008794112,-6.83283107560905e+20,7.39116685784922e+20
72,"2020-05-30",0.0115495668912416,0,0,0,2.32479288849291e-06,-5.33776056879229e-06,9.98734634577811e-06,10185362076528125952,-2.47623281824435e+20,2.67994005977492e+20,20370724153067577344,-4.95246563649154e+20,5.35988011955289e+20
73,"2020-05-31",0.0115495668912416,0,0,0,2.45184432388298e-06,-5.57576129813344e-06,1.04794499458994e-05,7432201476595410944,-1.79470260620817e+20,1.94334663574008e+20,14864402953198348288,-3.58940521241822e+20,3.88669327148218e+20
74,"2020-06-01",0.0115495668912416,0,0,0,2.58583935859526e-06,-5.82390454044081e-06,1.09955832576313e-05,5423235656589779968,-1.30068901957225e+20,1.40915373270405e+20,10846471313185359872,-2.60137803914594e+20,2.81830746540965e+20
75,"2020-06-02",0.0115495668912416,0,0,0,2.72715749116195e-06,-6.08259215841521e-06,1.15369071407391e-05,3957304585932837376,-94261455509653880832,1.0217606468152e+20,7914609171869739008,-1.88522911019408e+20,2.04352129363147e+20
76,"2020-06-03",0.0115495668912416,0,0,0,2.87619896287419e-06,-6.35223978167945e-06,1.21046377074278e-05,2887622920611269120,-68308416129410334720,74083661970632867840,5775245841225544704,-1.36616832258894e+20,1.48167323941345e+20
77,"2020-06-04",0.0115495668912416,0,0,0,3.03338589165534e-06,-6.63327710559071e-06,1.27000488889014e-05,2107082219872583936,-49498656247777591296,53712820687522758656,4214164439747391488,-9.8997312495609e+19,1.07425641375104e+20
78,"2020-06-05",0.0115495668912416,0,0,0,3.19916346792313e-06,-6.92614818348213e-06,1.33244751193284e-05,1537526056332669696,-35866700819552227328,38941752932217569280,3075052112666918400,-71733401639142457344,77883505864476295168
79,"2020-06-06",0.0115495668912416,0,0,0,3.37400121583044e-06,-7.23131171166043e-06,1.39793141433213e-05,1121924124083211904,-25987708070429339648,28231556318595764224,2243848248167591680,-51975416140886597632,56463112637221773312
80,"2020-06-07",0.0115495668912416,0,0,0,3.55839432345906e-06,-7.54924130663784e-06,1.4666029953556e-05,818661729351248768,-1.8828804759719e+19,20466128218421481472,1637323458703326720,-37657609519457656832,40932256436864311296
81,"2020-06-08",0.0115495668912416,0,0,0,3.75286504573726e-06,-7.88042577428164e-06,1.53861558657562e-05,597372863919863552,-13641289831895244800,1.4836035559735e+19,1194745727840323584,-27282579663804563456,29672071119485206528
82,"2020-06-09",0.0115495668912416,0,0,0,3.95796418405715e-06,-8.22536937083045e-06,1.61412977389448e-05,435899622217109248,-9882474754685165568,10754273999119384576,871799244434666112,-19764949509380808704,21508547998250139648
83,"2020-06-10",0.0115495668912416,0,0,0,4.17427264678605e-06,-8.58459205606795e-06,1.69331373496401e-05,318073505050460288,-7159014771826806784,7795161781927727104,636147010101242624,-14318029543661101056,15590323563863584768
84,"2020-06-11",0.0115495668912416,0,0,0,4.40240309509521e-06,-8.95862973937336e-06,1.77634359295638e-05,232096449408469920,-5185823586170057728,5.650016484987e+18,464192898817168320,-10371647172345393152,11300032969979727872
85,"2020-06-12",0.0115495668912416,0,0,0,4.64300167897635e-06,-9.34803453108926e-06,1.8634037889042e-05,169359475003972064,-3756287404790884864,4095006354798829056,338718950008106048,-7512574809585484800,8190012709601696768
86,"2020-06-13",0.0115495668912416,0,0,0,4.89674988078904e-06,-9.75337567882409e-06,1.95468754404022e-05,123580657294507072,-2720671687943580672,2967833002532594688,247161314589135776,-5441343375889929216,5935666005068200960
87,"2020-06-14",0.0115495668912416,0,0,0,5.16436645716124e-06,-1.01752403840554e-05,2.05039732983779e-05,90176111239034848,-1970467848677876992,2150820071155946752,180352222478157184,-3940935697357731328,4301640142314045952
88,"2020-06-15",0.0115495668912416,0,0,0,5.44660946108561e-06,-1.06142331477262e-05,2.15074520698974e-05,65801001679542200,-1427046412675086592,1558648416034171136,131602003359145424,-2854092825351543296,3117296832069834240
89,"2020-06-16",0.0115495668912416,0,0,0,5.74427838919666e-06,-1.1070975803797e-05,2.25595325821903e-05,48014621195561272,-1033432227901296000,1129461470292418432,96029242391169792,-2066864455803642624,2258922940585982208
90,"2020-06-17",0.0115495668912416,0,0,0,6.05821644815459e-06,-1.15461075943911e-05,2.36625404907003e-05,35035999296497544,-748342967182087040,818414965775082112,70071998593028576,-1496685934364913920,1636829931550971136
91,"2020-06-18",0.0115495668912416,0,0,0,6.38931294501122e-06,-1.20402851973813e-05,2.48189110874037e-05,25565571822477588,-541868307465041984,592999451109997184,51131143644978888,-1083736614930604544,1185998902220562432
92,"2020-06-19",0.0115495668912416,0,0,0,6.73850580834321e-06,-1.25541827012805e-05,2.6031194317967e-05,18655054108178344,-392338395083640256,429648503299996992,37310108216373992,-784676790167657344,859297006600405376
93,"2020-06-20",0.0115495668912416,0,0,0,7.10678424730952e-06,-1.30884915220686e-05,2.73020600166876e-05,13612488161641014,-284054356962348480,311279333285630528,27224976323294844,-568108713924973824,622558666571563520
94,"2020-06-21",0.0115495668912416,0,0,0,7.49519155618166e-06,-1.36439202563832e-05,2.86343033687465e-05,9932956124184290,-205643632023835264,225509544272203840,19865912248377508,-411287264047862208,451019088544617280
95,"2020-06-22",0.0115495668912416,0,0,0,7.90482807230882e-06,-1.42211944653446e-05,3.00308506099622e-05,7248022271416644,-148868158463094464,163364203005927744,14496044542839804,-297736316926327680,326728406012007296
96,"2020-06-23",0.0115495668912416,0,0,0,8.33685429591594e-06,-1.48210563831781e-05,3.149476497501e-05,5288841125457514,-107760765837859840,118338448088774880,10577682250919934,-215521531675823200,236676896177663072
97,"2020-06-24",0.0115495668912416,0,0,0,8.79249418059248e-06,-1.54442645447598e-05,3.30292529059448e-05,3859237651716533,-77999420711795520,85717896015228576,7718475303436591,-155998841423664864,171435792030538016
98,"2020-06-25",0.0115495668912416,0,0,0,9.2730386038151e-06,-1.6091593326264e-05,3.46376705338942e-05,2816064029743028,-56453839168714616,62085967228200680,5632128059488548,-112907678337481072,124171934456458160
99,"2020-06-26",0.0115495668912416,0,0,0,9.77984902735878e-06,-1.67638323932506e-05,3.63235304479681e-05,2054866099289143,-40857003552059400,44966735750637688,4109732198580074,-81714007104155728,89933471501315888
100,"2020-06-27",0.0115495668912416,0,0,0,1.03143613579908e-05,-1.74617860508213e-05,3.80905087668029e-05,1499424246540678,-29567185616143132,32566034109224492,2998848493082641,-59134371232312568,65132068218477848
101,"2020-06-28",0.0115495668912416,0,0,0,1.08780900194113e-05,-1.81862724909294e-05,3.9942452529752e-05,1094121447568690,-21395547977098636,23583790872236020,2188242895138365,-42791095954217216,47167581744493952
102,"2020-06-29",0.0115495668912416,0,0,0,1.14726322470043e-05,-1.89381229325784e-05,4.18833874265869e-05,798374272519379,-15481259306487054,17078007851525814,1596748545039453,-30962518612988096,34156015703067000
103,"2020-06-30",0.0115495668912416,0,0,0,1.20996726175971e-05,-1.97181806515265e-05,4.39175258867207e-05,582569220663067,-11201033126253328,12366171567579460,1165138441326650,-22402066252516940,24732343135170236
104,"2020-07-01",0.0115495668912416,0,0,0,1.27609878270936e-05,-2.05272998972851e-05,4.60492755514724e-05,425097486912988,-8103605143565337,8953800117391313,850194973826340,-16207210287137880,17907600234790560
105,"2020-07-02",0.0115495668912416,0,0,0,1.34584517295514e-05,-2.13663446966908e-05,4.82832481557936e-05,310191247615287,-5862276630069165,6482659125299739,620382495230839,-11724553260143546,12965318250605226
106,"2020-07-03",0.0115495668912416,0,0,0,1.41940406557334e-05,-2.22361876297339e-05,5.06242689412006e-05,226344810447729,-4240544560793130,4693234181688587,452689620895648,-8481089121589970,9386468363381266
107,"2020-07-04",0.0115495668912416,0,0,0,1.49698391542837e-05,-2.31377114951244e-05,5.30773898036917e-05,165162536372267,-3067211087398712,3397536160143246,330325072744667,-6134422174800023,6795072320289357
108,"2020-07-05",0.0115495668912416,0,0,0,1.57880459776499e-05,-2.40718093648402e-05,5.564790132014e-05,120518174757179,-2218358949373082,2459395298887440,241036349514459,-4436717898748105,4918790597777023
109,"2020-07-06",0.0115495668912416,0,0,0,1.6650980192556e-05,-2.50393796883234e-05,5.83413400734354e-05,87941434939365.2,-1604299649457670,1780182519336400,175882869878802,-3208599298916700,3560365038674304
110,"2020-07-07",0.0115495668912416,0,0,0,1.75610877581427e-05,-2.60413239326888e-05,6.11634994489742e-05,64170370940121.2,-1160123029955400,1288463771835642,128340741880293,-2320246059911757,2576927543672344
111,"2020-07-08",0.0115495668912416,0,0,0,1.8520948474901e-05,-2.70785441762033e-05,6.41204411260054e-05,46824759107376,-838854925352165,932504443566917,93649518214788.8,-1677709850705017,1865008887134594
112,"2020-07-09",0.0115495668912416,0,0,0,1.95332833145473e-05,-2.81519404143317e-05,6.72185070434263e-05,34167763616478.3,-606503432295736,674838959528692,68335527232983.9,-1213006864591977,1349677919057945
113,"2020-07-10",0.0115495668912416,0,0,0,2.06009621517517e-05,-2.92624075549764e-05,7.04643318584799e-05,24932025125307,-438472726145926,488336776396540,49864050250633.1,-876945452292202,976673552793469
114,"2020-07-11",0.0115495668912416,0,0,0,2.17270119197781e-05,-3.04108320785145e-05,7.38648559180707e-05,18192758643095.6,-316967057964770,353352575250962,36385517286205.7,-633934115929803,706705150502214
115,"2020-07-12",0.0115495668912416,0,0,0,2.29146252133094e-05,-3.15980883373295e-05,7.74273387639484e-05,13275153758367.5,-229111654222877,255661961739612,26550307516745.5,-458223308445941,511323923479432
