"date","ccaa","reg_code","population","cases","deaths","cum_cases","cum_deaths","deaths_prev_week","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
2020-04-28,"C. Valenciana","ESVC",5003769,46,21,11490,1298,99,103462.694529291,103130.918150161,103795.538246595,1264.34423565351,5947.98264575274,16031.8034428652,0.0206769526189741,0.0206106473240793,0.0207434712207127,0.000252678378169238,0.00118870048672366,0.00320394555441413
2020-04-29,"C. Valenciana","ESVC",5003769,39,6,11529,1304,88,103512.205599209,103180.843853647,103844.631501665,49.5110699172365,4806.39621845506,13859.4441167033,0.020686847374291,0.0206206249436469,0.0207532824760026,9.89475531688942e-06,0.00096055517719844,0.00276980094738653
2020-04-30,"C. Valenciana","ESVC",5003769,26,9,11555,1313,85,103721.836996352,103390.731335212,104054.003013264,209.631397143254,5016.02761559832,12647.849016275,0.0207287420734954,0.0206625708211574,0.020795125237249,4.18946992043905e-05,0.00100244987640283,0.00252766444979274
2020-05-01,"C. Valenciana","ESVC",5003769,28,11,11583,1324,85,104140.613139999,103809.330377472,104472.95311259,418.776143647367,5356.33299207309,11303.3044083929,0.0208124342150885,0.0207462275691528,0.0208788521437719,8.36921415931404e-05,0.00107045968590338,0.00225895807907858
2020-05-02,"C. Valenciana","ESVC",5003769,36,8,11619,1332,82,104428.324355879,104096.930812608,104760.772893564,287.711215879623,5235.47183424862,10022.1747805659,0.0208699331155932,0.0208037043301974,0.0209363727409407,5.74989005047241e-05,0.00104630566164198,0.00200292515113425
2020-05-03,"C. Valenciana","ESVC",5003769,19,10,11638,1342,79,104750.445766685,104419.060269497,105082.882952591,322.12141080595,4799.88438745021,8430.17787241565,0.0209343088713097,0.0208680816939186,0.0210007462280116,6.43757557165309e-05,0.000959253791981645,0.00168476559817522
2020-05-04,"C. Valenciana","ESVC",5003769,10,6,11648,1348,71,104708.195011169,104377.513666139,105039.923997096,0,4192.02280270671,7235.73388314617,0.0209258650851326,0.0208597786320949,0.0209921609085263,0,0.000837773047218348,0.00144605673905933
2020-05-05,"C. Valenciana","ESVC",5003769,12,8,11660,1356,58,104871.081823404,104540.680994074,105202.526884576,78.3853012031177,3942.34029203858,6123.02168713437,0.0209584179092607,0.0208923875171045,0.0210246569904758,1.56652517738364e-05,0.000787874158866763,0.00122368192599106
2020-05-06,"C. Valenciana","ESVC",5003769,13,10,11673,1366,62,105230.370192094,104899.85312909,105561.928643867,401.539124205869,4083.04629417455,6524.56081134024,0.0210302214574841,0.0209641678361031,0.0210964831997375,8.02473344005026e-05,0.000815994162435266,0.00130392926039157
2020-05-07,"C. Valenciana","ESVC",5003769,6,5,11679,1371,58,105174.532443718,104844.651179472,105505.45164025,0,3813.6291955812,6446.09004416765,0.0210190623195671,0.0209531357621569,0.0210851963070738,0,0.000762151329444106,0.00128824692829898
