"","date","ccaa","reg_code","population","cases","deaths","cum_cases","cum_deaths","deaths_prev_week","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"194",2020-07-12,"Castilla La Mancha","ESCM",2032863,12,1,19119,2889,3,212117.921616922,211595.894837411,212641.236285117,0,1.93267624126747e-12,1.13686837721616e-13,0.104344425382784,0.104087631501685,0.104601852798303,0,9.50716423717423e-19,5.59244955127896e-20
"195",2020-07-13,"Castilla La Mancha","ESCM",2032863,17,0,19136,2889,3,212094.919360192,211572.92708247,212618.199496156,0,1.93267624126747e-12,1.13686837721616e-13,0.10433311018017,0.104076333271091,0.104590520608696,0,9.50716423717423e-19,5.59244955127896e-20
"196",2020-07-14,"Castilla La Mancha","ESCM",2032863,25,0,19161,2889,3,212162.903480471,211640.721815379,212686.37352565,0,1.93267624126747e-12,1.13686837721616e-13,0.104366552729068,0.104109682657109,0.104624056577177,0,9.50716423717423e-19,5.59244955127896e-20
"197",2020-07-15,"Castilla La Mancha","ESCM",2032863,27,2,19188,2891,5,212400.438568593,211877.750827586,212924.415744066,0,1.93267624126747e-12,1.13686837721616e-13,0.104483400292392,0.104226281273055,0.104741153606547,0,9.50716423717423e-19,5.59244955127896e-20
"198",2020-07-16,"Castilla La Mancha","ESCM",2032863,26,0,19214,2891,5,212476.717059388,211953.819591444,213000.90453363,0,1.93267624126747e-12,1.13686837721616e-13,0.104520922983688,0.104263700796091,0.104778779747395,0,9.50716423717423e-19,5.59244955127896e-20
"199",2020-07-17,"Castilla La Mancha","ESCM",2032863,24,0,19238,2891,3,212524.957864287,212001.918544888,213049.287597147,0,1.93267624126747e-12,1.13686837721616e-13,0.104544653458834,0.104287361492087,0.104802580201985,0,9.50716423717423e-19,5.59244955127896e-20
"200",2020-07-18,"Castilla La Mancha","ESCM",2032863,13,0,19251,2891,3,212445.317984696,211922.45274222,212969.473265382,0,1.93267624126747e-12,1.13686837721616e-13,0.104505477243029,0.10424827090769,0.104763318170178,0,9.50716423717423e-19,5.59244955127896e-20
"201",2020-07-19,"Castilla La Mancha","ESCM",2032863,9,0,19260,2891,2,212317.900567822,211795.324757263,212841.765762262,0,1.93267624126747e-12,1.13686837721616e-13,0.104442798441323,0.104185734482483,0.104700496670097,0,9.50716423717423e-19,5.59244955127896e-20
"202",2020-07-20,"Castilla La Mancha","ESCM",2032863,29,1,19289,2892,3,212485.970663325,211963.007891092,213010.223708159,0,1.93267624126747e-12,1.13686837721616e-13,0.104525474989375,0.104268220677484,0.104783364008376,0,9.50716423717423e-19,5.59244955127896e-20
"203",2020-07-21,"Castilla La Mancha","ESCM",2032863,24,0,19313,2892,3,212527.860519702,212004.771710817,213052.239968885,0,1.93267624126747e-12,1.13686837721616e-13,0.104546081324566,0.104288765013096,0.104804032524024,0,9.50716423717423e-19,5.59244955127896e-20
"204",2020-07-22,"Castilla La Mancha","ESCM",2032863,42,0,19355,2892,1,212766.085172069,212242.387111209,213291.075433147,0,1.93267624126747e-12,1.13686837721616e-13,0.10466326809631,0.104405652083396,0.104921519764562,0,9.50716423717423e-19,5.59244955127896e-20
"205",2020-07-23,"Castilla La Mancha","ESCM",2032863,21,0,19376,2892,1,212766.934990202,212243.211969181,213291.950329597,0,1.93267624126747e-12,1.13686837721616e-13,0.104663686136352,0.104406057845109,0.104921950141056,0,9.50716423717423e-19,5.59244955127896e-20
"206",2020-07-24,"Castilla La Mancha","ESCM",2032863,49,0,19425,2892,1,213065.326333424,212540.843690844,213591.10323097,0,1.93267624126747e-12,1.13686837721616e-13,0.104810469930056,0.104552467968006,0.105069108558211,0,9.50716423717423e-19,5.59244955127896e-20
"207",2020-07-25,"Castilla La Mancha","ESCM",2032863,27,0,19452,2892,1,213111.123192579,212586.502733479,213637.038308783,0,1.93267624126747e-12,1.13686837721616e-13,0.104832998186586,0.104574928430238,0.105091704806858,0,9.50716423717423e-19,5.59244955127896e-20
"208",2020-07-26,"Castilla La Mancha","ESCM",2032863,26,0,19478,2892,1,213132.113770041,212607.414338001,213658.108121616,0,1.93267624126747e-12,1.13686837721616e-13,0.104843323809839,0.104585215205354,0.105102069407341,0,9.50716423717423e-19,5.59244955127896e-20
"209",2020-07-27,"Castilla La Mancha","ESCM",2032863,53,1,19531,2893,1,213512.106141043,212986.492704669,214039.016699506,0,1.93267624126747e-12,1.13686837721616e-13,0.10503024854161,0.104771690322796,0.105289444836915,0,9.50716423717423e-19,5.59244955127896e-20
"210",2020-07-28,"Castilla La Mancha","ESCM",2032863,58,0,19589,2893,1,213861.604431123,213335.102229548,214389.406018337,0,1.93267624126747e-12,1.13686837721616e-13,0.105202172714601,0.104943177297018,0.105461807322155,0,9.50716423717423e-19,5.59244955127896e-20
"211",2020-07-29,"Castilla La Mancha","ESCM",2032863,53,0,19642,2893,1,214137.1407371,213609.929582165,214665.653103091,0,1.93267624126747e-12,1.13686837721616e-13,0.10533771372547,0.105078369561631,0.105597697977233,0,9.50716423717423e-19,5.59244955127896e-20
"212",2020-07-30,"Castilla La Mancha","ESCM",2032863,48,0,19690,2893,1,214333.748318077,213806.019162788,214862.780046897,0,1.93267624126747e-12,1.13686837721616e-13,0.105434428349612,0.105174829372559,0.105694668084813,0,9.50716423717423e-19,5.59244955127896e-20
"213",2020-07-31,"Castilla La Mancha","ESCM",2032863,70,1,19760,2894,2,214819.62932352,214290.718958723,215349.845139972,0,1.93267624126747e-12,1.13686837721616e-13,0.105673441507627,0.105413261473461,0.105934263715741,0,9.50716423717423e-19,5.59244955127896e-20
"214",2020-08-01,"Castilla La Mancha","ESCM",2032863,57,0,19817,2894,2,215064.650190619,214535.098203152,215595.509308293,0,1.93267624126747e-12,1.13686837721616e-13,0.105793971453373,0.105533475794066,0.106055110112335,0,9.50716423717423e-19,5.59244955127896e-20
"215",2020-08-02,"Castilla La Mancha","ESCM",2032863,62,1,19879,2895,3,215410.394416036,214880.000847122,215942.097168385,0,1.93267624126747e-12,1.13686837721616e-13,0.105964048937895,0.105703139290312,0.10622560259515,0,9.50716423717423e-19,5.59244955127896e-20
"216",2020-08-03,"Castilla La Mancha","ESCM",2032863,77,1,19956,2896,3,215892.007700623,215360.435916708,216424.891557299,0,1.93267624126747e-12,1.13686837721616e-13,0.106200962731194,0.105939473499546,0.106463097393823,0,9.50716423717423e-19,5.59244955127896e-20
"217",2020-08-04,"Castilla La Mancha","ESCM",2032863,98,0,20054,2896,3,216497.350009956,215964.241720547,217031.774278556,0,1.93267624126747e-12,1.13686837721616e-13,0.10649874094317,0.10623649587825,0.106761633360712,0,9.50716423717423e-19,5.59244955127896e-20
"218",2020-08-05,"Castilla La Mancha","ESCM",2032863,92,0,20146,2896,3,217001.20270914,216466.8044294,217536.920274405,0,1.93267624126747e-12,1.13686837721616e-13,0.10674659468402,0.106483715050842,0.10701012329626,0,9.50716423717423e-19,5.59244955127896e-20
"219",2020-08-06,"Castilla La Mancha","ESCM",2032863,116,2,20262,2898,5,217869.028655988,217332.542118448,218406.839513403,0,1.93267624126747e-12,1.13686837721616e-13,0.107173493076508,0.106909586193683,0.107438051414878,0,9.50716423717423e-19,5.59244955127896e-20
"220",2020-08-07,"Castilla La Mancha","ESCM",2032863,110,0,20372,2898,4,218471.322880254,217933.295157647,219010.678870898,0,1.93267624126747e-12,1.13686837721616e-13,0.107469771883424,0.107205106865365,0.107735090299198,0,9.50716423717423e-19,5.59244955127896e-20
"221",2020-08-08,"Castilla La Mancha","ESCM",2032863,136,1,20508,2899,5,219370.392776269,218830.138401902,219911.980946753,0,1.93267624126747e-12,1.13686837721616e-13,0.107912039707678,0.107646279361621,0.108178456170806,0,9.50716423717423e-19,5.59244955127896e-20
