"","date","total_cases","total_deaths","total_cases_daily","total_cases_active","total_cases_contagious","total_cases_infected","total_cum_cases","total_cum_deaths"
"80","2020-03-20",10642,428,82028.8459015208,423949.107432707,415032.782051878,425381.005983385,100396,1814
"81","2020-03-21",7422,501,77304.4234230974,500918.042427858,486972.990324695,501350.924316545,107818,2315
"82","2020-03-22",6768,541,70153.5784412951,569657.559346369,546994.73987353,571418.533136256,114586,2856
"83","2020-03-23",8261,679,94960.312478898,664251.407906564,630017.113775473,667130.68946173,122847,3535
"84","2020-03-24",7110,713,88256.560631814,751419.432034649,699010.094375652,754914.677403022,129957,4248
"85","2020-03-25",6926,809,95679.5758847603,846233.301637065,766071.229783866,850236.151882432,136883,5057
"86","2020-03-26",6338,853,91616.0330409916,933003.265952734,824871.395842979,942564.377390309,143221,5910
"87","2020-03-27",6046,900,90265.4568756377,1017904.50767809,880828.249400773,1032468.40910866,149267,6810
"88","2020-03-28",5351,832,70992.1285201697,1078764.8073058,904839.267383982,1103442.09887214,154618,7642
"89","2020-03-29",4231,800,56744.1919295428,1123571.06065839,921243.408332455,1160180.27075145,158849,8442
"90","2020-03-30",5127,906,77003.7304742818,1181311.21110104,950806.059792489,1237168.47303262,163976,9348
"91","2020-03-31",4398,889,67594.2644141207,1220287.03503861,962599.10201613,1304745.89766739,168374,10237
"92","2020-04-01",5449,887,74962.7334996425,1262433.90155637,955532.989614252,1379404.46634458,173823,11124
"93","2020-04-02",4434,840,59961.4321027031,1288086.73034123,938189.998293857,1439733.03288318,178257,11964
"94","2020-04-03",4448,774,53730.6950386846,1294836.31484296,921767.114891247,1493477.90909538,182705,12738
"95","2020-04-04",3661,732,43153.1058181815,1297649.36968007,869959.908230531,1536992.4931759,186366,13470
"96","2020-04-05",3197,734,40818.7195797166,1291027.01024554,822522.067178434,1577398.06442015,189563,14204
"97","2020-04-06",3514,752,46290.3416940852,1281516.12974914,773132.832987758,1623490.58980849,193077,14956
"98","2020-04-07",3186,730,42030.4571921537,1241517.74103978,723547.25713892,1665723.65180413,196263,15686
"99","2020-04-08",3464,736,46550.1613960596,1210763.47901274,679831.961659341,1712248.69463647,199727,16422
"100","2020-04-09",3266,664,39441.6361962564,1180051.5367677,648281.469335428,1751655.18357234,202993,17086
"101","2020-04-10",3138,669,40169.9794012557,1125261.20369006,631707.256807141,1791648.23294871,206131,17755
"102","2020-04-11",2864,623,34423.1632476803,1071427.80630592,589126.689580539,1825987.58555612,208995,18378
"103","2020-04-12",2248,541,21957.5203823392,997705.750803503,543489.945548758,1847747.54170221,211243,18919
"104","2020-04-13",2165,585,26350.7435184562,932440.461280967,494877.955567572,1874595.50798666,213408,19504
"105","2020-04-14",2234,602,30923.5126473517,873098.517052681,465840.03611222,1905350.23110528,215642,20106
"106","2020-04-15",2358,551,27930.9861233961,830037.374655907,440040.327196933,1933705.89811666,218000,20657
"107","2020-04-16",2277,482,22610.4422074734,795903.624933838,419497.663586224,1956492.27596479,220277,21139
"108","2020-04-17",1895,499,22735.9927282995,741635.887187856,401414.936734807,1979004.14658428,222172,21638
"109","2020-04-18",1662,434,16173.4508118257,690215.073585561,371298.045852548,1994867.71963609,223834,22072
"110","2020-04-19",1134,398,9468.53610306177,624720.876188981,338736.124763455,2004163.21406042,224968,22470
"111","2020-04-20",1462,385,12856.3498517092,577615.793937986,305042.313219105,2017059.24550717,226430,22855
"112","2020-04-21",1306,424,16163.8418545034,540048.940753805,281764.518877352,2033635.58896056,227736,23279
"113","2020-04-22",1455,339,12429.6052723482,509325.440207972,254024.144748445,2045759.53476578,229191,23618
"114","2020-04-23",1180,330,10304.4256807273,478811.146308983,229905.407181492,2055891.98963356,230371,23948
"115","2020-04-24",1112,329,10545.555235418,443066.359850316,218493.442034571,2066762.90011073,231483,24277
"116","2020-04-25",742,294,6269.15243141143,407305.055089574,198411.850947526,2072801.12724368,232225,24571
"117","2020-04-26",555,269,3981.10510462055,364735.998798134,171469.443404795,2076417.29928662,232780,24840
"118","2020-04-27",694,257,4938.94589825262,330233.30850013,148477.403179651,2081660.54169852,233474,25097
"119","2020-04-28",839,259,8062.96424303952,298126.293341914,133929.925215217,2089744.56544731,234313,25356
"120","2020-04-29",743,235,6603.76422495022,270306.894319184,117797.696711868,2096023.37075258,235056,25591
"121","2020-04-30",733,221,5887.51814796107,254236.892084806,107511.764048003,2102332.15746939,235789,25812
"122","2020-05-01",718,175,3682.6518048701,231568.80037122,101725.879749812,2105685.55010759,236507,25987
"123","2020-05-02",651,198,5966.3469492231,206611.634673091,94835.8768473256,2111244.58996837,237158,26185
"124","2020-05-03",439,196,4478.73482343419,183159.383373129,83150.7698162564,2115639.94970879,237597,26381
"125","2020-05-04",487,185,4483.18793019663,165032.129095853,75204.3524741048,2120426.19118628,238084,26566
"126","2020-05-05",293,181,3682.60469968068,145978.741067234,68582.5314930581,2123923.72302932,238377,26747
"127","2020-05-06",281,151,2189.44129295229,131994.73154836,60226.4175505924,2125700.23580412,238658,26898
"128","2020-05-07",286,164,1989.74240204621,124515.937847345,55947.0075212272,2129351.9773602,238944,27062
"129","2020-05-08",283,145,3566.65002724224,115226.238022878,55532.5524438488,2132110.64261401,239227,27207
"130","2020-05-09",224,125,2007.33341487995,101069.729583254,52600.9399604762,2133431.76690641,239451,27332
"131","2020-05-10",262,110,966.219881122793,89606.3441920289,45504.1955985594,2134626.35155288,239713,27442
"132","2020-05-11",535,122,3793.35955969403,83095.2780709957,42693.7909333032,2139804.58358456,240248,27564
"133","2020-05-12",486,112,5098.38894588551,77648.1117814631,41904.6617312277,2144323.3318871,240734,27676
"134","2020-05-13",529,87,4159.70395694603,75538.6633069976,42381.7138833037,2147725.63278146,241263,27763
"135","2020-05-14",498,85,3577.17812569768,75134.7363280748,39992.5450597782,2151004.95992975,241761,27848
"136","2020-05-15",532,77,3316.68435609776,73512.47478592,38830.4945924418,2154236.22814359,242293,27925
"137","2020-05-16",299,63,128.668559184138,65578.1791020645,34475.9752214293,2154482.26104422,242592,27988
"138","2020-05-17",262,60,538.610562924174,59513.0254400386,31331.9810846728,2154328.08984902,242854,28048
"139","2020-05-18",507,71,2683.87680229823,56309.3840943757,31826.4165940187,2157502.68373044,243361,28119
"140","2020-05-19",536,67,2534.97133138675,55161.7036208923,32371.6455233593,2160886.16488414,243897,28186
"141","2020-05-20",433,56,2032.09568311996,51227.4523547892,30837.091179237,2162725.51225445,244330,28242
"142","2020-05-21",480,68,2736.83936647716,49485.5568978321,31566.5971308342,2165964.49942018,244810,28310
"143","2020-05-22",521,71,5471.12011470795,50473.4890823435,36071.4973644193,2170062.18421315,245331,28381
"144","2020-05-23",296,58,1362.96603878277,48153.8504214456,33641.1038435081,2171161.84648796,245627,28439
"145","2020-05-24",261,55,1328.65238785863,47293.061516352,29871.3672854812,2171817.35639829,245888,28494
"146","2020-05-25",524,66,3561.33064225509,48864.6497565609,29272.9939707902,2175861.08668389,246412,28560
"147","2020-05-26",521,56,3524.53669051806,48822.5364198367,29220.3525356106,2179321.24947081,246933,28616
"148","2020-05-27",389,45,1468.42961512014,48283.6326200768,27372.097794633,2180850.01282914,247322,28661
"149","2020-05-28",492,40,2264.63855677612,49582.0512957302,29508.0677922251,2182932.5491574,247814,28701
"150","2020-05-29",462,43,2257.39639617386,48046.0881322099,31226.8536254748,2185090.48179808,248276,28744
"151","2020-05-30",269,43,1462.86115069258,44410.560337017,30005.837973869,2185596.03948462,248545,28787
"152","2020-05-31",204,39,512.987109907903,40763.843489979,27983.8537523902,2185291.06528223,248749,28826
"153","2020-06-01",385,34,1723.1671276081,38909.8324918894,27674.9251968784,2186282.92940812,249134,28860
"154","2020-06-02",361,45,1974.52378765866,37567.6719234503,26912.6096180599,2188137.09660406,249495,28905
"155","2020-06-03",407,38,1569.68128456462,39008.6846488308,23011.1707879165,2190000.5642751,249902,28943
"156","2020-06-04",361,45,1724.77380504511,40194.8478909517,23372.9785541789,2192130.84156686,250263,28988
"157","2020-06-05",444,23,1312.87768776222,38823.8487764157,23357.2038540825,2193369.29663416,250707,29011
"158","2020-06-06",219,30,880.007224174275,37168.8846692033,20675.8804360016,2193193.22727469,250926,29041
"159","2020-06-07",182,20,458.461585069909,35595.2505711532,17609.8053305535,2192022.65677128,251108,29061
"160","2020-06-08",371,27,1183.34366855213,34041.7548732281,17324.7193839855,2193201.22152888,251479,29088
"161","2020-06-09",306,13,583.98606007095,29154.6208185912,15644.0668872803,2192868.21786539,251785,29101
"162","2020-06-10",314,28,1036.87963255042,28828.5344123588,14423.5501236569,2193819.89809694,252099,29129
"163","2020-06-11",286,24,1134.3782021995,28634.2602266997,14095.0671751638,2194286.79077591,252385,29153
"164","2020-06-12",330,19,1126.07024434918,26198.9998287937,14708.1503096051,2194854.4607056,252715,29172
"165","2020-06-13",117,19,138.327666274199,22812.7908045499,13123.3108482712,2193648.74778653,252832,29191
"166","2020-06-14",143,17,0,21344.3611894297,11148.7870606125,2192582.28224811,252975,29208
"167","2020-06-15",303,20,0,19079.7226326536,9579.10577604789,2193299.50193531,253278,29228
"168","2020-06-16",267,12,435.964043915534,17258.2902803953,8290.29601491831,2193303.43102729,253545,29240
"169","2020-06-17",283,23,922.987018441724,16718.4161481444,7900.40534559781,2194263.16816567,253828,29263
"170","2020-06-18",286,11,142.518928349455,16347.947966586,7162.91704977299,2194447.3795173,254114,29274
"171","2020-06-19",263,18,481.727611388603,15106.5084503665,7186.18307609168,2195040.46200714,254377,29292
"172","2020-06-20",244,12,137.504009473108,13269.4886721809,6140.34341701266,2195058.1713794,254621,29304
"173","2020-06-21",226,15,248.070812457037,11947.8782000733,5804.42816939875,2195165.68648137,254847,29319
"174","2020-06-22",293,6,0,10223.1043950282,4767.54853684833,2195291.51187457,255140,29325
"175","2020-06-23",329,9,0,8910.22670726601,3633.17033464883,2195975.27650731,255469,29334
"176","2020-06-24",387,12,1635.82805451041,9666.04753760215,4142.92814481007,2197395.83297339,255856,29346
"177","2020-06-25",348,11,1337.76896246678,10545.354914999,5342.36944100265,2198416.79915272,256204,29357
"178","2020-06-26",382,8,92.1154317293004,9454.12667817619,5434.48487273195,2199354.70070669,256586,29365
"179","2020-06-27",292,3,391.427367105407,9261.56798521065,5825.91223983736,2199222.94308481,256878,29368
"180","2020-06-28",252,11,0,8224.68835266022,5389.94819592183,2199254.42374837,257130,29379
"181","2020-06-29",380,9,272.865394462793,7363.17554492352,4739.82657194289,2200167.51860203,257510,29388
"182","2020-06-30",420,10,199.143247344997,6436.24854791935,4796.45089093844,2201526.3395668,257930,29398
"183","2020-07-01",539,10,404.647165747146,6702.5680473923,4719.37044529698,2203819.09657351,258469,29408
"184","2020-07-02",420,1,58.1659876443628,6760.73403503666,4640.03242346823,2204402.03941078,258889,29409
"185","2020-07-03",541,5,273.610941000981,7034.34497603764,4665.57255201218,2206244.86064932,259430,29414
"186","2020-07-04",409,6,86.2802796891483,6684.66121181125,4751.85283170133,2206867.70896121,259839,29420
"187","2020-07-05",422,0,75.789103051211,5837.46329642074,4827.64193475254,2207030.71276854,260261,29420
"188","2020-07-06",696,4,648.863179569715,6343.80754764101,3840.67705981184,2209794.73158303,260957,29424
"189","2020-07-07",781,3,824.092466019932,6686.17240227233,3327.00056336499,2213065.5529308,261738,29427
"190","2020-07-08",891,3,1484.25737500822,8032.92576780744,4719.14250664391,2216948.99453609,262629,29430
"191","2020-07-09",918,2,783.567987273805,8568.42294262421,5111.28312681231,2220909.75516444,263547,29432
"192","2020-07-10",1118,3,1241.36886825772,9809.79181088193,6352.65199507003,2226411.29820134,264665,29435
"193","2020-07-11",871,4,1440.17911882944,11249.9709297114,7519.96571943669,2229490.55135983,265536,29439
"194","2020-07-12",838,2,1018.12856005851,10632.2714352595,8338.95103215019,2231694.53513827,266374,29441
"195","2020-07-13",1358,1,3169.22027630219,12463.7227490949,11103.5241427052,2237864.52340883,267732,29442
"196","2020-07-14",1484,2,3641.13909287041,16012.746410236,14686.4972479313,2244761.208168,269216,29444
"197","2020-07-15",1807,5,26874.8074332704,42496.126476401,41287.6937402008,2253949.38630922,271023,29449
"198","2020-07-16",1675,0,9068.43233820251,51564.5588146034,50269.8457987141,2260998.2185972,272698,29449
"199","2020-07-17",2019,2,8610.6506718932,59902.3440920339,58804.7073675561,2270135.88802293,274717,29451
"200","2020-07-18",1775,2,5577.11623560967,65280.3170802986,63732.9604235961,2276434.8515877,276492,29453
"201","2020-07-19",1573,4,3176.58156112302,68052.2514756744,66085.4495186991,2280325.58238188,278065,29457
"202","2020-07-20",2311,3,7426.22733886176,75420.3128268919,72027.4194825527,2289219.63861341,280376,29460
"203","2020-07-21",2329,4,6405.70806293528,81552.4099488262,77649.5595582141,2297462.96082677,282705,29464
"204","2020-07-22",2374,2,10652.3872165161,92118.5168856531,87060.5779064726,2305020.1083519,285079,29466
"205","2020-07-23",2260,1,6927.4549695574,98970.1827521594,92547.8537572005,2310661.57473521,287339,29467
"206","2020-07-24",2503,5,6523.49349056178,104844.813063151,98053.2186877037,2317645.73208866,289842,29472
"207","2020-07-25",2066,6,3230.81953821434,107251.540135346,98114.8179496159,2320506.20322218,291908,29478
"208","2020-07-26",1875,7,1932.86665713778,107700.149417475,96406.5455138833,2321560.29083068,293783,29485
"209","2020-07-27",3004,7,6623.33615299592,113539.917583197,76155.0742336087,2330729.22625184,296787,29492
"210","2020-07-28",3120,11,7659.17534320221,119957.724058142,74745.8172386085,2340701.29263679,299907,29503
"211","2020-07-29",3192,5,9987.23165560809,128504.776594921,76122.3982223234,2349616.95419726,303099,29508
"212","2020-07-30",3109,8,9253.93862324282,136740.586658105,79799.2206099566,2357385.64325218,306208,29516
"213","2020-07-31",3598,11,10130.6369826362,143702.003364439,86753.2760314698,2368518.51992601,309806,29527
"214","2020-08-01",3586,6,9186.22706844238,149247.091340011,88513.2757610504,2377417.07312209,313392,29533
"215","2020-08-02",2757,11,5462.31719709254,127834.601103833,87569.8848952077,2380217.11411874,316149,29544
"216","2020-08-03",4070,10,10456.2927085322,129222.461474163,87373.7903872238,2391548.84822757,320219,29554
"217","2020-08-04",4574,12,12015.6354321108,132627.44623438,92461.9708497772,2405868.26252006,324793,29566
"218","2020-08-05",4542,10,13969.4767075862,141019.806706357,99907.9540668017,2419115.27993922,329335,29576
"219","2020-08-06",4496,23,12931.1986033015,150774.423748535,109608.333131889,2431688.01599545,333831,29599
"220","2020-08-07",5232,18,12889.5468975,156237.743307174,120565.013372251,2447391.70410121,339063,29617
"221","2020-08-08",4160,29,7196.72097514447,157028.756219383,121138.398194399,2455288.0980867,343223,29646
"222","2020-08-09",3973,14,6992.28672993061,153368.655732797,120471.509581128,2459490.87278238,347196,29660
"223","2020-08-10",5959,21,13080.1005428617,159521.301306102,123564.378468382,2476010.7377646,353155,29681
"224","2020-08-11",6288,27,16395.276105189,169393.083920729,130705.715950328,2495099.13951592,359443,29708
"225","2020-08-12",6413,23,14962.4207337775,181124.685116292,135537.499701469,2512733.59638584,365856,29731
"226","2020-08-13",6216,21,11858.5065775367,191050.325036691,138209.779210563,2526792.76814758,372072,29752
"227","2020-08-14",7031,31,16302.7346401293,200729.723523824,149050.1966536,2545421.21392209,379103,29783
"228","2020-08-15",5483,28,4339.71997111683,197410.268151739,142933.623916185,2550691.50277074,384586,29811
"229","2020-08-16",4883,20,7030.08913525432,194453.125631385,137948.077619328,2550210.31308003,389469,29831
"230","2020-08-17",7044,30,17787.9100620374,202987.09707018,141766.510973779,2562398.77996871,396513,29861
"231","2020-08-18",8303,35,16934.0628888653,209790.522976409,145769.375259343,2583463.83366739,404816,29896
"232","2020-08-19",8406,41,22068.86913071,222673.165038677,154948.697492553,2604634.37865917,413222,29937
"233","2020-08-20",8412,35,16152.2231052647,233363.070946849,163904.199622673,2622867.367354,421634,29972
"234","2020-08-21",9617,37,25813.5511313823,248720.329369699,182725.464024125,2646890.34699831,431251,30009
"235","2020-08-22",6592,38,8166.53818644295,244871.232124031,177811.901667707,2648034.59132251,437843,30047
"236","2020-08-23",5826,48,3304.15657431373,234205.911990759,164720.782136831,2644049.57892912,443669,30095
"237","2020-08-24",8037,49,7480.48982350224,228755.203210959,157238.851226556,2652387.73468746,451706,30144
"238","2020-08-25",10056,36,9359.16120172947,225224.817515189,154739.505850749,2671419.98722069,461762,30180
"239","2020-08-26",9709,46,9922.35756791142,227950.454107956,148359.128778531,2687321.3531011,471471,30226
"240","2020-08-27",9367,43,22487.6647135814,243445.832091606,166507.073520995,2699748.87369788,480838,30269
"241","2020-08-28",10795,61,21087.3054409047,251453.036989649,180564.289826646,2720701.37942527,491633,30330
"242","2020-08-29",7151,43,3323.33856929283,238381.099453753,166099.718333901,2716263.81094994,498784,30373
"243","2020-08-30",6302,51,802.601687963892,224221.280407939,149968.257133,2706744.36937445,505086,30424
"244","2020-08-31",8257,60,1837.38722260621,214200.161053009,129736.775224896,2707384.85072417,513343,30484
"245","2020-09-01",11167,64,4469.06455917877,202366.490972058,118053.61667881,2725125.76876087,524510,30548
"246","2020-09-02",10330,73,4639.63136538708,202666.402366329,96879.6969128147,2738965.15253615,534840,30621
"247","2020-09-03",10130,65,6067.19883352617,201703.512064601,94780.3575598978,2750891.02778258,544970,30686
"248","2020-09-04",11248,68,12319.3510341624,196234.953036726,103795.552019746,2766722.50571735,556218,30754
"249","2020-09-05",8614,58,15198.9718490567,194499.861996917,111514.034045301,2766159.94880366,564832,30812
"250","2020-09-06",7351,57,1297.9431316226,173728.935997829,103452.815975194,2758423.26510163,572183,30869
"251","2020-09-07",9216,74,2575.22697043175,160151.939862997,96105.6853777144,2760695.72794927,581399,30943
"252","2020-09-08",11127,80,3905.67207980132,138244.060811416,77523.6927439344,2772904.58240329,592526,31023
"253","2020-09-09",11661,85,6532.8938549407,136610.416479913,62969.2811579704,2787966.34072915,604187,31108
"254","2020-09-10",11524,82,21465.4823392501,154771.74224485,81111.4249279275,2801679.82288565,615711,31190
"255","2020-09-11",11909,88,19951.076607329,167242.329028676,100259.899847293,2815989.49971524,627620,31278
"256","2020-09-12",9139,98,4571.2546602111,162454.422487158,102993.767284898,2816862.62500097,636759,31376
"257","2020-09-13",7905,99,2237.06315635343,154769.1280756,100761.765882072,2811234.56728781,644664,31475
"258","2020-09-14",10298,95,3676.71156590933,135958.174927928,99798.8460825946,2815362.20051612,654962,31570
"259","2020-09-15",12196,120,7227.5978198899,122098.467306913,100959.245068958,2830687.85395329,667158,31690
"260","2020-09-16",11913,102,5700.58117571697,124475.709913337,94340.4752105129,2842672.22692647,679071,31792
"261","2020-09-17",11502,113,5210.71004410875,128883.818269482,84352.2134055649,2853315.99185853,690573,31905
"262","2020-09-18",14179,104,7505.99898320851,134552.430030085,90560.2692571509,2873223.53679147,704752,32009
"263","2020-09-19",8337,112,12824.0289025511,142907.394373457,100809.07118927,2867998.1758964,713089,32121
"264","2020-09-20",7116,92,961.561758042822,139229.324766113,97864.9608675117,2855968.03588666,720205,32213
"265","2020-09-21",9912,119,2383.95170466702,135546.077637254,93716.0187172381,2857034.88777759,730117,32332
"266","2020-09-22",12256,119,4427.41156259137,127654.138165683,76677.9479405794,2868253.93046342,742373,32451
"267","2020-09-23",11604,107,4527.26811306137,116982.434429687,61254.1394463117,2876335.14116832,753977,32558
"268","2020-09-24",10930,111,3086.10959205295,118770.600890117,59768.9943781535,2881459.70154494,764907,32669
"269","2020-09-25",11599,119,4008.21045287564,120203.584372561,61540.1416746757,2889758.5315064,776506,32788
"270","2020-09-26",7590,104,1597.79853296816,117895.710825728,59461.2286417345,2881230.02102759,784096,32892
"271","2020-09-27",6209,110,510.212052805708,111873.029023593,52743.8428746504,2868650.72817855,790305,33002
"272","2020-09-28",8978,138,1443.513358408,91851.0600427512,48486.7750573414,2869898.5176476,799283,33140
"273","2020-09-29",10544,131,2783.02228746076,74683.0057228829,46059.0873006934,2877144.15759552,809827,33271
"274","2020-09-30",9894,140,2021.52971117274,72133.2807738446,40574.6180286576,2883595.0535282,819721,33411
"275","2020-10-01",9939,119,3942.8945306712,73839.1121481624,31693.4836567777,2889007.14724861,829660,33530
"276","2020-10-02",10595,131,5574.84320192111,75737.2437841741,36306.765100656,2897637.99648736,840255,33661
"277","2020-10-03",7607,92,3746.08985480914,72255.7358190934,37668.9032507982,2892208.53261696,847862,33753
"278","2020-10-04",7142,80,1372.09075692576,67927.245400302,34613.5824451325,2884976.42877524,855004,33833
"279","2020-10-05",10976,126,6474.73795249783,69191.2733086911,36561.052284569,2895287.33017557,865980,33959
"280","2020-10-06",12319,122,9686.61281964114,71371.8871451238,43161.5555121572,2910173.23389076,878299,34081
"281","2020-10-07",12036,130,10412.6929792847,68960.5512218575,49566.0380385663,2924455.91834897,890335,34211
"282","2020-10-08",12225,124,8997.27275659964,76996.2622204142,56965.5122621978,2938029.01237996,902560,34335
"283","2020-10-09",13039,129,8341.69181562522,82954.0023313725,64796.9920250173,2953900.47676182,915599,34464
"284","2020-10-10",10212,107,4997.56791655978,83524.158685341,68351.0465831691,2958329.60462197,925811,34571
"285","2020-10-11",8512,101,2690.07688092286,81686.9674532023,68258.1011766312,2956148.70511738,934323,34672
"286","2020-10-12",10255,107,24724.886319395,103325.744180544,90961.4577848535,2960249.39611663,944578,34779
"287","2020-10-13",13806,129,18694.4307028672,118011.964430536,105712.993957049,2977446.32005985,958384,34908
"288","2020-10-14",15727,123,17728.9433823265,134143.109279894,117867.094137455,2998784.94600086,974111,35031
"289","2020-10-15",15828,126,17695.6102478313,151328.50747492,131816.614530477,3019948.88714381,989939,35157
"290","2020-10-16",16722,118,17754.866081249,167639.860197761,148199.3898548,3041503.19158651,1006661,35275
"291","2020-10-17",13605,105,11740.7136759069,176597.551586207,153465.365578209,3051118.36546842,1020266,35380
"292","2020-10-18",12126,118,6780.36015648582,181356.38203152,150559.112915054,3057074.30242833,1032392,35498
"293","2020-10-19",19157,140,22655.3611255557,200068.848626405,162801.781061325,3084377.87768183,1051549,35638
"294","2020-10-20",20989,150,26364.8250405786,220858.830465062,180169.333345304,3116736.68904973,1072538,35788
