"","date","total_cases","total_deaths","total_cases_daily","total_cases_active","total_cases_active_undetected","total_cum_cases","total_cum_deaths"
"45","2020-04-09",1921,133,26124.4371410826,184942.414957922,168360.414957922,18176,959
"46","2020-04-10",1761,114,23548.4519720847,205920.824149241,187935.824149242,19937,1073
"47","2020-04-11",1054,68,13716.7427021091,217314.987560394,198578.987560394,20991,1141
"48","2020-04-12",1465,96,17686.4460284733,233100.131457166,213209.131457166,22456,1237
"49","2020-04-13",1401,113,17536.114548561,246677.091680373,225807.091680373,23857,1350
"50","2020-04-14",1918,207,22561.3579997868,265327.975477487,243028.975477487,25775,1557
"51","2020-04-15",3243,203,37844.2220277227,298639.184996016,273574.184996016,29018,1760
"52","2020-04-16",2083,202,24757.719404582,321651.372961289,294853.372961289,31101,1962
"53","2020-04-17",3296,211,40138.3594876382,359142.533169198,329405.533169198,34397,2173
"54","2020-04-18",2778,202,31113.9013949032,375427.113954142,344076.113954142,37175,2375
"55","2020-04-19",1930,116,21608.3869436429,383934.292886057,351760.292886057,39105,2491
"56","2020-04-20",1816,107,19830.7054900893,391163.827129845,358340.827129845,40921,2598
"57","2020-04-21",2723,174,28491.1147306967,406846.551924696,372414.551924696,43644,2772
"58","2020-04-22",2779,168,29184.2890974425,423311.370240225,387269.370240225,46423,2940
"59","2020-04-23",3873,409,42107.8947463098,455902.75103192,417027.75103192,50296,3349
"60","2020-04-24",3913,373,42113.5091672428,489257.398654263,447309.398654263,54209,3722
"61","2020-04-25",5297,352,61359.9252635453,526981.363700452,481557.363700452,59506,4074
"62","2020-04-26",3715,227,38943.7160010069,538667.29414692,491701.29414692,63221,4301
"63","2020-04-27",4145,305,44778.0746636219,557320.931669459,508130.931669459,67366,4606
"64","2020-04-28",6234,486,63942.7784969238,597715.258194299,544052.258194298,73600,5092
"65","2020-04-29",6114,442,65877.8139879185,649876.329480108,591153.329480108,79714,5534
"66","2020-04-30",7412,446,79780.5086957101,711970.392147345,647300.392147345,87126,5980
"67","2020-05-01",5456,458,62083.6844245086,756517.962023292,687792.962023292,92582,6438
"68","2020-05-02",4848,370,50800.4820527257,784757.08607623,713102.08607623,97430,6808
"69","2020-05-03",4386,265,42349.0729502155,789261.936998723,716463.936998723,101816,7073
"70","2020-05-04",6961,308,67666.4687493198,832170.686343462,754494.686343462,108777,7381
"71","2020-05-05",7635,591,72473.0300432794,864505.356899102,782490.356899102,116412,7972
"72","2020-05-06",10545,625,108405.266812577,941796.722316776,852014.722316776,126957,8597
"73","2020-05-07",9732,676,96550.8267662533,1016739.16213939,919155.162139387,136689,9273
"74","2020-05-08",10404,754,104122.439148858,1101030.89579816,994858.895798155,147093,10027
"75","2020-05-09",10155,668,104015.308521747,1176555.08958921,1062951.08958921,157248,10695
"76","2020-05-10",6261,477,58146.563807866,1205517.36429963,1088431.36429963,163509,11172
"77","2020-05-11",6224,487,61079.5263906037,1224488.99594392,1105051.99594392,169733,11659
"78","2020-05-12",9612,844,90192.445012502,1272567.93178918,1147431.93178918,179345,12503
"79","2020-05-13",11693,778,112694.970844384,1323902.97737002,1192370.97737002,191038,13281
"80","2020-05-14",14134,789,128611.319619859,1413570.58098887,1271619.58098887,205172,14070
"81","2020-05-15",15447,913,136119.634591485,1504912.14091674,1351659.14091674,220619,14983
"82","2020-05-16",13956,715,132472.431382998,1573441.79380281,1412466.79380281,234575,15698
"83","2020-05-17",7767,503,68273.4434008922,1575837.42321578,1413209.42321578,242342,16201
"84","2020-05-18",14559,724,144760.716033942,1640817.63055401,1471042.63055401,256901,16925
"85","2020-05-19",17490,1148,145681.411677273,1724415.35780678,1542606.35780678,274391,18073
"86","2020-05-20",20153,985,181416.876761091,1855031.75251515,1657917.75251515,294544,19058
"87","2020-05-21",17898,1051,153819.720306303,1966502.39987123,1755876.39987123,312442,20109
"88","2020-05-22",22115,1039,183845.783892786,2082681.7150147,1856901.7150147,334557,21148
"89","2020-05-23",16568,1043,132308.093591026,2142516.77856245,1907803.77856245,351125,22191
"90","2020-05-24",14641,665,123466.779695631,2157578.2914455,1918769.2914455,365766,22856
"91","2020-05-25",13073,734,108320.184256505,2169347.64893575,1927197.64893575,378839,23590
"92","2020-05-26",16327,1052,121053.766353279,2186278.97614017,1938205.97614017,395166,24642
"93","2020-05-27",19781,1059,146582.898854285,2228846.56647271,1971147.56647271,414947,25701
"94","2020-05-28",28756,1194,211698.425155495,2382398.42782034,2102204.42782034,443703,26895
"95","2020-05-29",26890,1137,198993.915469046,2520312.81689878,2219452.81689878,470593,28032
"96","2020-05-30",32320,863,243143.514202191,2673263.88608847,2349695.88608847,502913,28895
"97","2020-05-31",13181,472,82934.0930184216,2643503.00826251,2318447.00826251,516094,29367
"98","2020-06-01",14962,738,96015.8237129706,2610907.51235562,2285023.51235562,531056,30105
"99","2020-06-02",31907,1368,214072.729764295,2688860.60752843,2346516.60752843,562963,31473
"100","2020-06-03",26085,1194,166305.880920531,2722694.05706596,2368221.05706596,589048,32667
"101","2020-06-04",31468,1478,193788.885064401,2848209.49872947,2470035.49872947,620516,34145
"102","2020-06-05",32587,1108,197913.86139177,2901362.6440873,2505160.6440873,653103,35253
"103","2020-06-06",23790,801,128743.407604393,2884424.64001442,2481922.64001442,676893,36054
"104","2020-06-07",17987,476,108644.376905797,2811652.14015913,2411316.14015913,694880,36530
"105","2020-06-08",17337,863,104737.531785915,2762569.95163874,2362794.95163874,712217,37393
"106","2020-06-09",31700,1193,179415.28216536,2758139.44991131,2348779.44991131,743917,38586
"107","2020-06-10",33790,1238,175184.583745501,2801015.94006579,2374433.94006579,777707,39824
"108","2020-06-11",28686,1268,150057.34690357,2827606.50727373,2386979.50727373,806393,41092
"109","2020-06-12",24288,843,124845.954408784,2844132.27742601,2392290.27742601,830681,41935
"110","2020-06-13",21098,857,106871.266480728,2829949.77755345,2373336.77755345,851779,42792
"111","2020-06-14",16925,634,83098.6581119575,2766465.53681113,2312708.53681113,868704,43426
"112","2020-06-15",24581,764,114962.352572677,2669729.46422831,2220147.46422831,893285,44190
"113","2020-06-16",37019,1332,178888.161159029,2649623.70991829,2189912.70991829,930304,45522
"114","2020-06-17",30925,1185,146002.539223389,2552482.73493949,2094166.73493949,961229,46707
"115","2020-06-18",25120,1239,105993.612794074,2575542.25471514,2105287.25471514,986349,47946
"116","2020-06-19",56112,1172,292243.65269238,2771770.08369455,2260365.08369455,1042461,49118
"117","2020-06-20",28876,982,128848.182940236,2686545.53687049,2178171.53687049,1071337,50100
"118","2020-06-21",16570,609,74041.2619658411,2594280.9179158,2095421.9179158,1087907,50709
"119","2020-06-22",26509,735,106020.93128647,2506512.96413787,2012612.96413787,1114416,51444
"120","2020-06-23",39566,1407,175241.432552112,2483840.53529821,1982961.53529821,1153982,52851
"121","2020-06-24",41042,1104,176884.535155668,2531981.66284949,2013850.66284949,1195024,53955
"122","2020-06-25",40973,1168,182019.126768114,2605356.41271181,2064239.41271181,1235997,55123
"123","2020-06-26",45634,1005,185388.662112157,2686007.54303805,2116593.54303805,1281631,56128
"124","2020-06-27",36920,1031,139088.791667462,2645681.05254015,2071047.05254015,1318551,57159
"125","2020-06-28",32850,583,139027.82187353,2609524.29066818,2035830.29066818,1351401,57742
"126","2020-06-29",21582,731,77669.4214424823,2537136.36520709,1970546.36520709,1372983,58473
"127","2020-06-30",39681,1318,141943.872488612,2554234.28328692,1972251.28328692,1412664,59791
"128","2020-07-01",46825,1086,181125.884612265,2628488.90141846,2020778.90141846,1459489,60877
"129","2020-07-02",44401,1259,174816.586102754,2720206.82940925,2085020.82940925,1503890,62136
"130","2020-07-03",42854,1213,160232.459408895,2765476.93624547,2112017.93624547,1546744,63349
"131","2020-07-04",33297,1061,114873.979629365,2701462.75471581,2051725.75471581,1580041,64410
"132","2020-07-05",25648,555,98026.3842657933,2653486.59975821,2009026.59975821,1605689,64965
"133","2020-07-06",24458,686,80493.6075731196,2627986.59453726,1984188.59453726,1630147,65651
"134","2020-07-07",46694,1301,166240.843380609,2501983.78522548,1867603.78522549,1676841,66952
"135","2020-07-08",45252,1174,163143.533378303,2536279.13566355,1885523.13566355,1722093,68126
"136","2020-07-09",42962,1221,150047.245179827,2612285.11887754,1935137.11887754,1765055,69347
"137","2020-07-10",44311,1299,153377.177411133,2659641.3650022,1964691.3650022,1809366,70646
"138","2020-07-11",34947,932,113706.344538376,2598106.27698847,1907775.27698847,1844313,71578
"139","2020-07-12",23658,617,74382.0686961362,2495603.81052893,1822656.81052893,1867971,72195
"140","2020-07-13",22893,835,77585.4262987641,2391170.11005958,1736303.11005958,1890864,73030
"141","2020-07-14",42922,1294,140455.76943178,2346237.21737921,1694082.21737921,1933786,74324
"142","2020-07-15",40142,1278,128826.657050807,2335975.08276255,1680598.08276255,1973928,75602
"143","2020-07-16",43683,1300,134263.616706298,2331210.87759532,1665000.87759532,2017611,76902
"144","2020-07-17",34618,1124,109161.07620599,2362702.53235883,1683456.53235883,2052229,78026
"145","2020-07-18",25726,844,76422.0185298187,2297180.67840003,1631889.67840003,2077955,78870
"146","2020-07-19",23439,708,84583.3334503461,2200638.12723812,1558733.12723812,2101394,79578
"147","2020-07-20",22753,768,72263.8498417889,2098085.39097715,1477828.39097715,2124147,80346
"148","2020-07-21",46932,1317,150690.499327833,2088543.43089609,1464208.43089609,2171079,81663
"149","2020-07-22",66150,1296,213573.035300768,2187242.48656749,1530054.48656749,2237229,82959
"150","2020-07-23",57326,1313,183612.438469801,2272828.5407715,1583962.5407715,2294555,84272
"151","2020-07-24",56903,1165,183532.711757434,2375867.64495581,1654556.64495581,2351458,85437
"152","2020-07-25",47535,1099,155158.799257005,2364785.60083221,1642633.60083221,2398993,86536
"153","2020-07-26",21046,581,61547.6345279269,2263189.70198183,1565243.70198183,2420039,87117
"154","2020-07-27",29638,685,86656.6540633574,2199799.11086536,1515177.11086536,2449677,87802
"155","2020-07-28",54004,1235,159788.511858621,2206210.44531285,1511895.44531285,2503681,89037
"156","2020-07-29",55451,1222,171889.826511723,2264393.9272862,1549574.9272862,2559132,90259
"157","2020-07-30",58055,1202,176085.053792982,2366096.91238304,1616880.91238304,2617187,91461
"158","2020-07-31",53264,1266,161279.183953813,2449790.67003809,1670203.67003809,2670451,92727
"159","2020-08-01",41541,941,125692.734511225,2435027.63511754,1656821.63511754,2711992,93668
"160","2020-08-02",24066,525,66386.3587014288,2372587.33676816,1610457.33676816,2736058,94193
"161","2020-08-03",20106,601,53408.2582924197,2291731.97835428,1553178.97835428,2756164,94794
"162","2020-08-04",56282,1358,158140.491982906,2340711.3941312,1580494.3941312,2812446,96152
"163","2020-08-05",56138,1367,163493.321883475,2427782.69748485,1637153.69748485,2868584,97519
"164","2020-08-06",54020,1225,151174.730726358,2494374.09476087,1673164.09476087,2922604,98744
"165","2020-08-07",48966,1086,137038.966850677,2559149.21176975,1711726.21176975,2971570,99830
"166","2020-08-08",46827,818,139207.783020724,2547666.49546264,1700348.49546265,3018397,100648
"167","2020-08-09",22730,578,61891.032452481,2395984.49261436,1592086.49261436,3041127,101226
"168","2020-08-10",24946,783,60695.1478674204,2273067.20201198,1501549.20201198,3066073,102009
"169","2020-08-11",50929,1200,141181.556988501,2230716.04724304,1465172.04724304,3117002,103209
"170","2020-08-12",56105,1152,160375.622099058,2235932.8700851,1461818.8700851,3173107,104361
"171","2020-08-13",60713,1274,174284.420508977,2348669.65606615,1534888.65606615,3233820,105635
"172","2020-08-14",49279,1007,133269.701571541,2395282.70357433,1561860.70357433,3283099,106642
"173","2020-08-15",37009,722,100175.073888207,2335669.26560392,1519242.26560392,3320108,107364
"174","2020-08-16",22852,587,68334.9097405048,2232114.3488327,1448286.3488327,3342960,107951
"175","2020-08-17",24551,796,57659.3976422702,2113688.69268199,1363364.69268199,3367511,108747
"176","2020-08-18",49264,1352,137130.654218718,2089540.16294689,1343216.16294689,3416775,110099
"177","2020-08-19",48603,1164,133496.100735627,2097343.5291713,1343957.5291713,3465378,111263
"178","2020-08-20",42974,1236,116158.463820377,2147115.63429024,1374821.63429024,3508352,112499
"179","2020-08-21",32326,1052,81242.1437844074,2174949.51978223,1390435.51978223,3540678,113551
"180","2020-08-22",45908,827,128036.897898727,2144845.92569805,1370705.92569805,3586586,114378
"181","2020-08-23",21869,456,55188.6247260533,2036541.22854063,1296670.22854063,3608455,114834
"182","2020-08-24",23517,717,53166.9529706364,1938533.45078491,1229165.45078491,3631972,115551
"183","2020-08-25",46307,1209,117580.723587102,1919075.20752133,1212366.20752133,3678279,116760
"184","2020-08-26",48152,1079,125161.372521053,1905028.79702166,1196994.79702166,3726431,117839
"185","2020-08-27",42260,985,109539.9744123,1952677.73898148,1225113.73898148,3768691,118824
"186","2020-08-28",44088,849,107586.416482061,1999569.00759612,1252863.00759612,3812779,119673
"187","2020-08-29",37291,897,97094.1121187287,1955481.56272635,1222413.56272635,3850070,120570
"188","2020-08-30",14534,401,35039.0103247919,1830144.95095208,1138647.95095208,3864604,120971
"189","2020-08-31",50225,647,84420.3221041689,1740280.85254728,1059271.85254728,3914829,121618
"190","2020-09-01",44329,1150,117815.476160305,1724826.62713604,1048767.62713604,3959158,122768
"191","2020-09-02",46453,1204,116726.270325626,1741377.82357346,1055874.82357346,4005611,123972
"192","2020-09-03",46809,867,118538.020167073,1791580.93400003,1082120.93400003,4052420,124839
"193","2020-09-04",39262,849,97480.6161092784,1831402.15246703,1107231.15246703,4091682,125688
"194","2020-09-05",34134,604,80190.4471122412,1774461.94536056,1065420.94536056,4125816,126292
"195","2020-09-06",14339,444,31065.2966914248,1672031.14131635,997254.141316354,4140155,126736
"196","2020-09-07",9849,334,21608.7729008011,1577481.45039678,935829.450396779,4150004,127070
"197","2020-09-08",18661,514,39477.6963418115,1535717.00295418,907730.002954182,4168665,127584
"198","2020-09-09",37162,1168,84182.2371897771,1491862.34224523,872621.342245234,4205827,128752
"199","2020-09-10",40711,974,95190.9872262974,1531864.70474548,893781.704745478,4246538,129726
"200","2020-09-11",41633,848,113751.002802169,1592448.75457701,936249.75457701,4288171,130574
"201","2020-09-12",30800,767,71936.6491766774,1546804.68016659,906112.680166585,4318971,131341
"202","2020-09-13",14020,405,35082.1640954401,1456725.47174097,850165.471740972,4332991,131746
"203","2020-09-14",20611,458,42713.5656636917,1389899.06299236,804988.062992364,4353602,132204
"204","2020-09-15",34552,1082,83743.1200619705,1366055.76657227,790680.766572273,4388154,133286
"205","2020-09-16",37297,962,89266.5639288256,1358228.21838237,782847.218382369,4425451,134248
"206","2020-09-17",36405,869,82745.0585511673,1405934.26660874,808682.266608744,4461856,135117
"207","2020-09-18",39731,828,98376.7988569841,1419890.74336156,833132.74336156,4501587,135945
"208","2020-09-19",29558,681,71342.8075087378,1373418.07470999,801431.074709993,4531145,136626
"209","2020-09-20",15442,351,36838.9716317696,1293530.77601614,752554.776016137,4546587,136977
"210","2020-09-21",17635,466,36365.6895821476,1211358.44543121,699556.445431212,4564222,137443
"211","2020-09-22",34967,794,82644.9758033706,1196522.8051253,689015.805125304,4599189,138237
"212","2020-09-23",32726,932,75114.7829599907,1191447.14097305,685348.140973054,4631915,139169
"213","2020-09-24",32014,795,79459.8181564179,1239841.66243805,716067.662438046,4663929,139964
"214","2020-09-25",32311,822,75160.8700840726,1293393.75962132,747157.759621318,4696240,140786
"215","2020-09-26",24717,722,55389.243050306,1309305.30632981,757013.306329812,4720957,141508
"216","2020-09-27",13778,337,35445.1561827961,1260568.22532283,731660.225322832,4734735,141845
"217","2020-09-28",16881,393,33697.9565893433,1199075.19468588,693997.194685878,4751616,142238
"218","2020-09-29",32848,858,76822.422362354,1162146.61424606,665853.614246063,4784464,143096
"219","2020-09-30",32901,868,74023.4215723803,1164233.38664177,665839.386641766,4817365,143964
"220","2020-10-01",35755,887,81272.6072876241,1210423.82983395,690294.82983395,4853120,144851
"221","2020-10-02",32846,653,84302.5560909411,1252012.8202612,719648.820261199,4885966,145504
"222","2020-10-03",22653,571,54477.8748376887,1222747.57503692,702282.575036917,4908619,146075
