"","data.country","data.gid_0","data.gid_1","data.iso_code","data.region","data.sample_size","data.smoothed_ili","data.smoothed_ili_se","data.survey_date","status"
"97","Spain","ESP","ESP.1_1","ESP","Andalucía",3139,0.001351,0.000822,"20200805","success"
"98","Spain","ESP","ESP.1_1","ESP","Andalucía",3102,0.001169,0.000772,"20200806","success"
"99","Spain","ESP","ESP.1_1","ESP","Andalucía",3003,0.00018,0.000308,"20200807","success"
"100","Spain","ESP","ESP.1_1","ESP","Andalucía",3058,0.00051,0.000518,"20200808","success"
"101","Spain","ESP","ESP.1_1","ESP","Andalucía",3050,0.001167,0.000783,"20200809","success"
"102","Spain","ESP","ESP.1_1","ESP","Andalucía",3064,0.002025,0.001031,"20200810","success"
"103","Spain","ESP","ESP.1_1","ESP","Andalucía",3144,0.002049,0.001022,"20200811","success"
"104","Spain","ESP","ESP.1_1","ESP","Andalucía",3188,0.002058,0.001026,"20200812","success"
"105","Spain","ESP","ESP.1_1","ESP","Andalucía",3205,0.002917,0.001219,"20200813","success"
"106","Spain","ESP","ESP.1_1","ESP","Andalucía",3264,0.004434,0.001494,"20200814","success"
"107","Spain","ESP","ESP.1_1","ESP","Andalucía",3264,0.004229,0.001455,"20200815","success"
"108","Spain","ESP","ESP.1_1","ESP","Andalucía",3287,0.003823,0.001393,"20200816","success"
"109","Spain","ESP","ESP.1_1","ESP","Andalucía",3300,0.004052,0.001439,"20200817","success"
"110","Spain","ESP","ESP.1_1","ESP","Andalucía",3289,0.004274,0.001494,"20200818","success"
"111","Spain","ESP","ESP.1_1","ESP","Andalucía",3333,0.004957,0.001572,"20200819","success"
"112","Spain","ESP","ESP.1_1","ESP","Andalucía",3372,0.004656,0.001517,"20200820","success"
"113","Spain","ESP","ESP.1_1","ESP","Andalucía",3431,0.003052,0.001212,"20200821","success"
"114","Spain","ESP","ESP.1_1","ESP","Andalucía",3446,0.002826,0.001147,"20200822","success"
"115","Spain","ESP","ESP.1_1","ESP","Andalucía",3506,0.003002,0.001167,"20200823","success"
"116","Spain","ESP","ESP.1_1","ESP","Andalucía",3543,0.002998,0.001157,"20200824","success"
"117","Spain","ESP","ESP.1_1","ESP","Andalucía",3596,0.002894,0.001129,"20200825","success"
"118","Spain","ESP","ESP.1_1","ESP","Andalucía",3599,0.002736,0.001109,"20200826","success"
"119","Spain","ESP","ESP.1_1","ESP","Andalucía",3634,0.002834,0.001126,"20200827","success"
"120","Spain","ESP","ESP.1_1","ESP","Andalucía",3617,0.002824,0.001122,"20200828","success"
"121","Spain","ESP","ESP.1_1","ESP","Andalucía",3591,0.003278,0.001228,"20200829","success"
"122","Spain","ESP","ESP.1_1","ESP","Andalucía",3543,0.00299,0.001174,"20200830","success"
"123","Spain","ESP","ESP.1_1","ESP","Andalucía",3462,0.003755,0.001323,"20200831","success"
"124","Spain","ESP","ESP.1_1","ESP","Andalucía",3378,0.003773,0.001327,"20200901","success"
"125","Spain","ESP","ESP.1_1","ESP","Andalucía",3330,0.003495,0.001288,"20200902","success"
"126","Spain","ESP","ESP.1_1","ESP","Andalucía",3232,0.002858,0.001173,"20200903","success"
"127","Spain","ESP","ESP.1_1","ESP","Andalucía",3157,0.003391,0.001289,"20200904","success"
"128","Spain","ESP","ESP.1_1","ESP","Andalucía",3127,0.003834,0.00137,"20200905","success"
"129","Spain","ESP","ESP.1_1","ESP","Andalucía",3070,0.004118,0.001421,"20200906","success"
"130","Spain","ESP","ESP.1_1","ESP","Andalucía",3094,0.002912,0.001185,"20200907","success"
"131","Spain","ESP","ESP.1_1","ESP","Andalucía",3131,0.003962,0.001371,"20200908","success"
"132","Spain","ESP","ESP.1_1","ESP","Andalucía",3084,0.004203,0.001423,"20200909","success"
"133","Spain","ESP","ESP.1_1","ESP","Andalucía",3091,0.005782,0.001657,"20200910","success"
"134","Spain","ESP","ESP.1_1","ESP","Andalucía",3086,0.005437,0.001625,"20200911","success"
"135","Spain","ESP","ESP.1_1","ESP","Andalucía",3096,0.004606,0.001493,"20200912","success"
"136","Spain","ESP","ESP.1_1","ESP","Andalucía",3101,0.004784,0.001531,"20200913","success"
"137","Spain","ESP","ESP.1_1","ESP","Andalucía",3072,0.005257,0.001612,"20200914","success"
"138","Spain","ESP","ESP.1_1","ESP","Andalucía",3062,0.004731,0.001536,"20200915","success"
"139","Spain","ESP","ESP.1_1","ESP","Andalucía",3086,0.004798,0.00152,"20200916","success"
"140","Spain","ESP","ESP.1_1","ESP","Andalucía",3088,0.003657,0.001337,"20200917","success"
"141","Spain","ESP","ESP.1_1","ESP","Andalucía",3118,0.00367,0.00132,"20200918","success"
"142","Spain","ESP","ESP.1_1","ESP","Andalucía",3101,0.004188,0.001404,"20200919","success"
"143","Spain","ESP","ESP.1_1","ESP","Andalucía",3131,0.004746,0.00148,"20200920","success"
"144","Spain","ESP","ESP.1_1","ESP","Andalucía",3116,0.004448,0.001453,"20200921","success"
"145","Spain","ESP","ESP.1_1","ESP","Andalucía",3124,0.00373,0.001324,"20200922","success"
"146","Spain","ESP","ESP.1_1","ESP","Andalucía",3149,0.003226,0.001229,"20200923","success"
"147","Spain","ESP","ESP.1_1","ESP","Andalucía",3127,0.003124,0.001209,"20200924","success"
"148","Spain","ESP","ESP.2_1","ESP","Aragón",131,0.003,0.006635,"20200502","success"
"149","Spain","ESP","ESP.2_1","ESP","Aragón",298,0.001354,0.002995,"20200503","success"
"150","Spain","ESP","ESP.2_1","ESP","Aragón",502,0.002403,0.003114,"20200504","success"
"151","Spain","ESP","ESP.2_1","ESP","Aragón",706,0.002992,0.002888,"20200505","success"
"152","Spain","ESP","ESP.2_1","ESP","Aragón",189,0,0,"20200506","success"
"153","Spain","ESP","ESP.2_1","ESP","Aragón",376,0.001123,0.002366,"20200507","success"
"154","Spain","ESP","ESP.2_1","ESP","Aragón",572,0.001829,0.00244,"20200508","success"
"155","Spain","ESP","ESP.2_1","ESP","Aragón",762,0.002083,0.002228,"20200509","success"
"156","Spain","ESP","ESP.2_1","ESP","Aragón",950,0.002837,0.002311,"20200510","success"
"157","Spain","ESP","ESP.2_1","ESP","Aragón",1106,0.004766,0.002747,"20200511","success"
"158","Spain","ESP","ESP.2_1","ESP","Aragón",1292,0.004797,0.002522,"20200512","success"
"159","Spain","ESP","ESP.2_1","ESP","Aragón",1294,0.00481,0.002529,"20200513","success"
"160","Spain","ESP","ESP.2_1","ESP","Aragón",1325,0.004225,0.002294,"20200514","success"
"161","Spain","ESP","ESP.2_1","ESP","Aragón",1349,0.004046,0.00217,"20200515","success"
"162","Spain","ESP","ESP.2_1","ESP","Aragón",1392,0.004393,0.002188,"20200516","success"
"163","Spain","ESP","ESP.2_1","ESP","Aragón",1402,0.004558,0.002208,"20200517","success"
"164","Spain","ESP","ESP.2_1","ESP","Aragón",1431,0.002868,0.001726,"20200518","success"
"165","Spain","ESP","ESP.2_1","ESP","Aragón",1456,0.003092,0.001804,"20200519","success"
"166","Spain","ESP","ESP.2_1","ESP","Aragón",1484,0.003062,0.001787,"20200520","success"
"167","Spain","ESP","ESP.2_1","ESP","Aragón",1423,0.003872,0.002058,"20200521","success"
"168","Spain","ESP","ESP.2_1","ESP","Aragón",1381,0.003601,0.002039,"20200522","success"
"169","Spain","ESP","ESP.2_1","ESP","Aragón",1356,0.004099,0.00226,"20200523","success"
"170","Spain","ESP","ESP.2_1","ESP","Aragón",1360,0.003459,0.002106,"20200524","success"
"171","Spain","ESP","ESP.2_1","ESP","Aragón",1392,0.00382,0.002216,"20200525","success"
"172","Spain","ESP","ESP.2_1","ESP","Aragón",1365,0.002875,0.001944,"20200526","success"
"173","Spain","ESP","ESP.2_1","ESP","Aragón",1315,0.002943,0.00199,"20200527","success"
"174","Spain","ESP","ESP.2_1","ESP","Aragón",1332,0.006249,0.002858,"20200528","success"
"175","Spain","ESP","ESP.2_1","ESP","Aragón",1319,0.008059,0.003286,"20200529","success"
"176","Spain","ESP","ESP.2_1","ESP","Aragón",1288,0.00669,0.002999,"20200530","success"
"177","Spain","ESP","ESP.2_1","ESP","Aragón",1301,0.00699,0.00305,"20200531","success"
"178","Spain","ESP","ESP.2_1","ESP","Aragón",1241,0.006974,0.003126,"20200601","success"
"179","Spain","ESP","ESP.2_1","ESP","Aragón",1229,0.007059,0.003164,"20200602","success"
"180","Spain","ESP","ESP.2_1","ESP","Aragón",1219,0.007043,0.003157,"20200603","success"
"181","Spain","ESP","ESP.2_1","ESP","Aragón",1220,0.002577,0.00193,"20200604","success"
"182","Spain","ESP","ESP.2_1","ESP","Aragón",1203,0.000877,0.001183,"20200605","success"
"183","Spain","ESP","ESP.2_1","ESP","Aragón",1172,0.001455,0.001531,"20200606","success"
"184","Spain","ESP","ESP.2_1","ESP","Aragón",1126,0.00269,0.002085,"20200607","success"
"185","Spain","ESP","ESP.2_1","ESP","Aragón",1099,0.003188,0.002346,"20200608","success"
"186","Spain","ESP","ESP.2_1","ESP","Aragón",1046,0.004925,0.002946,"20200609","success"
"187","Spain","ESP","ESP.2_1","ESP","Aragón",1032,0.006135,0.003355,"20200610","success"
"188","Spain","ESP","ESP.2_1","ESP","Aragón",979,0.00635,0.003473,"20200611","success"
"189","Spain","ESP","ESP.2_1","ESP","Aragón",963,0.005916,0.003236,"20200612","success"
"190","Spain","ESP","ESP.2_1","ESP","Aragón",952,0.007793,0.003743,"20200613","success"
"191","Spain","ESP","ESP.2_1","ESP","Aragón",923,0.00682,0.003537,"20200614","success"
"192","Spain","ESP","ESP.2_1","ESP","Aragón",926,0.008198,0.003752,"20200615","success"
"193","Spain","ESP","ESP.2_1","ESP","Aragón",938,0.009291,0.003973,"20200616","success"
"194","Spain","ESP","ESP.2_1","ESP","Aragón",918,0.011852,0.004514,"20200617","success"
"195","Spain","ESP","ESP.2_1","ESP","Aragón",914,0.01391,0.004917,"20200618","success"
"196","Spain","ESP","ESP.2_1","ESP","Aragón",905,0.01415,0.005002,"20200619","success"
"197","Spain","ESP","ESP.2_1","ESP","Aragón",904,0.012879,0.004827,"20200620","success"
"198","Spain","ESP","ESP.2_1","ESP","Aragón",908,0.011693,0.004613,"20200621","success"
"199","Spain","ESP","ESP.2_1","ESP","Aragón",910,0.009724,0.00427,"20200622","success"
"200","Spain","ESP","ESP.2_1","ESP","Aragón",914,0.010595,0.004364,"20200623","success"
"201","Spain","ESP","ESP.2_1","ESP","Aragón",949,0.010921,0.00432,"20200624","success"
"202","Spain","ESP","ESP.2_1","ESP","Aragón",976,0.008712,0.003791,"20200625","success"
"203","Spain","ESP","ESP.2_1","ESP","Aragón",987,0.008646,0.003762,"20200626","success"
"204","Spain","ESP","ESP.2_1","ESP","Aragón",983,0.007785,0.003546,"20200627","success"
"205","Spain","ESP","ESP.2_1","ESP","Aragón",958,0.007943,0.003618,"20200628","success"
"206","Spain","ESP","ESP.2_1","ESP","Aragón",931,0.009753,0.004029,"20200629","success"
"207","Spain","ESP","ESP.2_1","ESP","Aragón",947,0.006216,0.003319,"20200630","success"
"208","Spain","ESP","ESP.2_1","ESP","Aragón",904,0.001969,0.001931,"20200701","success"
"209","Spain","ESP","ESP.2_1","ESP","Aragón",847,0.002696,0.002344,"20200702","success"
"210","Spain","ESP","ESP.2_1","ESP","Aragón",815,0.003796,0.002777,"20200703","success"
"211","Spain","ESP","ESP.2_1","ESP","Aragón",789,0.004033,0.00295,"20200704","success"
"212","Spain","ESP","ESP.2_1","ESP","Aragón",774,0.005788,0.00361,"20200705","success"
"213","Spain","ESP","ESP.2_1","ESP","Aragón",758,0.003503,0.002831,"20200706","success"
"214","Spain","ESP","ESP.2_1","ESP","Aragón",734,0.004506,0.003183,"20200707","success"
"215","Spain","ESP","ESP.2_1","ESP","Aragón",741,0.004377,0.003092,"20200708","success"
"216","Spain","ESP","ESP.2_1","ESP","Aragón",763,0.003812,0.002906,"20200709","success"
"217","Spain","ESP","ESP.2_1","ESP","Aragón",791,0.00247,0.002279,"20200710","success"
"218","Spain","ESP","ESP.2_1","ESP","Aragón",797,0.003216,0.002542,"20200711","success"
"219","Spain","ESP","ESP.2_1","ESP","Aragón",832,0.00173,0.001823,"20200712","success"
"220","Spain","ESP","ESP.2_1","ESP","Aragón",892,0.001637,0.001725,"20200713","success"
"221","Spain","ESP","ESP.2_1","ESP","Aragón",907,0.002268,0.00198,"20200714","success"
"222","Spain","ESP","ESP.2_1","ESP","Aragón",908,0.002354,0.002055,"20200715","success"
"223","Spain","ESP","ESP.2_1","ESP","Aragón",956,0.00217,0.001894,"20200716","success"
"224","Spain","ESP","ESP.2_1","ESP","Aragón",990,0.002695,0.002125,"20200717","success"
"225","Spain","ESP","ESP.2_1","ESP","Aragón",1039,0.001914,0.001761,"20200718","success"
"226","Spain","ESP","ESP.2_1","ESP","Aragón",1068,0.001881,0.00173,"20200719","success"
"227","Spain","ESP","ESP.2_1","ESP","Aragón",1105,0.005688,0.002897,"20200720","success"
"228","Spain","ESP","ESP.2_1","ESP","Aragón",1144,0.0044,0.002554,"20200721","success"
"229","Spain","ESP","ESP.2_1","ESP","Aragón",1192,0.004616,0.002561,"20200722","success"
"230","Spain","ESP","ESP.2_1","ESP","Aragón",1186,0.00644,0.003066,"20200723","success"
"231","Spain","ESP","ESP.2_1","ESP","Aragón",1191,0.00628,0.003028,"20200724","success"
"232","Spain","ESP","ESP.2_1","ESP","Aragón",1173,0.006173,0.002977,"20200725","success"
"233","Spain","ESP","ESP.2_1","ESP","Aragón",1176,0.006871,0.003092,"20200726","success"
"234","Spain","ESP","ESP.2_1","ESP","Aragón",1126,0.004163,0.002497,"20200727","success"
"235","Spain","ESP","ESP.2_1","ESP","Aragón",1109,0.006627,0.003219,"20200728","success"
"236","Spain","ESP","ESP.2_1","ESP","Aragón",1069,0.007214,0.003383,"20200729","success"
"237","Spain","ESP","ESP.2_1","ESP","Aragón",1090,0.006404,0.003119,"20200730","success"
"238","Spain","ESP","ESP.2_1","ESP","Aragón",1045,0.006222,0.003099,"20200731","success"
"239","Spain","ESP","ESP.2_1","ESP","Aragón",1037,0.007841,0.003501,"20200801","success"
"240","Spain","ESP","ESP.2_1","ESP","Aragón",1018,0.007078,0.003383,"20200802","success"
"241","Spain","ESP","ESP.2_1","ESP","Aragón",1022,0.006802,0.003362,"20200803","success"
"242","Spain","ESP","ESP.2_1","ESP","Aragón",1000,0.004787,0.002795,"20200804","success"
"243","Spain","ESP","ESP.2_1","ESP","Aragón",1010,0.00485,0.002821,"20200805","success"
"244","Spain","ESP","ESP.2_1","ESP","Aragón",965,0.003709,0.002546,"20200806","success"
"245","Spain","ESP","ESP.2_1","ESP","Aragón",974,0.003564,0.002447,"20200807","success"
"246","Spain","ESP","ESP.2_1","ESP","Aragón",971,0.003598,0.002513,"20200808","success"
"247","Spain","ESP","ESP.2_1","ESP","Aragón",963,0.005126,0.003,"20200809","success"
"248","Spain","ESP","ESP.2_1","ESP","Aragón",964,0.005698,0.003075,"20200810","success"
"249","Spain","ESP","ESP.2_1","ESP","Aragón",971,0.006045,0.003153,"20200811","success"
"250","Spain","ESP","ESP.2_1","ESP","Aragón",934,0.005153,0.002942,"20200812","success"
"251","Spain","ESP","ESP.2_1","ESP","Aragón",943,0.00698,0.00337,"20200813","success"
"252","Spain","ESP","ESP.2_1","ESP","Aragón",925,0.009699,0.00407,"20200814","success"
"253","Spain","ESP","ESP.2_1","ESP","Aragón",911,0.01189,0.004489,"20200815","success"
"254","Spain","ESP","ESP.2_1","ESP","Aragón",893,0.015854,0.005215,"20200816","success"
"255","Spain","ESP","ESP.2_1","ESP","Aragón",889,0.015815,0.005425,"20200817","success"
"256","Spain","ESP","ESP.2_1","ESP","Aragón",855,0.015374,0.00545,"20200818","success"
"257","Spain","ESP","ESP.2_1","ESP","Aragón",875,0.016873,0.005982,"20200819","success"
"258","Spain","ESP","ESP.2_1","ESP","Aragón",863,0.015691,0.005943,"20200820","success"
"259","Spain","ESP","ESP.2_1","ESP","Aragón",876,0.014103,0.005475,"20200821","success"
"260","Spain","ESP","ESP.2_1","ESP","Aragón",878,0.009575,0.004572,"20200822","success"
"261","Spain","ESP","ESP.2_1","ESP","Aragón",893,0.003584,0.002893,"20200823","success"
"262","Spain","ESP","ESP.2_1","ESP","Aragón",898,0.003538,0.002724,"20200824","success"
"263","Spain","ESP","ESP.2_1","ESP","Aragón",913,0.00335,0.002579,"20200825","success"
"264","Spain","ESP","ESP.2_1","ESP","Aragón",945,0.003492,0.00244,"20200826","success"
"265","Spain","ESP","ESP.2_1","ESP","Aragón",931,0.003108,0.00231,"20200827","success"
"266","Spain","ESP","ESP.2_1","ESP","Aragón",922,0.001367,0.001569,"20200828","success"
"267","Spain","ESP","ESP.2_1","ESP","Aragón",922,0.00285,0.002249,"20200829","success"
"268","Spain","ESP","ESP.2_1","ESP","Aragón",907,0.002413,0.002069,"20200830","success"
"269","Spain","ESP","ESP.2_1","ESP","Aragón",859,0.002275,0.00207,"20200831","success"
"270","Spain","ESP","ESP.2_1","ESP","Aragón",834,0.002369,0.002155,"20200901","success"
"271","Spain","ESP","ESP.2_1","ESP","Aragón",793,0.001776,0.00193,"20200902","success"
"272","Spain","ESP","ESP.2_1","ESP","Aragón",774,0.003351,0.002654,"20200903","success"
"273","Spain","ESP","ESP.2_1","ESP","Aragón",752,0.003561,0.00282,"20200904","success"
"274","Spain","ESP","ESP.2_1","ESP","Aragón",732,0.001644,0.001902,"20200905","success"
"275","Spain","ESP","ESP.2_1","ESP","Aragón",710,0.003101,0.002587,"20200906","success"
"276","Spain","ESP","ESP.2_1","ESP","Aragón",723,0.003043,0.002539,"20200907","success"
"277","Spain","ESP","ESP.2_1","ESP","Aragón",719,0.00301,0.002511,"20200908","success"
"278","Spain","ESP","ESP.2_1","ESP","Aragón",707,0.004046,0.002892,"20200909","success"
"279","Spain","ESP","ESP.2_1","ESP","Aragón",718,0.005002,0.003169,"20200910","success"
"280","Spain","ESP","ESP.2_1","ESP","Aragón",709,0.007329,0.003795,"20200911","success"
"281","Spain","ESP","ESP.2_1","ESP","Aragón",694,0.009324,0.004357,"20200912","success"
