"","fecha","cod_ine","ccaa","cases","deaths","cum_cases","cum_deaths","date"
"90","2020/04/29",1,"Andalucía",162,9,15654,1278,2020-04-29
"91","2020/04/30",1,"Andalucía",119,6,15773,1284,2020-04-30
"92","2020/05/01",1,"Andalucía",100,6,15873,1290,2020-05-01
"93","2020/05/02",1,"Andalucía",95,8,15968,1298,2020-05-02
"94","2020/05/03",1,"Andalucía",27,8,15995,1306,2020-05-03
"95","2020/05/04",1,"Andalucía",49,12,16044,1318,2020-05-04
"96","2020/05/05",1,"Andalucía",73,9,16117,1327,2020-05-05
"97","2020/05/06",1,"Andalucía",25,5,16142,1332,2020-05-06
"98","2020/05/07",1,"Andalucía",25,7,16167,1339,2020-05-07
"99","2020/05/08",1,"Andalucía",16,2,16183,1341,2020-05-08
"100","2020/05/09",1,"Andalucía",10,7,16193,1348,2020-05-09
"101","2020/05/10",1,"Andalucía",5,4,16198,1352,2020-05-10
"102","2020/05/11",1,"Andalucía",21,5,16219,1357,2020-05-11
"103","2020/05/12",1,"Andalucía",22,3,16241,1360,2020-05-12
"104","2020/05/13",1,"Andalucía",15,7,16256,1367,2020-05-13
"105","2020/05/14",1,"Andalucía",16,8,16272,1375,2020-05-14
"106","2020/05/15",1,"Andalucía",18,4,16290,1379,2020-05-15
"107","2020/05/16",1,"Andalucía",10,3,16300,1382,2020-05-16
"108","2020/05/17",1,"Andalucía",6,2,16306,1384,2020-05-17
"109","2020/05/18",1,"Andalucía",11,4,16317,1388,2020-05-18
"110","2020/05/19",1,"Andalucía",11,2,16328,1390,2020-05-19
"111","2020/05/20",1,"Andalucía",13,0,16341,1390,2020-05-20
"112","2020/05/21",1,"Andalucía",9,3,16350,1393,2020-05-21
"113","2020/05/22",1,"Andalucía",6,6,16356,1399,2020-05-22
"114","2020/05/23",1,"Andalucía",7,2,16363,1401,2020-05-23
"115","2020/05/24",1,"Andalucía",3,4,16366,1405,2020-05-24
"116","2020/05/25",1,"Andalucía",8,3,16374,1408,2020-05-25
"117","2020/05/26",1,"Andalucía",8,3,16382,1411,2020-05-26
"118","2020/05/27",1,"Andalucía",11,0,16393,1411,2020-05-27
"119","2020/05/28",1,"Andalucía",7,2,16400,1413,2020-05-28
"120","2020/05/29",1,"Andalucía",13,0,16413,1413,2020-05-29
"121","2020/05/30",1,"Andalucía",13,2,16426,1415,2020-05-30
"122","2020/05/31",1,"Andalucía",9,0,16435,1415,2020-05-31
"123","2020/06/01",1,"Andalucía",18,0,16453,1415,2020-06-01
"124","2020/06/02",1,"Andalucía",5,0,16458,1415,2020-06-02
"125","2020/06/03",1,"Andalucía",15,1,16473,1416,2020-06-03
"126","2020/06/04",1,"Andalucía",5,0,16478,1416,2020-06-04
"127","2020/06/05",1,"Andalucía",12,0,16490,1416,2020-06-05
"128","2020/06/06",1,"Andalucía",6,2,16496,1418,2020-06-06
"129","2020/06/07",1,"Andalucía",2,0,16498,1418,2020-06-07
"130","2020/06/08",1,"Andalucía",6,0,16504,1418,2020-06-08
"131","2020/06/09",1,"Andalucía",8,0,16512,1418,2020-06-09
"132","2020/06/10",1,"Andalucía",6,2,16518,1420,2020-06-10
"133","2020/06/11",1,"Andalucía",3,0,16521,1420,2020-06-11
"134","2020/06/12",1,"Andalucía",4,1,16525,1421,2020-06-12
"135","2020/06/13",1,"Andalucía",4,0,16529,1421,2020-06-13
"136","2020/06/14",1,"Andalucía",4,0,16533,1421,2020-06-14
"137","2020/06/15",1,"Andalucía",7,0,16540,1421,2020-06-15
"138","2020/06/16",1,"Andalucía",10,0,16550,1421,2020-06-16
"139","2020/06/17",1,"Andalucía",10,2,16560,1423,2020-06-17
"140","2020/06/18",1,"Andalucía",25,0,16585,1423,2020-06-18
"141","2020/06/19",1,"Andalucía",11,0,16596,1423,2020-06-19
"142","2020/06/20",1,"Andalucía",15,0,16611,1423,2020-06-20
"143","2020/06/21",1,"Andalucía",10,0,16621,1423,2020-06-21
"144","2020/06/22",1,"Andalucía",17,0,16638,1423,2020-06-22
"145","2020/06/23",1,"Andalucía",13,0,16651,1423,2020-06-23
"146","2020/06/24",1,"Andalucía",96,0,16747,1423,2020-06-24
"147","2020/06/25",1,"Andalucía",22,0,16769,1423,2020-06-25
"148","2020/06/26",1,"Andalucía",19,1,16788,1424,2020-06-26
"149","2020/06/27",1,"Andalucía",15,0,16803,1424,2020-06-27
"150","2020/06/28",1,"Andalucía",27,0,16830,1424,2020-06-28
"151","2020/06/29",1,"Andalucía",22,1,16852,1425,2020-06-29
"152","2020/06/30",1,"Andalucía",26,0,16878,1425,2020-06-30
"153","2020/07/01",1,"Andalucía",23,0,16901,1425,2020-07-01
"154","2020/07/02",1,"Andalucía",14,0,16915,1425,2020-07-02
"155","2020/07/03",1,"Andalucía",27,0,16942,1425,2020-07-03
"156","2020/07/04",1,"Andalucía",25,0,16967,1425,2020-07-04
"157","2020/07/05",1,"Andalucía",16,0,16983,1425,2020-07-05
"158","2020/07/06",1,"Andalucía",23,1,17006,1426,2020-07-06
"159","2020/07/07",1,"Andalucía",32,0,17038,1426,2020-07-07
"160","2020/07/08",1,"Andalucía",56,1,17094,1427,2020-07-08
"161","2020/07/09",1,"Andalucía",36,0,17130,1427,2020-07-09
"162","2020/07/10",1,"Andalucía",60,0,17190,1427,2020-07-10
"163","2020/07/11",1,"Andalucía",50,0,17240,1427,2020-07-11
"164","2020/07/12",1,"Andalucía",32,0,17272,1427,2020-07-12
"165","2020/07/13",1,"Andalucía",48,0,17320,1427,2020-07-13
"166","2020/07/14",1,"Andalucía",95,1,17415,1428,2020-07-14
"167","2020/07/15",1,"Andalucía",64,0,17479,1428,2020-07-15
"168","2020/07/16",1,"Andalucía",75,0,17554,1428,2020-07-16
"169","2020/07/17",1,"Andalucía",97,0,17651,1428,2020-07-17
"170","2020/07/18",1,"Andalucía",86,0,17737,1428,2020-07-18
"171","2020/07/19",1,"Andalucía",114,0,17851,1428,2020-07-19
"172","2020/07/20",1,"Andalucía",121,0,17972,1428,2020-07-20
"173","2020/07/21",1,"Andalucía",74,0,18046,1428,2020-07-21
"174","2020/07/22",1,"Andalucía",78,0,18124,1428,2020-07-22
"175","2020/07/23",1,"Andalucía",125,0,18249,1428,2020-07-23
"176","2020/07/24",1,"Andalucía",128,1,18377,1429,2020-07-24
"177","2020/07/25",1,"Andalucía",110,1,18487,1430,2020-07-25
"178","2020/07/26",1,"Andalucía",104,0,18591,1430,2020-07-26
"179","2020/07/27",1,"Andalucía",143,0,18734,1430,2020-07-27
"180","2020/07/28",1,"Andalucía",148,0,18882,1430,2020-07-28
"181","2020/07/29",1,"Andalucía",151,0,19033,1430,2020-07-29
"182","2020/07/30",1,"Andalucía",206,0,19239,1430,2020-07-30
"183","2020/07/31",1,"Andalucía",259,0,19498,1430,2020-07-31
"184","2020/08/01",1,"Andalucía",248,0,19746,1430,2020-08-01
"185","2020/08/02",1,"Andalucía",213,1,19959,1431,2020-08-02
"186","2020/08/03",1,"Andalucía",288,1,20247,1432,2020-08-03
"187","2020/08/04",1,"Andalucía",283,0,20530,1432,2020-08-04
"188","2020/08/05",1,"Andalucía",362,1,20892,1433,2020-08-05
"189","2020/08/06",1,"Andalucía",370,2,21262,1435,2020-08-06
"190","2020/08/07",1,"Andalucía",457,1,21719,1436,2020-08-07
"191","2020/08/08",1,"Andalucía",374,2,22093,1438,2020-08-08
"192","2020/08/09",1,"Andalucía",324,0,22417,1438,2020-08-09
"193","2020/08/10",1,"Andalucía",456,0,22873,1438,2020-08-10
"194","2020/08/11",1,"Andalucía",504,1,23377,1439,2020-08-11
"195","2020/08/12",1,"Andalucía",579,1,23956,1440,2020-08-12
"196","2020/08/13",1,"Andalucía",621,1,24577,1441,2020-08-13
"197","2020/08/14",1,"Andalucía",708,0,25285,1441,2020-08-14
"198","2020/08/15",1,"Andalucía",625,4,25910,1445,2020-08-15
"199","2020/08/16",1,"Andalucía",577,2,26487,1447,2020-08-16
"200","2020/08/17",1,"Andalucía",725,3,27212,1450,2020-08-17
"201","2020/08/18",1,"Andalucía",796,2,28008,1452,2020-08-18
"202","2020/08/19",1,"Andalucía",721,2,28729,1454,2020-08-19
"203","2020/08/20",1,"Andalucía",814,1,29543,1455,2020-08-20
"204","2020/08/21",1,"Andalucía",870,1,30413,1456,2020-08-21
"205","2020/08/22",1,"Andalucía",807,2,31220,1458,2020-08-22
"206","2020/08/23",1,"Andalucía",740,5,31960,1463,2020-08-23
"207","2020/08/24",1,"Andalucía",842,6,32802,1469,2020-08-24
"208","2020/08/25",1,"Andalucía",861,1,33663,1470,2020-08-25
"209","2020/08/26",1,"Andalucía",1008,4,34671,1474,2020-08-26
"210","2020/08/27",1,"Andalucía",984,3,35655,1477,2020-08-27
"211","2020/08/28",1,"Andalucía",983,4,36638,1481,2020-08-28
"212","2020/08/29",1,"Andalucía",886,3,37524,1484,2020-08-29
"213","2020/08/30",1,"Andalucía",777,6,38301,1490,2020-08-30
"214","2020/08/31",1,"Andalucía",948,7,39249,1497,2020-08-31
"215","2020/09/01",1,"Andalucía",1087,5,40336,1502,2020-09-01
"216","2020/09/02",1,"Andalucía",957,11,41293,1513,2020-09-02
"217","2020/09/03",1,"Andalucía",892,3,42185,1516,2020-09-03
"218","2020/09/04",1,"Andalucía",1146,7,43331,1523,2020-09-04
"219","2020/09/05",1,"Andalucía",930,10,44261,1533,2020-09-05
"220","2020/09/06",1,"Andalucía",842,9,45103,1542,2020-09-06
"221","2020/09/07",1,"Andalucía",814,5,45917,1547,2020-09-07
"222","2020/09/08",1,"Andalucía",991,7,46908,1554,2020-09-08
"223","2020/09/09",1,"Andalucía",1100,16,48008,1570,2020-09-09
"224","2020/09/10",1,"Andalucía",1107,10,49115,1580,2020-09-10
"225","2020/09/11",1,"Andalucía",1244,10,50359,1590,2020-09-11
"226","2020/09/12",1,"Andalucía",888,10,51247,1600,2020-09-12
"227","2020/09/13",1,"Andalucía",737,12,51984,1612,2020-09-13
"228","2020/09/14",1,"Andalucía",809,15,52793,1627,2020-09-14
"229","2020/09/15",1,"Andalucía",941,13,53734,1640,2020-09-15
"230","2020/09/16",1,"Andalucía",1119,10,54853,1650,2020-09-16
"231","2020/09/17",1,"Andalucía",1016,8,55869,1658,2020-09-17
"232","2020/09/18",1,"Andalucía",1243,4,57112,1662,2020-09-18
"233","2020/09/19",1,"Andalucía",913,7,58025,1669,2020-09-19
"234","2020/09/20",1,"Andalucía",662,9,58687,1678,2020-09-20
"235","2020/09/21",1,"Andalucía",834,9,59521,1687,2020-09-21
"236","2020/09/22",1,"Andalucía",1062,10,60583,1697,2020-09-22
"237","2020/09/23",1,"Andalucía",1008,6,61591,1703,2020-09-23
"238","2020/09/24",1,"Andalucía",693,3,62284,1706,2020-09-24
"239","2020/09/25",1,"Andalucía",588,0,62872,1706,2020-09-25
"240","2020/09/26",1,"Andalucía",467,0,63339,1706,2020-09-26
"241","2020/09/27",1,"Andalucía",164,0,63503,1706,2020-09-27
"242","2020/09/28",1,"Andalucía",0,0,63503,1706,2020-09-28
"243","2020/09/29",1,"Andalucía",0,0,63503,1706,2020-09-29
