"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","fatalities_p_w_country_only","stillsick_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","fatalities_p_w_country_rhs","stillsick_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","fatalities_p_w_country","stillsick_p_w_country","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","fatalities_p_w_provs","fatalities_p_m_provs","stillsick_p_w_provs","stillsick_p_m_provs","sumreach_provs","n_obs_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","fatalities_p_w_regs_only","fatalities_p_m_regs_only","stillsick_p_w_regs_only","stillsick_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","fatalities_p_w_regs_rhs","fatalities_p_m_regs_rhs","stillsick_p_w_regs_rhs","stillsick_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","fatalities_p_w_regs","fatalities_p_m_regs","stillsick_p_w_regs","stillsick_p_m_regs"
"ES",2020-09-30,47026208,0.0482180293501048,0,0.00234192037470726,0,477,6,0.0518205231951697,790,0.00840090117306247,0.00443113953574788,0.00667094696295288,790,0.0504642567673118,0.00523813096031519,0.00364459056983125,0.00415946969276462,"ESAR","ESZ",964693,0.0388349514563107,0.0432170542635659,0,0,0,0,0,0,103,2,1319291,0,0,0,0,0,0,0,0,0,0,0.0283969236697914,0.0316012083222596,0,0,0,0,0,0,103,103,0.0283969236697914,0.0316012083222596,0,0,0,0,0,0
"ES",2020-09-30,47026208,0.0482180293501048,0,0.00234192037470726,0,477,6,0.0518205231951697,790,0.00840090117306247,0.00443113953574788,0.00667094696295288,790,0.0504642567673118,0.00523813096031519,0.00364459056983125,0.00415946969276462,"ESAS","ESO",1022800,0.04375,0.0813333333333333,0,0,0,0,0.00625,0.0133333333333333,160,5,1022800,0,0,0,0,0,0,0,0,0,0,0.04375,0.0813333333333333,0,0,0,0,0.00625,0.0133333333333333,160,160,0.04375,0.0813333333333333,0,0,0,0,0.00625,0.0133333333333333
"ES",2020-09-30,47026208,0.0482180293501048,0,0.00234192037470726,0,477,6,0.0518205231951697,790,0.00840090117306247,0.00443113953574788,0.00667094696295288,790,0.0504642567673118,0.00523813096031519,0.00364459056983125,0.00415946969276462,"ESCB","ESS",581078,0.04,0.04,0,0,0,0,0,0,50,1,581078,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0,0,0,0,50,50,0.04,0.04,0,0,0,0,0,0
"ES",2020-09-30,47026208,0.0482180293501048,0,0.00234192037470726,0,477,6,0.0518205231951697,790,0.00840090117306247,0.00443113953574788,0.00667094696295288,790,0.0504642567673118,0.00523813096031519,0.00364459056983125,0.00415946969276462,"ESCE","ESCE",84777,0,0,0,0,0,0,0,0,0,0,84777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"ES",2020-09-30,47026208,0.0482180293501048,0,0.00234192037470726,0,477,6,0.0518205231951697,790,0.00840090117306247,0.00443113953574788,0.00667094696295288,790,0.0504642567673118,0.00523813096031519,0.00364459056983125,0.00415946969276462,"ESCL","ESAV",157640,0.133333333333333,0.133333333333333,0.133333333333333,0.133333333333333,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0666666666666667,15,1,2399548,0.0707317073170732,0.0817592592592593,0.0121951219512195,0.0160185185185185,0,0,0.0146341463414634,0.0176851851851852,410,6,0.0441254177742366,0.0512292774391474,0.0127728647158169,0.0164954310045852,0.00472647484584733,0.00480946633838262,0.00791894716343033,0.00821079376695309,1426,1426,0.0500669094477458,0.058046974904423,0.0126438480853785,0.0163889309396139,0.00367099843691628,0.00373545697087887,0.00941852867922204,0.0103265347699352
"ES",2020-09-30,47026208,0.0482180293501048,0,0.00234192037470726,0,477,6,0.0518205231951697,790,0.00840090117306247,0.00443113953574788,0.00667094696295288,790,0.0504642567673118,0.00523813096031519,0.00364459056983125,0.00415946969276462,"ESCL","ESLE",460001,0.0538461538461538,0.0583333333333333,0.0153846153846154,0.0333333333333333,0,0,0,0,130,2,2399548,0.0707317073170732,0.0817592592592593,0.0121951219512195,0.0160185185185185,0,0,0.0146341463414634,0.0176851851851852,410,6,0.0441254177742366,0.0512292774391474,0.0127728647158169,0.0164954310045852,0.00472647484584733,0.00480946633838262,0.00791894716343033,0.00821079376695309,1426,1426,0.0500669094477458,0.058046974904423,0.0126438480853785,0.0163889309396139,0.00367099843691628,0.00373545697087887,0.00941852867922204,0.0103265347699352
"ES",2020-09-30,47026208,0.0482180293501048,0,0.00234192037470726,0,477,6,0.0518205231951697,790,0.00840090117306247,0.00443113953574788,0.00667094696295288,790,0.0504642567673118,0.00523813096031519,0.00364459056983125,0.00415946969276462,"ESCL","ESP",160980,0,0,0,0,0,0,0,0,0,0,2399548,0.0707317073170732,0.0817592592592593,0.0121951219512195,0.0160185185185185,0,0,0.0146341463414634,0.0176851851851852,410,6,0.0441254177742366,0.0512292774391474,0.0127728647158169,0.0164954310045852,0.00472647484584733,0.00480946633838262,0.00791894716343033,0.00821079376695309,1426,1426,0.0500669094477458,0.058046974904423,0.0126438480853785,0.0163889309396139,0.00367099843691628,0.00373545697087887,0.00941852867922204,0.0103265347699352
"ES",2020-09-30,47026208,0.0482180293501048,0,0.00234192037470726,0,477,6,0.0518205231951697,790,0.00840090117306247,0.00443113953574788,0.00667094696295288,790,0.0504642567673118,0.00523813096031519,0.00364459056983125,0.00415946969276462,"ESCL","ESSG",153129,0,0,0,0,0,0,0,0,0,0,2399548,0.0707317073170732,0.0817592592592593,0.0121951219512195,0.0160185185185185,0,0,0.0146341463414634,0.0176851851851852,410,6,0.0441254177742366,0.0512292774391474,0.0127728647158169,0.0164954310045852,0.00472647484584733,0.00480946633838262,0.00791894716343033,0.00821079376695309,1426,1426,0.0500669094477458,0.058046974904423,0.0126438480853785,0.0163889309396139,0.00367099843691628,0.00373545697087887,0.00941852867922204,0.0103265347699352
"ES",2020-09-30,47026208,0.0482180293501048,0,0.00234192037470726,0,477,6,0.0518205231951697,790,0.00840090117306247,0.00443113953574788,0.00667094696295288,790,0.0504642567673118,0.00523813096031519,0.00364459056983125,0.00415946969276462,"ESCL","ESSA",330119,0,0,0,0,0,0,0,0,25,1,2399548,0.0707317073170732,0.0817592592592593,0.0121951219512195,0.0160185185185185,0,0,0.0146341463414634,0.0176851851851852,410,6,0.0441254177742366,0.0512292774391474,0.0127728647158169,0.0164954310045852,0.00472647484584733,0.00480946633838262,0.00791894716343033,0.00821079376695309,1426,1426,0.0500669094477458,0.058046974904423,0.0126438480853785,0.0163889309396139,0.00367099843691628,0.00373545697087887,0.00941852867922204,0.0103265347699352
"ES",2020-09-30,47026208,0.0482180293501048,0,0.00234192037470726,0,477,6,0.0518205231951697,790,0.00840090117306247,0.00443113953574788,0.00667094696295288,790,0.0504642567673118,0.00523813096031519,0.00364459056983125,0.00415946969276462,"ESCL","ESZA",172539,0,0,0,0,0,0,0,0,0,0,2399548,0.0707317073170732,0.0817592592592593,0.0121951219512195,0.0160185185185185,0,0,0.0146341463414634,0.0176851851851852,410,6,0.0441254177742366,0.0512292774391474,0.0127728647158169,0.0164954310045852,0.00472647484584733,0.00480946633838262,0.00791894716343033,0.00821079376695309,1426,1426,0.0500669094477458,0.058046974904423,0.0126438480853785,0.0163889309396139,0.00367099843691628,0.00373545697087887,0.00941852867922204,0.0103265347699352
