"","country","penalty","rmcorcols","smooth","smoothbasisdim","use_umd","use_ccfr","use_nsum","mnlag","lag","saeForeMedian","saeForeHighNotch","saeSyncMedian","saeSyncHighNotch"
"28","EC",FALSE,TRUE,FALSE,NA,TRUE,FALSE,0,14,7,0.960490133106207,1.43538835811228,NA,2.33207918916704
"29","EC",TRUE,FALSE,FALSE,NA,TRUE,FALSE,0,7,7,0.935763622927574,1.21094570364858,NA,2.22899185789781
"30","EC",TRUE,FALSE,FALSE,NA,TRUE,FALSE,0,14,7,0.945741472890435,1.26858961270753,NA,2.06371409082815
"31","EC",TRUE,TRUE,FALSE,NA,TRUE,FALSE,0,7,7,0.948607913144841,1.20682454224427,NA,1.89597951247303
"32","EC",TRUE,TRUE,FALSE,NA,TRUE,FALSE,0,14,7,1.00122036465826,1.29669933746044,NA,1.91231509703325
"33","PT",FALSE,FALSE,FALSE,NA,TRUE,FALSE,0,7,7,1.24577384757969,1.45287133835907,NA,0.928608106268839
"34","PT",FALSE,FALSE,FALSE,NA,TRUE,FALSE,0,14,7,1.30798778684056,1.46618326721874,NA,0.997917026786374
"35","PT",FALSE,FALSE,FALSE,NA,TRUE,TRUE,0,7,7,1.09952126565921,1.3865277203503,NA,1.42000123349499
"36","PT",FALSE,FALSE,FALSE,NA,TRUE,TRUE,0,14,7,1.40579532768707,1.62569494684619,NA,1.01202867847312
"37","PT",FALSE,FALSE,TRUE,15,TRUE,FALSE,0,7,7,141583450.396828,1.31790520734824e+23,NA,NA
"38","PT",FALSE,FALSE,TRUE,15,TRUE,FALSE,0,14,7,7.63030410131218,9.58781543163556,NA,NA
"39","PT",FALSE,FALSE,TRUE,15,TRUE,TRUE,0,7,7,9.08190789290995e+88,Inf,NA,NA
"40","PT",FALSE,FALSE,TRUE,15,TRUE,TRUE,0,14,7,7.1996830427902,7.1996830427902,NA,NA
"41","PT",FALSE,TRUE,FALSE,NA,TRUE,FALSE,0,7,7,1.27408441001695,1.48666144865934,NA,0.883268633357684
"42","PT",FALSE,TRUE,FALSE,NA,TRUE,FALSE,0,14,7,1.29332872959283,1.4724277251598,NA,0.914251085736062
"43","PT",FALSE,TRUE,FALSE,NA,TRUE,TRUE,0,7,7,1.01293219157162,1.33800536518147,NA,1.38528853008931
"44","PT",FALSE,TRUE,FALSE,NA,TRUE,TRUE,0,14,7,1.36966437890936,1.54294077175388,NA,1.01775635751344
"45","PT",FALSE,TRUE,TRUE,15,TRUE,FALSE,0,7,7,1.54767513547936,2.00513196433832,NA,3.85732317711271
"46","PT",FALSE,TRUE,TRUE,15,TRUE,FALSE,0,14,7,1.59823403749251,2.1045473127451,NA,2.75489331798283
"47","PT",FALSE,TRUE,TRUE,15,TRUE,TRUE,0,7,7,2.0611352068958,2.77287631967048,NA,3.14181216935448
"48","PT",FALSE,TRUE,TRUE,15,TRUE,TRUE,0,14,7,1.69344067082914,2.6846415415502,NA,4.91497293291163
"49","PT",TRUE,FALSE,FALSE,NA,TRUE,FALSE,0,7,7,1.28788055113595,1.46518432032316,NA,1.09879876326602
"50","PT",TRUE,FALSE,FALSE,NA,TRUE,FALSE,0,14,7,1.29386222490605,1.45090036754237,NA,0.918442122565232
"51","PT",TRUE,FALSE,FALSE,NA,TRUE,TRUE,0,7,7,1.01013269672882,1.2928572582434,NA,1.56944172440872
"52","PT",TRUE,FALSE,FALSE,NA,TRUE,TRUE,0,14,7,1.45919138787667,1.66649900564602,NA,0.963141512926402
"53","PT",TRUE,FALSE,TRUE,15,TRUE,FALSE,0,7,7,0.852528644084575,0.97586301461134,NA,1.102699296563
"54","PT",TRUE,FALSE,TRUE,15,TRUE,FALSE,0,14,7,0.753901863148806,0.883254829932473,NA,1.25683811804143
"55","PT",TRUE,FALSE,TRUE,15,TRUE,TRUE,0,7,7,0.953884091813288,1.05933439092508,NA,1.16401049360957
"56","PT",TRUE,FALSE,TRUE,15,TRUE,TRUE,0,14,7,0.843712265127748,1.00227432583909,NA,1.03710102437057
"57","PT",TRUE,TRUE,FALSE,NA,TRUE,FALSE,0,7,7,1.28650700647646,1.45055507269933,NA,0.966310848049848
"58","PT",TRUE,TRUE,FALSE,NA,TRUE,FALSE,0,14,7,1.34497640890176,1.49655760191868,NA,0.945541476906309
"59","PT",TRUE,TRUE,FALSE,NA,TRUE,TRUE,0,7,7,0.998493393747014,1.28015668816603,NA,1.84001539921194
"60","PT",TRUE,TRUE,FALSE,NA,TRUE,TRUE,0,14,7,1.41934912935376,1.63373283188164,NA,1.12662175856333
"61","PT",TRUE,TRUE,TRUE,15,TRUE,FALSE,0,7,7,1.14877432830549,1.43827299613582,NA,1.72713296453582
"62","PT",TRUE,TRUE,TRUE,15,TRUE,FALSE,0,14,7,1.08066386941768,1.25757578094136,NA,1.13938232903456
"63","PT",TRUE,TRUE,TRUE,15,TRUE,TRUE,0,7,7,1.21536418536694,1.51081200227561,NA,2.02930551707078
"64","PT",TRUE,TRUE,TRUE,15,TRUE,TRUE,0,14,7,1.05049362252195,1.25823842959763,NA,1.27709038475538
"65","ES",FALSE,FALSE,FALSE,NA,TRUE,FALSE,0,7,7,0.855906647932968,1.08286125632981,NA,1.12596409954323
"66","ES",FALSE,FALSE,FALSE,NA,TRUE,FALSE,0,14,7,0.703041767165336,0.917413501514805,NA,1.2008088635073
"67","ES",FALSE,TRUE,FALSE,NA,TRUE,FALSE,0,7,7,1.01355690507055,1.21685765433149,NA,1.10282074523142
"68","ES",FALSE,TRUE,FALSE,NA,TRUE,FALSE,0,14,7,0.971055047647284,1.2103748459252,NA,1.25307525330894
"69","ES",TRUE,FALSE,FALSE,NA,TRUE,FALSE,0,7,7,0.96932981130702,1.19464815205607,NA,0.998994142694603
"70","ES",TRUE,FALSE,FALSE,NA,TRUE,FALSE,0,14,7,0.974254271873332,1.20934503742016,NA,1.06692782355755
"71","ES",TRUE,TRUE,FALSE,NA,TRUE,FALSE,0,7,7,1.0961309737142,1.35669507458473,NA,1.05899339097718
"72","ES",TRUE,TRUE,FALSE,NA,TRUE,FALSE,0,14,7,1.15288947387581,1.42026494822233,NA,1.09697139365774
"73","CL",FALSE,FALSE,FALSE,NA,TRUE,FALSE,0,7,7,1.20554091669973,1.57880542107197,NA,2.29845207075372
"74","CL",FALSE,FALSE,FALSE,NA,TRUE,FALSE,0,14,7,1.20167230138606,1.77743978397905,NA,2.27103459801846
"75","CL",FALSE,TRUE,FALSE,NA,TRUE,FALSE,0,7,7,1.19539736090794,1.54993079575185,NA,2.30839876600723
"76","CL",FALSE,TRUE,FALSE,NA,TRUE,FALSE,0,14,7,1.11006679077662,1.38557106165639,NA,2.47385526142228
"77","CL",TRUE,FALSE,FALSE,NA,TRUE,FALSE,0,7,7,1.00621047924503,1.20101401194537,NA,1.6736812155567
"78","CL",TRUE,FALSE,FALSE,NA,TRUE,FALSE,0,14,7,1.01034492156636,1.21308497604305,NA,1.8712143420587
"79","CL",TRUE,TRUE,FALSE,NA,TRUE,FALSE,0,7,7,0.991730010971475,1.20231819833833,NA,1.89737243563627
"80","CL",TRUE,TRUE,FALSE,NA,TRUE,FALSE,0,14,7,1.00683286837984,1.21528752289601,NA,1.93243825866089
"81","FR",FALSE,FALSE,FALSE,NA,TRUE,FALSE,0,7,7,1.50351728599823,1.95794205623717,NA,3.54620745654616
"82","FR",FALSE,FALSE,FALSE,NA,TRUE,FALSE,0,14,7,1.38548165220822,1.57523492632473,NA,1.65148423322935
"83","FR",FALSE,TRUE,FALSE,NA,TRUE,FALSE,0,7,7,1.44321997040122,1.72585949198285,NA,1.76867312236629
"84","FR",FALSE,TRUE,FALSE,NA,TRUE,FALSE,0,14,7,1.46244392622852,1.79355889950701,NA,2.12507337020314
"85","FR",TRUE,FALSE,FALSE,NA,TRUE,FALSE,0,7,7,1.61547667773963,1.83845655830617,NA,1.2909778253619
"86","FR",TRUE,FALSE,FALSE,NA,TRUE,FALSE,0,14,7,1.64694328539008,1.92766559921462,NA,1.40192694852267
"87","FR",TRUE,TRUE,FALSE,NA,TRUE,FALSE,0,7,7,1.66788093767845,1.97304830135918,NA,1.29067463749164
"88","FR",TRUE,TRUE,FALSE,NA,TRUE,FALSE,0,14,7,1.67789813700697,1.99591784317908,NA,1.72320590322592
