"date","total_responses","pct_cli","pct_ili","pct_fever","pct_cough","pct_difficulty_breathing","pct_fatigue","pct_stuffy_runny_nose","pct_aches_muscle_pain","pct_sore_throat","pct_chest_pain","pct_nausea","pct_anosmia_ageusia","pct_eye_pain","pct_headache","pct_cmnty_sick","pct_ever_tested","pct_tested_recently","pct_worked_outside_home","pct_grocery_outside_home","pct_ate_outside_home","pct_spent_time_with_non_hh","pct_attended_public_event","pct_used_public_transit","pct_direct_contact_with_non_hh","pct_wear_mask_all_time","pct_wear_mask_most_time","pct_wear_mask_half_time","pct_wear_mask_some_time","pct_wear_mask_none_time","pct_no_public","pct_feel_nervous_all_time","pct_feel_nervous_most_time","pct_feel_nervous_some_time","pct_feel_nervous_little_time","pct_feel_nervous_none_time","pct_feel_depressed_all_time","pct_feel_depressed_most_time","pct_feel_depressed_some_time","pct_feel_depressed_little_time","pct_feel_depressed_none_time","pct_worried_ill_covid19_very","pct_worried_ill_covid19_somewhat","pct_worried_ill_covid19_notTooWorried","pct_worried_ill_covid19_notWorried","pct_enough_toEat_very_worried","pct_enough_toEat_somewhat_worried","pct_enough_toEat_notToo_worried","pct_enough_toEat_not_worried","pct_chills","pct_finances_very_worried","pct_finances_somewhat_worried","pct_finances_notToo_worried","pct_finances_not_worried","pct_cli_past_smooth","pct_ili_past_smooth","pct_fever_past_smooth","pct_cough_past_smooth","pct_difficulty_breathing_past_smooth","pct_fatigue_past_smooth","pct_stuffy_runny_nose_past_smooth","pct_aches_muscle_pain_past_smooth","pct_sore_throat_past_smooth","pct_chest_pain_past_smooth","pct_nausea_past_smooth","pct_anosmia_ageusia_past_smooth","pct_eye_pain_past_smooth","pct_headache_past_smooth","pct_cmnty_sick_past_smooth","pct_ever_tested_past_smooth","pct_worked_outside_home_past_smooth","pct_grocery_outside_home_past_smooth","pct_ate_outside_home_past_smooth","pct_spent_time_with_non_hh_past_smooth","pct_attended_public_event_past_smooth","pct_used_public_transit_past_smooth","pct_direct_contact_with_non_hh_past_smooth","pct_wear_mask_all_time_past_smooth","pct_wear_mask_most_time_past_smooth","pct_wear_mask_half_time_past_smooth","pct_wear_mask_some_time_past_smooth","pct_wear_mask_none_time_past_smooth","pct_no_public_past_smooth","pct_feel_nervous_all_time_past_smooth","pct_feel_nervous_most_time_past_smooth","pct_feel_nervous_some_time_past_smooth","pct_feel_nervous_little_time_past_smooth","pct_feel_nervous_none_time_past_smooth","pct_feel_depressed_all_time_past_smooth","pct_feel_depressed_most_time_past_smooth","pct_feel_depressed_some_time_past_smooth","pct_feel_depressed_little_time_past_smooth","pct_feel_depressed_none_time_past_smooth","pct_worried_ill_covid19_very_past_smooth","pct_worried_ill_covid19_somewhat_past_smooth","pct_worried_ill_covid19_notTooWorried_past_smooth","pct_worried_ill_covid19_notWorried_past_smooth","pct_enough_toEat_very_worried_past_smooth","pct_enough_toEat_somewhat_worried_past_smooth","pct_enough_toEat_notToo_worried_past_smooth","pct_enough_toEat_not_worried_past_smooth","pct_chills_past_smooth","pct_finances_very_worried_past_smooth","pct_finances_somewhat_worried_past_smooth","pct_finances_notToo_worried_past_smooth","pct_finances_not_worried_past_smooth","population"
2020-05-17,107,0.98,0,1.96,4.9,1.96,17.48,12.62,5.88,3.96,4.85,0.99,4.9,2.91,15.53,15.53,5.77,0,42.27,47.47,17.35,42.86,17.53,28.57,38.38,46.73,18.69,9.35,3.74,4.67,8.41,3.23,8.6,4.3,20.43,63.44,6.45,8.6,3.23,19.35,62.37,39.25,26.17,12.15,9.35,48.6,16.82,12.15,10.28,2.94,NA,NA,NA,NA,0.98,0,1.96,4.9,1.96,17.48,12.62,5.88,3.96,4.85,0.99,4.9,2.91,15.53,15.53,5.77,42.27,47.47,17.35,42.86,17.53,28.57,38.38,46.73,18.69,9.35,3.74,4.67,8.41,3.23,8.6,4.3,20.43,63.44,6.45,8.6,3.23,19.35,62.37,39.25,26.17,12.15,9.35,48.6,16.82,12.15,10.28,2.94,NA,NA,NA,NA,11263079
2020-05-18,119,5.13,5.13,11.11,12.93,3.51,31.03,11.4,9.65,7.83,4.39,4.39,8.7,12.17,20,19.49,6.14,0,39.64,50,21.62,49.55,10.09,34.23,44.64,38.66,26.05,8.4,3.36,4.2,10.08,2.91,7.77,9.71,16.5,63.11,3.88,6.8,8.74,17.48,63.11,45.38,27.73,8.4,5.04,38.66,26.05,12.61,10.08,2.63,NA,NA,NA,NA,5.13,5.13,11.11,12.93,3.51,31.03,11.4,9.65,7.83,4.39,4.39,8.7,12.17,20,19.49,6.14,39.64,50,21.62,49.55,10.09,34.23,44.64,38.66,26.05,8.4,3.36,4.2,10.08,2.91,7.77,9.71,16.5,63.11,3.88,6.8,8.74,17.48,63.11,45.38,27.73,8.4,5.04,38.66,26.05,12.61,10.08,2.63,NA,NA,NA,NA,11263079
2020-05-19,111,3.74,3.74,10.28,10.19,4.67,24.77,12.84,11.01,9.26,11.11,5.61,11.21,11.21,17.27,23.64,4.81,100,41.75,45.19,19,50.96,13.73,33.65,49.51,43.24,20.72,6.31,7.21,7.21,9.91,4.08,7.14,13.27,22.45,53.06,0,6.12,15.31,28.57,50,47.75,21.62,8.11,9.91,36.94,23.42,11.71,17.12,3.74,NA,NA,NA,NA,3.74,3.74,10.28,10.19,4.67,24.77,12.84,11.01,9.26,11.11,5.61,11.21,11.21,17.27,23.64,4.81,41.75,45.19,19,50.96,13.73,33.65,49.51,43.24,20.72,6.31,7.21,7.21,9.91,4.08,7.14,13.27,22.45,53.06,0,6.12,15.31,28.57,50,47.75,21.62,8.11,9.91,36.94,23.42,11.71,17.12,3.74,NA,NA,NA,NA,11263079
2020-05-20,116,4.5,4.5,7.21,10,4.55,23.42,7.27,9.09,6.36,8.18,5.45,7.27,6.36,16.22,24.14,7.08,50,44.44,43.52,8.57,44.04,14.95,24.77,33.63,50.86,15.52,6.03,6.03,4.31,12.07,2.91,9.71,9.71,12.62,65.05,4.81,4.81,9.62,19.23,61.54,50.86,17.24,6.03,14.66,49.14,11.21,11.21,18.97,1.82,NA,NA,NA,NA,4.5,4.5,7.21,10,4.55,23.42,7.27,9.09,6.36,8.18,5.45,7.27,6.36,16.22,24.14,7.08,44.44,43.52,8.57,44.04,14.95,24.77,33.63,50.86,15.52,6.03,6.03,4.31,12.07,2.91,9.71,9.71,12.62,65.05,4.81,4.81,9.62,19.23,61.54,50.86,17.24,6.03,14.66,49.14,11.21,11.21,18.97,1.82,NA,NA,NA,NA,11263079
2020-05-21,75,4.05,4.05,10.81,6.94,0,27.4,9.59,12.33,4.11,1.37,2.74,9.46,1.39,22.97,20.55,5.56,NA,44.44,44.44,13.89,41.67,16.67,27.78,38.03,52,25.33,2.67,1.33,2.67,8,3.12,3.12,9.38,14.06,70.31,1.54,4.62,9.23,20,64.62,44,17.33,12,12,33.33,24,13.33,17.33,4.11,NA,NA,NA,NA,4.05,4.05,10.81,6.94,0,27.4,9.59,12.33,4.11,1.37,2.74,9.46,1.39,22.97,20.55,5.56,44.44,44.44,13.89,41.67,16.67,27.78,38.03,52,25.33,2.67,1.33,2.67,8,3.12,3.12,9.38,14.06,70.31,1.54,4.62,9.23,20,64.62,44,17.33,12,12,33.33,24,13.33,17.33,4.11,NA,NA,NA,NA,11263079
2020-05-22,103,4.08,3.06,9.18,9.18,2.06,26.26,13.27,9.28,8.25,11.34,9.28,6.12,6.19,22.22,31.68,11.34,50,47.87,50,14.13,46.24,15.22,34.74,38.54,52.43,16.5,5.83,2.91,2.91,11.65,2.25,5.62,11.24,28.09,52.81,4.49,5.62,10.11,15.73,64.04,44.66,22.33,5.83,13.59,44.66,18.45,10.68,14.56,5.05,NA,NA,NA,NA,4.59884918871869,4.3524307071756,9.17385603524759,9.41690824122524,1.06944655171042,25.1624555775497,12.2540203139254,9.46854900124399,7.88991636545019,10.7484871541423,7.75561331706791,6.59013494747243,6.84905886370272,21.0091153694681,31.4422586846379,7.99208820709844,47.5708995351377,46.6820694532964,14.2902006046862,45.7883681138193,15.8975255554813,34.7465555232364,40.8810365536962,53.9002512219384,21.5150442395875,4.57550303653257,2.91,2.47408520984406,9.2685781437664,2.24999999999996,6.56863230308045,11.2635217418166,17.8491419943684,61.6072225562313,3.56923522269699,5.6124566600386,10.5699198644612,16.7611932009729,64.7287251108679,44.0637124476362,21.9201846602648,8.20913641250582,13.4425164332073,42.4452204230462,19.2938588640702,11.6089729557998,14.8325198820697,5.05,NA,NA,NA,NA,11263079
2020-05-23,100,4.08,4.08,7.14,10.2,2.08,19.59,13.4,8.33,5.21,5.21,6.19,8.33,11.34,17.53,26,5.1,0,48.98,44.79,15.46,52.58,8.42,22.92,47.42,61,20,4,3,1,6,4.3,8.6,7.53,21.51,58.06,4.3,12.9,8.6,20.43,53.76,53,26,9,4,42,26,12,13,2.08,NA,NA,NA,NA,4.67211936552055,4.5552166720858,7.49490389486797,9.79068821927167,1.98591675211117,24.0137245456835,12.8749995365959,8.04159297124148,5.80772817742685,7.2150308649368,6.28263974946499,7.95406184948219,10.4724917941845,20.5182617056957,27.4489908823619,7.41041447238797,49.151764576686,45.5914774231097,14.5083644244732,48.4051192959784,10.0931610572608,23.3038557190292,42.0723535393899,57.9205763537958,21.3443547607129,4.20832142229907,3,2.16115258978472,8.12863544920549,4.22739819474437,6.73541086180709,10.5970964347614,18.230873235846,61.094888469437,3.68971377701904,6.73839001577708,9.80981145348745,18.889343643696,55.8544329481613,52.5511625630503,26.1904736463688,8.35015519222852,6.78037647307939,42.318541164614,24.9150751593918,11.6773071986341,12.8144891608279,2.08,NA,NA,NA,NA,11263079
2020-05-24,98,4.3,4.3,10.75,17.02,5.32,26.32,22.34,12.77,11.58,9.57,4.3,12.77,8.6,21.28,28.57,4.21,50,38.71,46.24,21.51,54.26,12.9,24.73,39.36,58.16,24.49,4.08,0,2.04,7.14,4.55,5.68,4.55,18.18,67.05,5.68,3.41,10.23,21.59,59.09,52.04,13.27,12.24,12.24,36.73,22.45,16.33,15.31,9.57,NA,NA,NA,NA,4.74451665069986,4.68370269780609,10.7032627099214,14.1236033398681,5.27506226075531,24.4774234858914,19.7651679627313,12.7424787615416,10.7522828753959,7.93966837030846,5.9445872361467,12.6971206258616,9.47326746872205,20.9954330837171,28.9853747894213,6.79561182786507,40.8281828115162,45.8546514069688,15.571016480464,50.2872290680269,11.2527099197107,24.3941701576328,41.4613745654166,60.1724407987197,22.1693314722277,3.97865426465044,0,1.489337822093,7.68418860301398,4.67926807243562,6.41953808337412,8.65966761306883,17.9473472248386,62.5771273460245,4.07779755068649,6.04530644522752,9.92350333130524,21.045167794851,57.5965149968299,52.7723551123041,14.5247868538081,9.15152973270577,10.1884609028688,40.7259859155417,23.6291162070057,13.807343369579,14.7588957642968,9.57,NA,NA,NA,NA,11263079
2020-05-25,120,3.57,4.46,8.93,13.27,1.79,24.56,10.62,6.25,9.65,6.25,0.9,8.85,4.46,20,31.93,5.31,50,51.38,48.62,17.59,49.54,12.96,40,41.82,51.67,18.33,5,1.67,4.17,7.5,1.94,3.88,3.88,20.39,69.9,4.85,6.8,4.85,21.36,62.14,37.5,23.33,12.5,12.5,36.67,15.83,19.17,15,2.68,NA,NA,NA,NA,4.35009585732237,4.7626269338026,10.6439022852886,13.1441743712134,2.46027133975709,24.5154223891657,14.9188572077268,10.379547299147,8.30991011596995,7.71238851879773,2.6072734739572,9.54357500097504,5.37131713264145,21.0896688337396,31.7321790208787,6.62708722127107,47.9893581915248,47.301030879667,15.6412986595875,50.2460573885398,12.5722966079917,40.0857735989556,41.4223808307663,59.880824214023,21.5713166956625,4.04146452888585,1.67,3.68821170963671,7.36218776990085,1.97072859384962,5.90405262707268,6.8848991548812,18.1040186444673,64.4014949477211,4.25193462041104,6.03471806973418,8.21862401135548,21.8266819614833,60.5767884746006,38.4875634192013,20.7451365754744,9.92167367507758,12.1775153064103,39.1610890485209,17.3975357264031,17.5147313139339,15.2388118930639,2.68,NA,NA,NA,NA,11263079
2020-05-26,103,5.94,6.93,8.91,13,7,30.69,11,9.09,4.04,9.18,8,11.11,7,20.79,30.1,6,100,51.58,44.09,20.43,57.45,12.77,30.53,48.45,50.49,18.45,9.71,2.91,0.97,9.71,3.37,5.62,10.11,19.1,61.8,6.82,6.82,9.09,14.77,62.5,40.78,28.16,9.71,7.77,42.72,24.27,8.74,10.68,3.03,NA,NA,NA,NA,5.20735923758297,5.93253336302171,8.76273770316301,13.5540675420077,6.63349116468859,25.7307474260915,14.4163464294915,10.3292941881945,4.94298973811607,8.204339536089,5.68907075825206,10.5224933998851,5.87307163768947,21.3266912521486,31.0995473017434,6.65238927540345,51.3015280817346,45.915993555081,18.8728431439003,51.7090401339034,12.9702986692187,31.0765109772789,42.6047674782752,56.6679251040668,21.0194636168748,7.96936875567358,2.95374619339593,2.0248702017857,7.36445181133402,2.96455933848666,5.70330875472837,7.85065834656473,18.031479553055,64.2996132902631,4.82654089244905,6.03275623732602,8.2577534823531,16.220133809335,62.2993301410413,39.0592171927296,22.1759527408488,10.7130814400262,9.94947350135351,40.4409431699229,22.2056232628829,13.3361538497428,11.3290060909504,3.03,NA,NA,NA,NA,11263079
2020-05-27,103,0.99,0,3.96,6.93,1.98,25.74,10.89,10.89,4,4.95,1.98,3.96,4,26.47,32.04,6,100,58.33,47.42,13.54,53.61,12.37,29.17,42.86,59.22,14.56,5.83,7.77,1.94,2.91,2.17,2.17,6.52,19.57,69.57,3.26,3.26,6.52,18.48,68.48,44.66,29.13,6.8,8.74,36.89,19.42,19.42,13.59,4.95,NA,NA,NA,NA,3.7002648861853,3.75711853772124,5.21032390888267,9.45576534525815,2.14337190208315,25.8334889024822,14.0051277042642,10.6734005376285,3.17695235580971,7.67599137218598,5.03639317709107,5.36754106003019,7.18837344744115,24.9602062160283,31.9651299146822,6.66968547845149,57.6541890261556,46.5790300262563,15.568932684185,52.2453355728187,12.6414196013123,30.2624308895369,42.6285687319306,58.7951734347012,18.6223002626509,5.71854233598614,7.63796010801065,1.86639290023968,6.59244304744128,3.29717902108475,5.00199709666286,7.35185429616015,18.2539978263114,65.6893440786603,4.56581455784745,5.52508574118363,7.57717947860287,17.1135878435802,67.5352453483206,45.0444803721485,24.6306703288056,7.39773763059178,9.65605268804107,39.2355451510662,20.3379533310731,14.5439594469699,12.7312291043155,4.95,NA,NA,NA,NA,11263079
2020-05-28,113,2.73,1.82,10.91,9.09,0.91,27.03,15.32,11.82,4.55,7.27,5.45,15.32,1.82,20.72,18.75,5.41,0,39.25,50,16.82,51.43,14.15,27.1,38.1,58.41,13.27,6.19,1.77,1.77,8.85,1.14,6.82,7.95,15.91,68.18,1.12,5.62,10.11,25.84,57.3,38.05,17.7,10.62,13.27,36.28,20.35,7.96,15.04,7.27,NA,NA,NA,NA,3.28965916227501,2.9321563124329,8.87841567553923,9.23362635538421,0.602112948513754,26.1515472290963,14.5848823402771,11.1538328231043,4.37210705601481,7.72203505883675,5.19766549363544,14.4199264466287,5.21621887307455,22.67683850953,23.1039221336522,6.55992626224342,42.7338153936142,48.3354437353744,15.5377669811982,52.3077826184471,13.8340726366983,29.5419457325607,41.8483254058058,59.6010229946519,16.5605956340051,5.89835938488464,2.48150138191958,1.66074630958858,6.55514862737664,2.95643205525293,5.14355804614866,7.42662974588028,17.5050524602847,66.6005228241159,2.94994569599544,5.40891434753219,8.02709664937639,25.1387074377581,58.2700572717075,42.5439188995826,18.1260948151413,9.49995990049457,10.0810927694277,38.1815922971396,20.2337666501835,13.4664378813182,15.0583322340239,7.27,NA,NA,NA,NA,11263079
