"","yhat","yhat_lower","yhat_upper","trend","trend_lower","trend_upper","countrycode","population","cases","deaths","cases_prev_week","deaths_prev_week","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases","p_cases_contagious","p_cases_active","y","cap","floor","date"
"170",0.457925618247952,0,5.35209390631734,0.457925618247952,0.457925618247952,0.457925618247952,"SK",5450421,40,0,454,2,3356,33,741,939,0.000615732252609477,7.33888262943358e-06,0.000135952800710257,0.000172280269725953,0,150,0,2020-08-24
"171",0.480619870311672,0,5.28473864091193,0.480619870311672,0.480619870311672,0.480619870311672,"SK",5450421,68,0,517,2,3424,33,734,944,0.000628208353079514,1.24761004700371e-05,0.000134668496250106,0.000173197630054632,0,150,0,2020-08-25
"172",0.504435028830975,0,5.41828414554242,0.504435028830975,0.504435028830975,0.504435028830975,"SK",5450421,28,0,530,2,3452,33,713,929,0.000633345570920118,5.13721784060351e-06,0.000130815582869654,0.000170445549068595,0,150,0,2020-08-26
"173",0.529426072023416,0,5.42803981807049,0.529426072023416,0.529426072023416,0.529426072023416,"SK",5450421,84,0,514,0,3536,33,735,970,0.000648757224441928,1.54116535218105e-05,0.000134851968315842,0.000177967903763764,0,150,0,2020-08-27
"174",0.555650635581133,0,5.27639583204878,0.555650635581133,0.555650635581133,0.555650635581133,"SK",5450421,90,0,524,0,3626,33,771,1030,0.000665269710358154,1.65124859162256e-05,0.000141456962682332,0.000188976227707915,0,150,0,2020-08-28
"175",0.583169137151429,0,5.99008376312208,0.583169137151429,0.583169137151429,0.583169137151429,"SK",5450421,102,0,503,0,3728,33,826,1129,0.00068398386106321,1.87141507050556e-05,0.000151547926297803,0.000207139962215763,0,150,0,2020-08-29
"176",0.612044906242014,0,5.55931514871926,0.612044906242014,0.612044906242014,0.612044906242014,"SK",5450421,114,0,526,0,3842,33,935,1227,0.000704899676557095,2.09158154938857e-05,0.00017154638146301,0.000225120224657875,0,150,0,2020-08-30
"177",0.642344319745013,0,6.0277885893411,0.642344319745013,0.642344319745013,0.642344319745013,"SK",5450421,34,0,520,0,3876,33,954,1186,0.000711137726792114,6.23805023501854e-06,0.000175032350711991,0.000217597869962706,0,150,0,2020-08-31
"178",0.674136943276107,0,5.90882578487026,0.674136943276107,0.674136943276107,0.674136943276107,"SK",5450421,41,0,493,0,3917,33,895,1178,0.000718660081487283,7.52235469516942e-06,0.000164207498833576,0.000216130093436819,0,150,0,2020-09-01
"179",0.707495678526934,0,5.96264371848149,0.707495678526934,0.707495678526934,0.707495678526934,"SK",5450421,72,0,537,0,3989,33,887,1188,0.000731870070220264,1.32099887329804e-05,0.00016273972230769,0.000217964814094177,0,150,0,2020-09-02
"180",0.742496916829884,0,5.50713140372721,0.742496916829884,0.742496916829884,0.742496916829884,"SK",5450421,53,0,506,0,4042,33,817,1187,0.000741594089704263,9.72401948399949e-06,0.000149896677706181,0.000217781342028441,0,150,0,2020-09-03
"181",0.779220702118829,0,5.71761895912517,0.779220702118829,0.779220702118829,0.779220702118829,"SK",5450421,121,4,537,4,4163,37,847,1261,0.0007637942096583,2.22001199540366e-05,0.000155400839678256,0.000231358274892894,4,150,0,2020-09-04
"182",0.817750888857418,0,6.27723532438443,0.817750888857418,0.817750888857418,0.817750888857418,"SK",5450421,137,0,572,4,4300,37,944,1393,0.00078892988266411,2.513567300581e-05,0.000173197630054632,0.000255576587570024,0,150,0,2020-09-05
"183",0.858175323820832,0,5.79050724385365,0.858175323820832,0.858175323820832,0.858175323820832,"SK",5450421,226,0,684,4,4526,37,1102,1604,0.000830394569520409,4.14646868562997e-05,0.000202186216440895,0.000294289193440287,0,150,0,2020-09-06
"184",0.900586023782182,0,5.7781641112856,0.900586023782182,0.900586023782182,0.900586023782182,"SK",5450421,88,0,738,4,4614,37,1162,1592,0.000846540111305163,1.61455417847539e-05,0.000213194540385045,0.000292087528651456,0,150,0,2020-09-07
"185",0.945079363102111,0,6.07198339070372,0.945079363102111,0.945079363102111,0.945079363102111,"SK",5450421,22,0,719,4,4636,37,1100,1534,0.000850576496751352,4.03638544618847e-06,0.000201819272309423,0.000281446148838778,0,150,0,2020-09-08
"186",0.991756268695628,0,5.9045203494088,0.991756268695628,0.991756268695628,0.991756268695628,"SK",5450421,91,0,738,4,4727,37,1101,1502,0.000867272454733313,1.66959579819614e-05,0.000202002744375159,0.000275575042735231,0,150,0,2020-09-09
"187",1.04072242255376,0,6.10257735648425,1.04072242255376,1.04072242255376,1.04072242255376,"SK",5450421,161,0,846,4,4888,37,1160,1572,0.000896811457316783,2.95390025834702e-05,0.000212827596253574,0.00028841808733674,0,150,0,2020-09-10
"188",1.09208847198868,0,5.92697083009205,1.09208847198868,1.09208847198868,1.09208847198868,"SK",5450421,133,0,858,0,5021,37,1179,1665,0.00092121324205965,2.44017847428667e-05,0.000216313565502555,0.000305480989450173,0,150,0,2020-09-11
"189",1.14597024775975,0,6.23647665911867,1.14597024775975,1.14597024775975,1.14597024775975,"SK",5450421,231,0,952,0,5252,37,1376,1828,0.000963595289244629,4.23820471849789e-05,0.000252457562452515,0.000335386936165115,0,150,0,2020-09-12
"190",1.20248900884884,0,6.18244212676149,1.20248900884884,1.20248900884884,1.20248900884884,"SK",5450421,201,1,927,1,5453,38,1536,2001,0.00100047317445753,3.68778852129037e-05,0.000281813092970249,0.000367127603537415,1,150,0,2020-09-13
"191",1.26177162271413,0,6.34702586104898,1.26177162271413,1.26177162271413,1.26177162271413,"SK",5450421,79,0,918,1,5532,38,1543,1996,0.00101496746765066,1.44942931931313e-05,0.0002830973974304,0.000366210243208736,0,150,0,2020-09-14
"192",1.3239508602197,0,6.18438301344852,1.3239508602197,1.3239508602197,1.3239508602197,"SK",5450421,48,0,944,1,5580,38,1538,1954,0.00102377412680598,8.8066591553203e-06,0.000282180037101721,0.00035850441644783,0,150,0,2020-09-15
"193",1.3891656296288,0,6.66757548551181,1.3891656296288,1.3891656296288,1.3891656296288,"SK",5450421,188,0,1041,1,5768,38,1605,2040,0.00105826687516432,3.44927483583378e-05,0.000294472665506022,0.000374283014101113,0,150,0,2020-09-16
"194",1.45756123593756,0,6.2194374822474,1.45756123593756,1.45756123593756,1.45756123593756,"SK",5450421,92,0,972,1,5860,38,1560,2018,0.00107514630521202,1.68794300476972e-05,0.00028621642254791,0.000370246628654924,0,150,0,2020-09-17
"195",1.52928964865659,0,6.93713792317923,1.52928964865659,1.52928964865659,1.52928964865659,"SK",5450421,161,1,1000,2,6021,39,1495,2145,0.00110468530779549,2.95390025834702e-05,0.00027429073827508,0.000393547581003376,1,150,0,2020-09-18
