"","yhat","yhat_lower","yhat_upper","trend","trend_lower","trend_upper","countrycode","population","cases","deaths","cases_prev_week","deaths_prev_week","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases","p_cases_contagious","p_cases_active","y","date"
"57",1.46755874088639e-07,0,0.149294177486745,1.46755874088639e-07,1.46755874088639e-07,1.46755874088639e-07,"GI",33706,0,0,6,0,157,0,10,11,0.00465792440515042,0,0.0002966830831306,0.00032635139144366,0,2020-05-29
"58",1.59709193621021e-07,0,0.139383191564311,1.59709193621021e-07,1.59709193621021e-07,1.59709193621021e-07,"GI",33706,4,0,10,0,161,0,14,14,0.00477659763840266,0.00011867323325224,0.00041535631638284,0.00041535631638284,0,2020-05-30
"59",1.7380583002919e-07,0,0.146877458247272,1.7380583002919e-07,1.7380583002919e-07,1.7380583002919e-07,"GI",33706,0,0,10,0,161,0,14,14,0.00477659763840266,0,0.00041535631638284,0.00041535631638284,0,2020-05-31
"60",1.89146697457885e-07,0,0.146456658031628,1.89146697457885e-07,1.89146697457885e-07,1.89146697457885e-07,"GI",33706,8,0,18,0,169,0,22,22,0.00501394410490714,0.00023734646650448,0.00065270278288732,0.00065270278288732,0,2020-06-01
"61",2.05841617170844e-07,0,0.148901570848093,2.05841617170844e-07,2.05841617170844e-07,2.05841617170844e-07,"GI",33706,1,0,15,0,170,0,21,23,0.0050436124132202,2.966830831306e-05,0.00062303447457426,0.00068237109120038,0,2020-06-02
"62",2.24010103730826e-07,0,0.138449467287106,2.24010103730826e-07,2.24010103730826e-07,2.24010103730826e-07,"GI",33706,2,0,17,0,172,0,21,25,0.00510294902984632,5.933661662612e-05,0.00062303447457426,0.0007417077078265,0,2020-06-03
"63",2.43782220571069e-07,0,0.141087778844554,2.43782220571069e-07,2.43782220571069e-07,2.43782220571069e-07,"GI",33706,1,0,16,0,173,0,22,26,0.00513261733815938,2.966830831306e-05,0.00065270278288732,0.00077137601613956,0,2020-06-04
"64",2.652995110829e-07,0,0.141073199017409,2.652995110829e-07,2.652995110829e-07,2.652995110829e-07,"GI",33706,0,0,16,0,173,0,22,26,0.00513261733815938,0,0.00065270278288732,0.00077137601613956,0,2020-06-05
"65",2.88716011884841e-07,0,0.138506229723501,2.88716011884841e-07,2.88716011884841e-07,2.88716011884841e-07,"GI",33706,1,0,13,0,174,0,23,27,0.00516228564647244,2.966830831306e-05,0.00068237109120038,0.00080104432445262,0,2020-06-06
"66",3.14199355526832e-07,0,0.141246031439362,3.14199355526832e-07,3.14199355526832e-07,3.14199355526832e-07,"GI",33706,0,0,13,0,174,0,19,27,0.00516228564647244,0,0.00056369785794814,0.00080104432445262,0,2020-06-07
"67",3.41931970652758e-07,0,0.134304650751479,3.41931970652758e-07,3.41931970652758e-07,3.41931970652758e-07,"GI",33706,1,0,6,0,175,0,20,26,0.0051919539547855,2.966830831306e-05,0.0005933661662612,0.00077137601613956,0,2020-06-08
"68",3.7211238758795e-07,0,0.140329360741066,3.7211238758795e-07,3.7211238758795e-07,3.7211238758795e-07,"GI",33706,1,0,6,0,176,0,19,25,0.00522162226309856,2.966830831306e-05,0.00056369785794814,0.0007417077078265,0,2020-06-09
"69",4.04956659905656e-07,0,0.140399174158443,4.04956659905656e-07,4.04956659905656e-07,4.04956659905656e-07,"GI",33706,0,0,4,0,176,0,19,25,0.00522162226309856,0,0.00056369785794814,0.0007417077078265,0,2020-06-10
"70",4.40699910981195e-07,0,0.144799594554895,4.40699910981195e-07,4.40699910981195e-07,4.40699910981195e-07,"GI",33706,0,0,3,0,176,0,15,25,0.00522162226309856,0,0.0004450246246959,0.0007417077078265,0,2020-06-11
"71",4.79598017169533e-07,0,0.144031306276452,4.79598017169533e-07,4.79598017169533e-07,4.79598017169533e-07,"GI",33706,0,0,3,0,176,0,15,25,0.00522162226309856,0,0.0004450246246959,0.0007417077078265,0,2020-06-12
"72",5.21929439546194e-07,0,0.136864295538486,5.21929439546194e-07,5.21929439546194e-07,5.21929439546194e-07,"GI",33706,0,0,2,0,176,0,7,21,0.00522162226309856,0,0.00020767815819142,0.00062303447457426,0,2020-06-13
"73",5.6799721732411e-07,0,0.141300692165187,5.6799721732411e-07,5.6799721732411e-07,5.6799721732411e-07,"GI",33706,0,0,2,0,176,0,6,21,0.00522162226309856,0,0.00017800984987836,0.00062303447457426,0,2020-06-14
"74",6.18131137216357e-07,0,0.139373325524322,6.18131137216357e-07,6.18131137216357e-07,6.18131137216357e-07,"GI",33706,0,0,1,0,176,0,4,19,0.00522162226309856,0,0.00011867323325224,0.00056369785794814,0,2020-06-15
